"Estacion","Fecha inicial","Fecha final","HAire2"
"ESTACIÓN TRÁFICO CENTRO","2013-02-28","","62.20416667"
"ESTACIÓN TRÁFICO CENTRO","2013-02-27","","61.2625"
"ESTACIÓN TRÁFICO CENTRO","2013-02-26","","64.77083333"
"ESTACIÓN TRÁFICO CENTRO","2013-02-25","","59.35833333"
"ESTACIÓN TRÁFICO CENTRO","2013-02-24","","68.50833333"
"ESTACIÓN TRÁFICO CENTRO","2013-02-23","","60.01666667"
"ESTACIÓN TRÁFICO CENTRO","2013-02-22","","63.35"
"ESTACIÓN TRÁFICO CENTRO","2013-02-21","","65.1625"
"ESTACIÓN TRÁFICO CENTRO","2013-02-20","","53.09166667"
"ESTACIÓN TRÁFICO CENTRO","2013-02-19","","57.01666667"
"ESTACIÓN TRÁFICO CENTRO","2013-02-18","","58.45416667"
"ESTACIÓN TRÁFICO CENTRO","2013-02-17","","71.34166667"
"ESTACIÓN TRÁFICO CENTRO","2013-02-16","","61.25833333"
"ESTACIÓN TRÁFICO CENTRO","2013-02-15","","60.19166667"
"ESTACIÓN TRÁFICO CENTRO","2013-02-14","","65.7875"
"ESTACIÓN TRÁFICO CENTRO","2013-02-13","","60.45833333"
"ESTACIÓN TRÁFICO CENTRO","2013-02-12","","62.225"
"ESTACIÓN TRÁFICO CENTRO","2013-02-11","","68.94166667"
"ESTACIÓN TRÁFICO CENTRO","2013-02-10","","73.98333333"
"ESTACIÓN TRÁFICO CENTRO","2013-02-09","","64.65833333"
"ESTACIÓN TRÁFICO CENTRO","2013-02-08","","77.88636364"
"ESTACIÓN TRÁFICO CENTRO","2013-02-07","","62.45416667"
"ESTACIÓN TRÁFICO CENTRO","2013-02-06","","70.50833333"
"ESTACIÓN TRÁFICO CENTRO","2013-02-05","","72.64166667"
"ESTACIÓN TRÁFICO CENTRO","2013-02-04","","69.04166667"
"ESTACIÓN TRÁFICO CENTRO","2013-02-03","","77.32916667"
"ESTACIÓN TRÁFICO CENTRO","2013-02-02","","80.42916667"
"ESTACIÓN TRÁFICO CENTRO","2013-02-01","","69.75"
"ESTACIÓN TRÁFICO CENTRO","2013-01-31","","63.95833333"
"ESTACIÓN TRÁFICO CENTRO","2013-01-30","","61.8375"
"ESTACIÓN TRÁFICO CENTRO","2013-01-29","","60.90416667"
