"Estacion","Fecha inicial","Fecha final","NO"
"ESTACIÓN TRÁFICO CENTRO","2025-10-31","","29.15029696"
"ESTACIÓN TRÁFICO CENTRO","2025-10-30","","26.53547083"
"ESTACIÓN TRÁFICO CENTRO","2025-10-29","","27.46972625"
"ESTACIÓN TRÁFICO CENTRO","2025-10-28","","34.96186625"
"ESTACIÓN TRÁFICO CENTRO","2025-10-27","","30.51073667"
"ESTACIÓN TRÁFICO CENTRO","2025-10-26","","6.56028667"
"ESTACIÓN TRÁFICO CENTRO","2025-10-25","","28.99609875"
"ESTACIÓN TRÁFICO CENTRO","2025-10-24","","61.791695"
"ESTACIÓN TRÁFICO CENTRO","2025-10-23","","51.661525"
"ESTACIÓN TRÁFICO CENTRO","2025-10-22","","50.48743917"
"ESTACIÓN TRÁFICO CENTRO","2025-10-21","","25.92850875"
"ESTACIÓN TRÁFICO CENTRO","2025-10-20","","13.73594667"
"ESTACIÓN TRÁFICO CENTRO","2025-10-19","","8.00288"
"ESTACIÓN TRÁFICO CENTRO","2025-10-18","","18.94873042"
"ESTACIÓN TRÁFICO CENTRO","2025-10-17","","35.25908417"
"ESTACIÓN TRÁFICO CENTRO","2025-10-16","","38.00376083"
"ESTACIÓN TRÁFICO CENTRO","2025-10-15","","31.18827208"
"ESTACIÓN TRÁFICO CENTRO","2025-10-14","","42.95131667"
"ESTACIÓN TRÁFICO CENTRO","2025-10-13","","14.16750375"
"ESTACIÓN TRÁFICO CENTRO","2025-10-12","","12.88088"
"ESTACIÓN TRÁFICO CENTRO","2025-10-11","","36.55885625"
"ESTACIÓN TRÁFICO CENTRO","2025-10-10","","39.03533"
"ESTACIÓN TRÁFICO CENTRO","2025-10-09","","56.81812667"
"ESTACIÓN TRÁFICO CENTRO","2025-10-08","","44.478715"
"ESTACIÓN TRÁFICO CENTRO","2025-10-07","","15.20584"
"ESTACIÓN TRÁFICO CENTRO","2025-10-06","","23.9317725"
"ESTACIÓN TRÁFICO CENTRO","2025-10-05","","2.75869792"
"ESTACIÓN TRÁFICO CENTRO","2025-10-04","","14.80366583"
"ESTACIÓN TRÁFICO CENTRO","2025-10-03","","16.74296292"
"ESTACIÓN TRÁFICO CENTRO","2025-10-02","","39.45561917"
"ESTACIÓN TRÁFICO CENTRO","2025-10-01","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2025-09-30","","29.19322261"
"ESTACIÓN TRÁFICO CENTRO","2025-09-29","","21.56526583"
"ESTACIÓN TRÁFICO CENTRO","2025-09-28","","16.83363"
"ESTACIÓN TRÁFICO CENTRO","2025-09-27","","39.52878792"
"ESTACIÓN TRÁFICO CENTRO","2025-09-26","","42.95057958"
"ESTACIÓN TRÁFICO CENTRO","2025-09-25","","17.83791083"
"ESTACIÓN TRÁFICO CENTRO","2025-09-24","","5.4548425"
"ESTACIÓN TRÁFICO CENTRO","2025-09-23","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2025-09-22","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2025-09-21","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2025-09-20","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2025-09-19","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2025-09-18","","0.0"
