"Estacion","Fecha inicial","Fecha final","NO2"
"ESTACIÓN TRÁFICO CENTRO","2025-10-31","","40.65719478"
"ESTACIÓN TRÁFICO CENTRO","2025-10-30","","46.69274542"
"ESTACIÓN TRÁFICO CENTRO","2025-10-29","","41.17547125"
"ESTACIÓN TRÁFICO CENTRO","2025-10-28","","45.15756917"
"ESTACIÓN TRÁFICO CENTRO","2025-10-27","","31.64635417"
"ESTACIÓN TRÁFICO CENTRO","2025-10-26","","28.96817083"
"ESTACIÓN TRÁFICO CENTRO","2025-10-25","","43.14565208"
"ESTACIÓN TRÁFICO CENTRO","2025-10-24","","57.13873125"
"ESTACIÓN TRÁFICO CENTRO","2025-10-23","","54.28302917"
"ESTACIÓN TRÁFICO CENTRO","2025-10-22","","69.6332325"
"ESTACIÓN TRÁFICO CENTRO","2025-10-21","","57.92006958"
"ESTACIÓN TRÁFICO CENTRO","2025-10-20","","49.46367958"
"ESTACIÓN TRÁFICO CENTRO","2025-10-19","","34.39220875"
"ESTACIÓN TRÁFICO CENTRO","2025-10-18","","50.45850167"
"ESTACIÓN TRÁFICO CENTRO","2025-10-17","","56.13477417"
"ESTACIÓN TRÁFICO CENTRO","2025-10-16","","53.63566167"
"ESTACIÓN TRÁFICO CENTRO","2025-10-15","","56.65024458"
"ESTACIÓN TRÁFICO CENTRO","2025-10-14","","49.89166458"
"ESTACIÓN TRÁFICO CENTRO","2025-10-13","","31.63695333"
"ESTACIÓN TRÁFICO CENTRO","2025-10-12","","40.32147833"
"ESTACIÓN TRÁFICO CENTRO","2025-10-11","","58.47926"
"ESTACIÓN TRÁFICO CENTRO","2025-10-10","","53.5215825"
"ESTACIÓN TRÁFICO CENTRO","2025-10-09","","55.11061708"
"ESTACIÓN TRÁFICO CENTRO","2025-10-08","","54.95515458"
"ESTACIÓN TRÁFICO CENTRO","2025-10-07","","46.42027917"
"ESTACIÓN TRÁFICO CENTRO","2025-10-06","","41.841735"
"ESTACIÓN TRÁFICO CENTRO","2025-10-05","","12.70050958"
