"Estacion","Fecha inicial","Fecha final","NOx"
"ESTACIÓN TRÁFICO CENTRO","2013-12-01","","54.09195"
"ESTACIÓN TRÁFICO CENTRO","2013-11-30","","39.9736672"
"ESTACIÓN TRÁFICO CENTRO","2013-11-29","","34.55223333"
"ESTACIÓN TRÁFICO CENTRO","2013-11-28","","44.61283913"
"ESTACIÓN TRÁFICO CENTRO","2013-11-27","","43.38126125"
"ESTACIÓN TRÁFICO CENTRO","2013-11-26","","29.4269675"
"ESTACIÓN TRÁFICO CENTRO","2013-11-25","","45.47508917"
"ESTACIÓN TRÁFICO CENTRO","2013-11-24","","38.67052071"
"ESTACIÓN TRÁFICO CENTRO","2013-11-23","","33.81842583"
"ESTACIÓN TRÁFICO CENTRO","2013-11-22","","36.89952583"
"ESTACIÓN TRÁFICO CENTRO","2013-11-21","","51.41409071"
"ESTACIÓN TRÁFICO CENTRO","2013-11-20","","57.92199133"
"ESTACIÓN TRÁFICO CENTRO","2013-11-19","","34.81540099"
"ESTACIÓN TRÁFICO CENTRO","2013-11-18","","50.49731096"
"ESTACIÓN TRÁFICO CENTRO","2013-11-17","","20.54297517"
"ESTACIÓN TRÁFICO CENTRO","2013-11-16","","30.15766167"
"ESTACIÓN TRÁFICO CENTRO","2013-11-15","","29.54726992"
"ESTACIÓN TRÁFICO CENTRO","2013-11-14","","28.90188658"
"ESTACIÓN TRÁFICO CENTRO","2013-11-13","","47.18025542"
"ESTACIÓN TRÁFICO CENTRO","2013-11-12","","36.80254588"
"ESTACIÓN TRÁFICO CENTRO","2013-11-11","","23.08783567"
"ESTACIÓN TRÁFICO CENTRO","2013-11-10","","21.70918933"
"ESTACIÓN TRÁFICO CENTRO","2013-11-09","","41.91173625"
"ESTACIÓN TRÁFICO CENTRO","2013-11-08","","60.61719"
"ESTACIÓN TRÁFICO CENTRO","2013-11-07","","57.47112545"
"ESTACIÓN TRÁFICO CENTRO","2013-11-06","","58.22180042"
"ESTACIÓN TRÁFICO CENTRO","2013-11-05","","63.57862333"
"ESTACIÓN TRÁFICO CENTRO","2013-11-04","","32.39447"
"ESTACIÓN TRÁFICO CENTRO","2013-11-03","","39.17615833"
"ESTACIÓN TRÁFICO CENTRO","2013-11-02","","54.06786083"
"ESTACIÓN TRÁFICO CENTRO","2013-11-01","","53.6042224"
"ESTACIÓN TRÁFICO CENTRO","2013-10-31","","76.1031975"
"ESTACIÓN TRÁFICO CENTRO","2013-10-30","","78.40145579"
"ESTACIÓN TRÁFICO CENTRO","2013-10-29","","66.6923475"
"ESTACIÓN TRÁFICO CENTRO","2013-10-28","","56.177585"
"ESTACIÓN TRÁFICO CENTRO","2013-10-27","","35.43545125"
"ESTACIÓN TRÁFICO CENTRO","2013-10-26","","62.42662083"
"ESTACIÓN TRÁFICO CENTRO","2013-10-25","","63.26134125"
"ESTACIÓN TRÁFICO CENTRO","2013-10-24","","70.6539125"
"ESTACIÓN TRÁFICO CENTRO","2013-10-23","","79.93822625"
"ESTACIÓN TRÁFICO CENTRO","2013-10-22","","71.0884225"
"ESTACIÓN TRÁFICO CENTRO","2013-10-21","","57.42033417"
"ESTACIÓN TRÁFICO CENTRO","2013-10-20","","34.90714042"
"ESTACIÓN TRÁFICO CENTRO","2013-10-19","","94.51553583"
"ESTACIÓN TRÁFICO CENTRO","2013-10-18","","83.398135"
"ESTACIÓN TRÁFICO CENTRO","2013-10-17","","74.22139542"
"ESTACIÓN TRÁFICO CENTRO","2013-10-16","","71.83381"
"ESTACIÓN TRÁFICO CENTRO","2013-10-15","","84.65909875"
"ESTACIÓN TRÁFICO CENTRO","2013-10-14","","43.87668042"
"ESTACIÓN TRÁFICO CENTRO","2013-10-13","","42.08489708"
"ESTACIÓN TRÁFICO CENTRO","2013-10-12","","60.02318083"
"ESTACIÓN TRÁFICO CENTRO","2013-10-11","","59.221215"
"ESTACIÓN TRÁFICO CENTRO","2013-10-10","","59.02661917"
"ESTACIÓN TRÁFICO CENTRO","2013-10-09","","50.60204833"
"ESTACIÓN TRÁFICO CENTRO","2013-10-08","","56.560125"
"ESTACIÓN TRÁFICO CENTRO","2013-10-07","","60.37635792"
"ESTACIÓN TRÁFICO CENTRO","2013-10-06","","41.17498833"
"ESTACIÓN TRÁFICO CENTRO","2013-10-05","","68.21685773"
"ESTACIÓN TRÁFICO CENTRO","2013-10-04","","69.31703542"
"ESTACIÓN TRÁFICO CENTRO","2013-10-03","","72.26251417"
"ESTACIÓN TRÁFICO CENTRO","2013-10-02","","60.99908625"
"ESTACIÓN TRÁFICO CENTRO","2013-10-01","","88.99678124"
"ESTACIÓN TRÁFICO CENTRO","2013-09-30","","75.43431583"
"ESTACIÓN TRÁFICO CENTRO","2013-09-29","","46.83233792"
"ESTACIÓN TRÁFICO CENTRO","2013-09-28","","70.5549875"
"ESTACIÓN TRÁFICO CENTRO","2013-09-27","","86.06302083"
"ESTACIÓN TRÁFICO CENTRO","2013-09-26","","94.52428542"
"ESTACIÓN TRÁFICO CENTRO","2013-09-25","","54.33855333"
"ESTACIÓN TRÁFICO CENTRO","2013-09-24","","55.02320833"
"ESTACIÓN TRÁFICO CENTRO","2013-09-23","","54.03971"
"ESTACIÓN TRÁFICO CENTRO","2013-09-22","","36.37989625"
"ESTACIÓN TRÁFICO CENTRO","2013-09-21","","55.51014333"
"ESTACIÓN TRÁFICO CENTRO","2013-09-20","","65.983325"
"ESTACIÓN TRÁFICO CENTRO","2013-09-19","","55.9149125"
"ESTACIÓN TRÁFICO CENTRO","2013-09-18","","52.82092476"
"ESTACIÓN TRÁFICO CENTRO","2013-09-17","","42.65471154"
"ESTACIÓN TRÁFICO CENTRO","2013-09-16","","46.0419375"
"ESTACIÓN TRÁFICO CENTRO","2013-09-15","","23.52353"
"ESTACIÓN TRÁFICO CENTRO","2013-09-14","","54.36740708"
"ESTACIÓN TRÁFICO CENTRO","2013-09-13","","87.81852792"
"ESTACIÓN TRÁFICO CENTRO","2013-09-12","","60.936805"
"ESTACIÓN TRÁFICO CENTRO","2013-09-11","","57.77640417"
"ESTACIÓN TRÁFICO CENTRO","2013-09-10","","48.02353"
"ESTACIÓN TRÁFICO CENTRO","2013-09-09","","40.03883646"
"ESTACIÓN TRÁFICO CENTRO","2013-09-08","","30.78370625"
"ESTACIÓN TRÁFICO CENTRO","2013-09-07","","55.47193417"
"ESTACIÓN TRÁFICO CENTRO","2013-09-06","","51.80814833"
"ESTACIÓN TRÁFICO CENTRO","2013-09-05","","55.52887955"
"ESTACIÓN TRÁFICO CENTRO","2013-09-04","","79.31928125"
"ESTACIÓN TRÁFICO CENTRO","2013-09-03","","48.64546417"
"ESTACIÓN TRÁFICO CENTRO","2013-09-02","","44.80771017"
"ESTACIÓN TRÁFICO CENTRO","2013-09-01","","17.91259204"
"ESTACIÓN TRÁFICO CENTRO","2013-08-31","","41.77372667"
"ESTACIÓN TRÁFICO CENTRO","2013-08-30","","34.57028854"
"ESTACIÓN TRÁFICO CENTRO","2013-08-29","","30.07168956"
"ESTACIÓN TRÁFICO CENTRO","2013-08-28","","33.47053463"
"ESTACIÓN TRÁFICO CENTRO","2013-08-27","","38.69325217"
"ESTACIÓN TRÁFICO CENTRO","2013-08-26","","50.39254243"
"ESTACIÓN TRÁFICO CENTRO","2013-08-25","","20.77553213"
"ESTACIÓN TRÁFICO CENTRO","2013-08-24","","45.77677796"
"ESTACIÓN TRÁFICO CENTRO","2013-08-23","","45.09742917"
"ESTACIÓN TRÁFICO CENTRO","2013-08-22","","50.81263929"
"ESTACIÓN TRÁFICO CENTRO","2013-08-21","","45.94180527"
"ESTACIÓN TRÁFICO CENTRO","2013-08-20","","45.70943275"
"ESTACIÓN TRÁFICO CENTRO","2013-08-19","","22.47767388"
"ESTACIÓN TRÁFICO CENTRO","2013-08-18","","31.49048542"
"ESTACIÓN TRÁFICO CENTRO","2013-08-17","","44.65057917"
"ESTACIÓN TRÁFICO CENTRO","2013-08-16","","56.58960917"
"ESTACIÓN TRÁFICO CENTRO","2013-08-15","","52.01734963"
"ESTACIÓN TRÁFICO CENTRO","2013-08-14","","47.45231421"
"ESTACIÓN TRÁFICO CENTRO","2013-08-13","","64.88196958"
"ESTACIÓN TRÁFICO CENTRO","2013-08-12","","75.16484435"
"ESTACIÓN TRÁFICO CENTRO","2013-08-11","","33.75068267"
"ESTACIÓN TRÁFICO CENTRO","2013-08-10","","74.82516583"
"ESTACIÓN TRÁFICO CENTRO","2013-08-09","","58.71490708"
"ESTACIÓN TRÁFICO CENTRO","2013-08-08","","57.48957142"
"ESTACIÓN TRÁFICO CENTRO","2013-08-07","","28.918275"
"ESTACIÓN TRÁFICO CENTRO","2013-08-06","","58.99658217"
"ESTACIÓN TRÁFICO CENTRO","2013-08-05","","45.53041075"
"ESTACIÓN TRÁFICO CENTRO","2013-08-04","","28.65414529"
"ESTACIÓN TRÁFICO CENTRO","2013-08-03","","47.72790667"
"ESTACIÓN TRÁFICO CENTRO","2013-08-02","","52.69220817"
"ESTACIÓN TRÁFICO CENTRO","2013-08-01","","44.87017575"
"ESTACIÓN TRÁFICO CENTRO","2013-07-31","","39.71433585"
"ESTACIÓN TRÁFICO CENTRO","2013-07-30","","49.55925796"
"ESTACIÓN TRÁFICO CENTRO","2013-07-29","","44.80646958"
"ESTACIÓN TRÁFICO CENTRO","2013-07-28","","29.77083417"
"ESTACIÓN TRÁFICO CENTRO","2013-07-27","","43.79994292"
"ESTACIÓN TRÁFICO CENTRO","2013-07-26","","63.6038575"
"ESTACIÓN TRÁFICO CENTRO","2013-07-25","","55.226005"
"ESTACIÓN TRÁFICO CENTRO","2013-07-24","","64.37663375"
"ESTACIÓN TRÁFICO CENTRO","2013-07-23","","55.54512838"
"ESTACIÓN TRÁFICO CENTRO","2013-07-22","","50.41524108"
"ESTACIÓN TRÁFICO CENTRO","2013-07-21","","22.6424075"
"ESTACIÓN TRÁFICO CENTRO","2013-07-20","","32.6800225"
"ESTACIÓN TRÁFICO CENTRO","2013-07-19","","48.24358896"
"ESTACIÓN TRÁFICO CENTRO","2013-07-18","","52.46800458"
"ESTACIÓN TRÁFICO CENTRO","2013-07-17","","39.0642029"
"ESTACIÓN TRÁFICO CENTRO","2013-07-16","","45.83930667"
"ESTACIÓN TRÁFICO CENTRO","2013-07-15","","60.15053083"
"ESTACIÓN TRÁFICO CENTRO","2013-07-14","","26.32432875"
"ESTACIÓN TRÁFICO CENTRO","2013-07-13","","50.12607667"
"ESTACIÓN TRÁFICO CENTRO","2013-07-12","","49.23618042"
"ESTACIÓN TRÁFICO CENTRO","2013-07-11","","44.2621425"
"ESTACIÓN TRÁFICO CENTRO","2013-07-10","","47.98206083"
"ESTACIÓN TRÁFICO CENTRO","2013-07-09","","55.32595333"
"ESTACIÓN TRÁFICO CENTRO","2013-07-08","","48.29790879"
"ESTACIÓN TRÁFICO CENTRO","2013-07-07","","40.25199208"
"ESTACIÓN TRÁFICO CENTRO","2013-07-06","","51.74039083"
"ESTACIÓN TRÁFICO CENTRO","2013-07-05","","63.18805254"
"ESTACIÓN TRÁFICO CENTRO","2013-07-04","","84.23579417"
"ESTACIÓN TRÁFICO CENTRO","2013-07-03","","57.47134658"
"ESTACIÓN TRÁFICO CENTRO","2013-07-02","","85.64284833"
"ESTACIÓN TRÁFICO CENTRO","2013-07-01","","40.1332505"
"ESTACIÓN TRÁFICO CENTRO","2013-06-30","","32.52979208"
"ESTACIÓN TRÁFICO CENTRO","2013-06-29","","64.00893583"
"ESTACIÓN TRÁFICO CENTRO","2013-06-28","","68.36040583"
"ESTACIÓN TRÁFICO CENTRO","2013-06-27","","59.4557915"
"ESTACIÓN TRÁFICO CENTRO","2013-06-26","","53.891665"
"ESTACIÓN TRÁFICO CENTRO","2013-06-25","","51.50529976"
"ESTACIÓN TRÁFICO CENTRO","2013-06-24","","48.99959396"
"ESTACIÓN TRÁFICO CENTRO","2013-06-23","","21.74526708"
"ESTACIÓN TRÁFICO CENTRO","2013-06-22","","43.68471565"
"ESTACIÓN TRÁFICO CENTRO","2013-06-21","","48.78788192"
"ESTACIÓN TRÁFICO CENTRO","2013-06-20","","41.39765125"
"ESTACIÓN TRÁFICO CENTRO","2013-06-19","","49.63215425"
"ESTACIÓN TRÁFICO CENTRO","2013-06-18","","45.95180546"
"ESTACIÓN TRÁFICO CENTRO","2013-06-17","","49.323335"
"ESTACIÓN TRÁFICO CENTRO","2013-06-16","","25.16703583"
"ESTACIÓN TRÁFICO CENTRO","2013-06-15","","68.42613917"
"ESTACIÓN TRÁFICO CENTRO","2013-06-14","","47.300544"
"ESTACIÓN TRÁFICO CENTRO","2013-06-13","","44.486132"
"ESTACIÓN TRÁFICO CENTRO","2013-06-12","","49.64090788"
"ESTACIÓN TRÁFICO CENTRO","2013-06-11","","40.85019763"
"ESTACIÓN TRÁFICO CENTRO","2013-06-10","","16.86736604"
"ESTACIÓN TRÁFICO CENTRO","2013-06-09","","20.48860004"
"ESTACIÓN TRÁFICO CENTRO","2013-06-08","","55.06038417"
"ESTACIÓN TRÁFICO CENTRO","2013-06-07","","47.03156375"
"ESTACIÓN TRÁFICO CENTRO","2013-06-06","","46.8514925"
"ESTACIÓN TRÁFICO CENTRO","2013-06-05","","57.30716583"
"ESTACIÓN TRÁFICO CENTRO","2013-06-04","","54.21826667"
"ESTACIÓN TRÁFICO CENTRO","2013-06-03","","17.46373708"
"ESTACIÓN TRÁFICO CENTRO","2013-06-02","","36.81323629"
"ESTACIÓN TRÁFICO CENTRO","2013-06-01","","57.66842"
"ESTACIÓN TRÁFICO CENTRO","2013-05-31","","61.83145"
"ESTACIÓN TRÁFICO CENTRO","2013-05-30","","60.43845454"
"ESTACIÓN TRÁFICO CENTRO","2013-05-29","","66.122085"
"ESTACIÓN TRÁFICO CENTRO","2013-05-28","","43.94961838"
"ESTACIÓN TRÁFICO CENTRO","2013-05-27","","50.65872522"
"ESTACIÓN TRÁFICO CENTRO","2013-05-26","","29.20976792"
"ESTACIÓN TRÁFICO CENTRO","2013-05-25","","42.77288208"
"ESTACIÓN TRÁFICO CENTRO","2013-05-24","","43.84593808"
"ESTACIÓN TRÁFICO CENTRO","2013-05-23","","58.85146435"
"ESTACIÓN TRÁFICO CENTRO","2013-05-22","","65.81086225"
"ESTACIÓN TRÁFICO CENTRO","2013-05-21","","76.06135875"
"ESTACIÓN TRÁFICO CENTRO","2013-05-20","","44.33496992"
"ESTACIÓN TRÁFICO CENTRO","2013-05-19","","20.917223"
"ESTACIÓN TRÁFICO CENTRO","2013-05-18","","49.19206125"
"ESTACIÓN TRÁFICO CENTRO","2013-05-17","","72.07413957"
"ESTACIÓN TRÁFICO CENTRO","2013-05-16","","79.19187625"
"ESTACIÓN TRÁFICO CENTRO","2013-05-15","","63.12260504"
"ESTACIÓN TRÁFICO CENTRO","2013-05-14","","36.4960276"
"ESTACIÓN TRÁFICO CENTRO","2013-05-13","","16.62705933"
"ESTACIÓN TRÁFICO CENTRO","2013-05-12","","21.42228108"
"ESTACIÓN TRÁFICO CENTRO","2013-05-11","","44.06456783"
"ESTACIÓN TRÁFICO CENTRO","2013-05-10","","55.633215"
"ESTACIÓN TRÁFICO CENTRO","2013-05-09","","51.08959708"
"ESTACIÓN TRÁFICO CENTRO","2013-05-08","","56.35361125"
"ESTACIÓN TRÁFICO CENTRO","2013-05-07","","63.00860443"
"ESTACIÓN TRÁFICO CENTRO","2013-05-06","","60.45582583"
"ESTACIÓN TRÁFICO CENTRO","2013-05-05","","26.60802046"
"ESTACIÓN TRÁFICO CENTRO","2013-05-04","","71.05045333"
"ESTACIÓN TRÁFICO CENTRO","2013-05-03","","62.20550621"
"ESTACIÓN TRÁFICO CENTRO","2013-05-02","","70.33263833"
"ESTACIÓN TRÁFICO CENTRO","2013-05-01","","46.25813708"
"ESTACIÓN TRÁFICO CENTRO","2013-04-30","","66.47514042"
"ESTACIÓN TRÁFICO CENTRO","2013-04-29","","54.46408625"
"ESTACIÓN TRÁFICO CENTRO","2013-04-28","","28.94151583"
"ESTACIÓN TRÁFICO CENTRO","2013-04-27","","59.59921292"
"ESTACIÓN TRÁFICO CENTRO","2013-04-26","","65.426342"
"ESTACIÓN TRÁFICO CENTRO","2013-04-25","","38.96024174"
"ESTACIÓN TRÁFICO CENTRO","2013-04-24","","47.066511"
"ESTACIÓN TRÁFICO CENTRO","2013-04-23","","44.60896879"
"ESTACIÓN TRÁFICO CENTRO","2013-04-22","","59.19700333"
"ESTACIÓN TRÁFICO CENTRO","2013-04-21","","36.00392417"
"ESTACIÓN TRÁFICO CENTRO","2013-04-20","","62.45723958"
"ESTACIÓN TRÁFICO CENTRO","2013-04-19","","77.14639958"
"ESTACIÓN TRÁFICO CENTRO","2013-04-18","","69.56822271"
"ESTACIÓN TRÁFICO CENTRO","2013-04-17","","42.44582258"
"ESTACIÓN TRÁFICO CENTRO","2013-04-16","","49.91279958"
"ESTACIÓN TRÁFICO CENTRO","2013-04-15","","48.10016522"
"ESTACIÓN TRÁFICO CENTRO","2013-04-14","","26.74848417"
