"Estacion","Fecha inicial","Fecha final","PM10"
"ESTACIÓN TRÁFICO CENTRO","2025-10-31","","34.60869565"
"ESTACIÓN TRÁFICO CENTRO","2025-10-30","","43.125"
"ESTACIÓN TRÁFICO CENTRO","2025-10-29","","43.08333333"
"ESTACIÓN TRÁFICO CENTRO","2025-10-28","","39.95833333"
"ESTACIÓN TRÁFICO CENTRO","2025-10-27","","27.375"
"ESTACIÓN TRÁFICO CENTRO","2025-10-26","","21.20833333"
"ESTACIÓN TRÁFICO CENTRO","2025-10-25","","37.29166667"
"ESTACIÓN TRÁFICO CENTRO","2025-10-24","","57.66666667"
"ESTACIÓN TRÁFICO CENTRO","2025-10-23","","56.375"
"ESTACIÓN TRÁFICO CENTRO","2025-10-22","","52.70833333"
"ESTACIÓN TRÁFICO CENTRO","2025-10-21","","42.08333333"
"ESTACIÓN TRÁFICO CENTRO","2025-10-20","","33.125"
"ESTACIÓN TRÁFICO CENTRO","2025-10-19","","29.20833333"
"ESTACIÓN TRÁFICO CENTRO","2025-10-18","","37.54166667"
"ESTACIÓN TRÁFICO CENTRO","2025-10-17","","47.375"
"ESTACIÓN TRÁFICO CENTRO","2025-10-16","","44.04166667"
"ESTACIÓN TRÁFICO CENTRO","2025-10-15","","48.08333333"
"ESTACIÓN TRÁFICO CENTRO","2025-10-14","","42.58333333"
"ESTACIÓN TRÁFICO CENTRO","2025-10-13","","29.54166667"
"ESTACIÓN TRÁFICO CENTRO","2025-10-12","","22.70833333"
"ESTACIÓN TRÁFICO CENTRO","2025-10-11","","44.16666667"
"ESTACIÓN TRÁFICO CENTRO","2025-10-10","","38.33333333"
"ESTACIÓN TRÁFICO CENTRO","2025-10-09","","57.79166667"
"ESTACIÓN TRÁFICO CENTRO","2025-10-08","","42.08333333"
"ESTACIÓN TRÁFICO CENTRO","2025-10-07","","38.29166667"
"ESTACIÓN TRÁFICO CENTRO","2025-10-06","","34.79166667"
"ESTACIÓN TRÁFICO CENTRO","2025-10-05","","20.625"
"ESTACIÓN TRÁFICO CENTRO","2025-10-04","","34.625"
"ESTACIÓN TRÁFICO CENTRO","2025-10-03","","36.33333333"
"ESTACIÓN TRÁFICO CENTRO","2025-10-02","","44.5"
"ESTACIÓN TRÁFICO CENTRO","2025-10-01","","38.0"
"ESTACIÓN TRÁFICO CENTRO","2025-09-30","","38.7826087"
"ESTACIÓN TRÁFICO CENTRO","2025-09-29","","28.41666667"
"ESTACIÓN TRÁFICO CENTRO","2025-09-28","","29.875"
"ESTACIÓN TRÁFICO CENTRO","2025-09-27","","48.91666667"
"ESTACIÓN TRÁFICO CENTRO","2025-09-26","","49.625"
"ESTACIÓN TRÁFICO CENTRO","2025-09-25","","33.33333333"
"ESTACIÓN TRÁFICO CENTRO","2025-09-24","","38.20833333"
"ESTACIÓN TRÁFICO CENTRO","2025-09-23","","34.70833333"
"ESTACIÓN TRÁFICO CENTRO","2025-09-22","","33.45833333"
"ESTACIÓN TRÁFICO CENTRO","2025-09-21","","27.08333333"
"ESTACIÓN TRÁFICO CENTRO","2025-09-20","","34.125"
"ESTACIÓN TRÁFICO CENTRO","2025-09-19","","45.04166667"
"ESTACIÓN TRÁFICO CENTRO","2025-09-18","","32.375"
"ESTACIÓN TRÁFICO CENTRO","2025-09-17","","48.625"
"ESTACIÓN TRÁFICO CENTRO","2025-09-16","","45.04166667"
"ESTACIÓN TRÁFICO CENTRO","2025-09-15","","33.375"
"ESTACIÓN TRÁFICO CENTRO","2025-09-14","","29.29166667"
"ESTACIÓN TRÁFICO CENTRO","2025-09-13","","39.41666667"
"ESTACIÓN TRÁFICO CENTRO","2025-09-12","","51.91666667"
"ESTACIÓN TRÁFICO CENTRO","2025-09-11","","38.125"
"ESTACIÓN TRÁFICO CENTRO","2025-09-10","","38.625"
"ESTACIÓN TRÁFICO CENTRO","2025-09-09","","34.875"
"ESTACIÓN TRÁFICO CENTRO","2025-09-08","","31.04166667"
