"Estacion","Fecha inicial","Fecha final","PLiquida"
"ESTACIÓN TRÁFICO CENTRO","2013-02-28","","0.02083333"
"ESTACIÓN TRÁFICO CENTRO","2013-02-27","","0.16666667"
"ESTACIÓN TRÁFICO CENTRO","2013-02-26","","0.08333333"
"ESTACIÓN TRÁFICO CENTRO","2013-02-25","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2013-02-24","","0.5625"
"ESTACIÓN TRÁFICO CENTRO","2013-02-23","","0.04166667"
"ESTACIÓN TRÁFICO CENTRO","2013-02-22","","0.41666667"
"ESTACIÓN TRÁFICO CENTRO","2013-02-21","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2013-02-20","","0.04166667"
"ESTACIÓN TRÁFICO CENTRO","2013-02-19","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2013-02-18","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2013-02-17","","0.10416667"
"ESTACIÓN TRÁFICO CENTRO","2013-02-16","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2013-02-15","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2013-02-14","","0.20833333"
"ESTACIÓN TRÁFICO CENTRO","2013-02-13","","0.125"
"ESTACIÓN TRÁFICO CENTRO","2013-02-12","","0.14583333"
"ESTACIÓN TRÁFICO CENTRO","2013-02-11","","0.06666667"
"ESTACIÓN TRÁFICO CENTRO","2013-02-08","","0.09375"
"ESTACIÓN TRÁFICO CENTRO","2013-02-07","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2013-02-06","","0.25"
"ESTACIÓN TRÁFICO CENTRO","2013-02-05","","0.41666667"
"ESTACIÓN TRÁFICO CENTRO","2013-02-04","","0.16666667"
"ESTACIÓN TRÁFICO CENTRO","2013-02-03","","0.97916667"
"ESTACIÓN TRÁFICO CENTRO","2013-02-02","","0.66666667"
"ESTACIÓN TRÁFICO CENTRO","2013-02-01","","0.0625"
"ESTACIÓN TRÁFICO CENTRO","2013-01-31","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2013-01-30","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2013-01-29","","0.08333333"
"ESTACIÓN TRÁFICO CENTRO","2013-01-28","","0.02083333"
"ESTACIÓN TRÁFICO CENTRO","2013-01-27","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2013-01-26","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2013-01-25","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2013-01-24","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2013-01-23","","0.02083333"
"ESTACIÓN TRÁFICO CENTRO","2013-01-22","","0.22916667"
"ESTACIÓN TRÁFICO CENTRO","2013-01-21","","0.125"
"ESTACIÓN TRÁFICO CENTRO","2013-01-20","","0.02083333"
"ESTACIÓN TRÁFICO CENTRO","2013-01-19","","0.04166667"
"ESTACIÓN TRÁFICO CENTRO","2013-01-18","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2013-01-17","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2013-01-16","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2013-01-15","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2013-01-14","","0.08333333"
"ESTACIÓN TRÁFICO CENTRO","2013-01-13","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2013-01-12","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2013-01-11","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2013-01-10","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2013-01-09","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2013-01-08","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2013-01-07","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2013-01-06","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2013-01-05","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2013-01-04","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2013-01-03","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2013-01-02","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2013-01-01","","0.04166667"
"ESTACIÓN TRÁFICO CENTRO","2012-12-31","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2012-12-30","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2012-12-29","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2012-12-28","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2012-12-27","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2012-12-26","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2012-12-25","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2012-12-24","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2012-12-23","","0.0"
"ESTACIÓN TRÁFICO CENTRO","2012-12-22","","0.02083333"
"ESTACIÓN TRÁFICO CENTRO","2012-12-21","","0.04166667"
"ESTACIÓN TRÁFICO CENTRO","2012-12-20","","0.08333333"
"ESTACIÓN TRÁFICO CENTRO","2012-12-19","","0.04166667"
"ESTACIÓN TRÁFICO CENTRO","2012-12-18","","0.0625"
