"Estacion","Fecha inicial","Fecha final","PM2.5"
"ESTACIÓN TRÁFICO CENTRO","2025-10-31","","17.08695652"
"ESTACIÓN TRÁFICO CENTRO","2025-10-30","","22.79166667"
"ESTACIÓN TRÁFICO CENTRO","2025-10-29","","23.83333333"
"ESTACIÓN TRÁFICO CENTRO","2025-10-28","","21.66666667"
"ESTACIÓN TRÁFICO CENTRO","2025-10-27","","14.08333333"
"ESTACIÓN TRÁFICO CENTRO","2025-10-26","","13.75"
"ESTACIÓN TRÁFICO CENTRO","2025-10-25","","20.75"
"ESTACIÓN TRÁFICO CENTRO","2025-10-24","","34.83333333"
"ESTACIÓN TRÁFICO CENTRO","2025-10-23","","31.29166667"
"ESTACIÓN TRÁFICO CENTRO","2025-10-22","","33.0"
"ESTACIÓN TRÁFICO CENTRO","2025-10-21","","23.04166667"
"ESTACIÓN TRÁFICO CENTRO","2025-10-20","","18.39583333"
"ESTACIÓN TRÁFICO CENTRO","2025-10-19","","19.91666667"
"ESTACIÓN TRÁFICO CENTRO","2025-10-18","","21.83333333"
"ESTACIÓN TRÁFICO CENTRO","2025-10-17","","27.04166667"
"ESTACIÓN TRÁFICO CENTRO","2025-10-16","","26.79166667"
"ESTACIÓN TRÁFICO CENTRO","2025-10-15","","25.5"
"ESTACIÓN TRÁFICO CENTRO","2025-10-14","","22.54166667"
"ESTACIÓN TRÁFICO CENTRO","2025-10-13","","16.625"
"ESTACIÓN TRÁFICO CENTRO","2025-10-12","","15.54166667"
"ESTACIÓN TRÁFICO CENTRO","2025-10-11","","25.04166667"
"ESTACIÓN TRÁFICO CENTRO","2025-10-10","","24.375"
"ESTACIÓN TRÁFICO CENTRO","2025-10-09","","34.25"
"ESTACIÓN TRÁFICO CENTRO","2025-10-08","","24.0"
"ESTACIÓN TRÁFICO CENTRO","2025-10-07","","21.91666667"
"ESTACIÓN TRÁFICO CENTRO","2025-10-06","","17.79166667"
"ESTACIÓN TRÁFICO CENTRO","2025-10-05","","12.29166667"
"ESTACIÓN TRÁFICO CENTRO","2025-10-04","","21.95833333"
"ESTACIÓN TRÁFICO CENTRO","2025-10-03","","21.125"
"ESTACIÓN TRÁFICO CENTRO","2025-10-02","","28.5"
"ESTACIÓN TRÁFICO CENTRO","2025-10-01","","25.04166667"
"ESTACIÓN TRÁFICO CENTRO","2025-09-30","","24.26086957"
"ESTACIÓN TRÁFICO CENTRO","2025-09-29","","15.83333333"
"ESTACIÓN TRÁFICO CENTRO","2025-09-28","","19.33333333"
"ESTACIÓN TRÁFICO CENTRO","2025-09-27","","31.83333333"
"ESTACIÓN TRÁFICO CENTRO","2025-09-26","","31.0"
"ESTACIÓN TRÁFICO CENTRO","2025-09-25","","19.25"
"ESTACIÓN TRÁFICO CENTRO","2025-09-24","","22.66666667"
"ESTACIÓN TRÁFICO CENTRO","2025-09-23","","17.41666667"
"ESTACIÓN TRÁFICO CENTRO","2025-09-22","","18.75"
"ESTACIÓN TRÁFICO CENTRO","2025-09-21","","16.22916667"
"ESTACIÓN TRÁFICO CENTRO","2025-09-20","","19.75"
"ESTACIÓN TRÁFICO CENTRO","2025-09-19","","26.125"
"ESTACIÓN TRÁFICO CENTRO","2025-09-18","","20.75"
"ESTACIÓN TRÁFICO CENTRO","2025-09-17","","26.66666667"
"ESTACIÓN TRÁFICO CENTRO","2025-09-16","","23.75"
"ESTACIÓN TRÁFICO CENTRO","2025-09-15","","18.04166667"
"ESTACIÓN TRÁFICO CENTRO","2025-09-14","","15.625"
"ESTACIÓN TRÁFICO CENTRO","2025-09-13","","20.3125"
"ESTACIÓN TRÁFICO CENTRO","2025-09-12","","31.5"
"ESTACIÓN TRÁFICO CENTRO","2025-09-11","","23.16666667"
"ESTACIÓN TRÁFICO CENTRO","2025-09-10","","23.20833333"
"ESTACIÓN TRÁFICO CENTRO","2025-09-09","","19.08333333"
"ESTACIÓN TRÁFICO CENTRO","2025-09-08","","17.29166667"
"ESTACIÓN TRÁFICO CENTRO","2025-09-07","","8.8125"
"ESTACIÓN TRÁFICO CENTRO","2025-09-06","","21.04166667"
"ESTACIÓN TRÁFICO CENTRO","2025-09-05","","18.04166667"
"ESTACIÓN TRÁFICO CENTRO","2025-09-04","","21.5"
"ESTACIÓN TRÁFICO CENTRO","2025-09-03","","17.79166667"
"ESTACIÓN TRÁFICO CENTRO","2025-09-02","","18.20833333"
"ESTACIÓN TRÁFICO CENTRO","2025-09-01","","19.83333333"
"ESTACIÓN TRÁFICO CENTRO","2025-08-31","","21.26086957"
"ESTACIÓN TRÁFICO CENTRO","2025-08-30","","26.91666667"
"ESTACIÓN TRÁFICO CENTRO","2025-08-29","","20.95454545"
"ESTACIÓN TRÁFICO CENTRO","2025-08-28","","20.52173913"
"ESTACIÓN TRÁFICO CENTRO","2025-08-27","","18.625"
"ESTACIÓN TRÁFICO CENTRO","2025-08-26","","18.45833333"
"ESTACIÓN TRÁFICO CENTRO","2025-08-25","","19.5"
"ESTACIÓN TRÁFICO CENTRO","2025-08-24","","13.625"
"ESTACIÓN TRÁFICO CENTRO","2025-08-23","","22.875"
"ESTACIÓN TRÁFICO CENTRO","2025-08-22","","22.45454545"
"ESTACIÓN TRÁFICO CENTRO","2025-08-21","","17.16666667"
"ESTACIÓN TRÁFICO CENTRO","2025-08-20","","18.75"
"ESTACIÓN TRÁFICO CENTRO","2025-08-19","","17.95652174"
"ESTACIÓN TRÁFICO CENTRO","2025-08-18","","11.35"
"ESTACIÓN TRÁFICO CENTRO","2025-08-17","","19.26315789"
"ESTACIÓN TRÁFICO CENTRO","2025-08-16","","18.5"
"ESTACIÓN TRÁFICO CENTRO","2025-08-15","","21.60869565"
"ESTACIÓN TRÁFICO CENTRO","2025-08-14","","26.86956522"
"ESTACIÓN TRÁFICO CENTRO","2025-08-13","","22.875"
"ESTACIÓN TRÁFICO CENTRO","2025-08-12","","19.82608696"
"ESTACIÓN TRÁFICO CENTRO","2025-08-11","","17.79166667"
"ESTACIÓN TRÁFICO CENTRO","2025-08-10","","22.16666667"
"ESTACIÓN TRÁFICO CENTRO","2025-08-09","","16.0"
"ESTACIÓN TRÁFICO CENTRO","2025-08-08","","26.31818182"
"ESTACIÓN TRÁFICO CENTRO","2025-08-07","","17.69565217"
