"Estacion","Fecha inicial","Fecha final","RGlobal"
"ESTACIÓN TRÁFICO CENTRO","2013-12-01","","2.8"
"ESTACIÓN TRÁFICO CENTRO","2013-11-30","","84.07875512"
"ESTACIÓN TRÁFICO CENTRO","2013-11-29","","117.04407913"
"ESTACIÓN TRÁFICO CENTRO","2013-11-28","","131.45259063"
"ESTACIÓN TRÁFICO CENTRO","2013-11-27","","142.95053296"
"ESTACIÓN TRÁFICO CENTRO","2013-11-26","","99.35407704"
"ESTACIÓN TRÁFICO CENTRO","2013-11-25","","119.89134579"
"ESTACIÓN TRÁFICO CENTRO","2013-11-24","","72.79833738"
"ESTACIÓN TRÁFICO CENTRO","2013-11-23","","88.31166813"
"ESTACIÓN TRÁFICO CENTRO","2013-11-22","","113.53425988"
"ESTACIÓN TRÁFICO CENTRO","2013-11-21","","130.5275985"
"ESTACIÓN TRÁFICO CENTRO","2013-11-20","","82.89456083"
"ESTACIÓN TRÁFICO CENTRO","2013-11-19","","144.60444529"
"ESTACIÓN TRÁFICO CENTRO","2013-11-18","","121.54675083"
"ESTACIÓN TRÁFICO CENTRO","2013-11-17","","125.738142"
"ESTACIÓN TRÁFICO CENTRO","2013-11-16","","162.78537321"
"ESTACIÓN TRÁFICO CENTRO","2013-11-15","","144.60129946"
"ESTACIÓN TRÁFICO CENTRO","2013-11-14","","149.11370525"
"ESTACIÓN TRÁFICO CENTRO","2013-11-13","","130.36037033"
"ESTACIÓN TRÁFICO CENTRO","2013-11-12","","124.30926133"
"ESTACIÓN TRÁFICO CENTRO","2013-11-11","","142.10980767"
"ESTACIÓN TRÁFICO CENTRO","2013-11-10","","87.86907458"
"ESTACIÓN TRÁFICO CENTRO","2013-11-09","","119.03851392"
"ESTACIÓN TRÁFICO CENTRO","2013-11-08","","131.93333683"
"ESTACIÓN TRÁFICO CENTRO","2013-11-07","","78.73536738"
"ESTACIÓN TRÁFICO CENTRO","2013-11-06","","139.96111133"
"ESTACIÓN TRÁFICO CENTRO","2013-11-05","","97.00666675"
"ESTACIÓN TRÁFICO CENTRO","2013-11-04","","107.78171967"
"ESTACIÓN TRÁFICO CENTRO","2013-11-03","","115.76181579"
"ESTACIÓN TRÁFICO CENTRO","2013-11-02","","156.5285155"
"ESTACIÓN TRÁFICO CENTRO","2013-11-01","","122.5795536"
"ESTACIÓN TRÁFICO CENTRO","2013-10-31","","102.29147721"
"ESTACIÓN TRÁFICO CENTRO","2013-10-30","","95.6343835"
"ESTACIÓN TRÁFICO CENTRO","2013-10-29","","109.52703671"
"ESTACIÓN TRÁFICO CENTRO","2013-10-28","","153.21302613"
"ESTACIÓN TRÁFICO CENTRO","2013-10-27","","117.27000338"
"ESTACIÓN TRÁFICO CENTRO","2013-10-26","","137.62536588"
"ESTACIÓN TRÁFICO CENTRO","2013-10-25","","134.84796396"
"ESTACIÓN TRÁFICO CENTRO","2013-10-24","","114.03037425"
"ESTACIÓN TRÁFICO CENTRO","2013-10-23","","161.098888"
"ESTACIÓN TRÁFICO CENTRO","2013-10-22","","93.27925833"
"ESTACIÓN TRÁFICO CENTRO","2013-10-21","","100.59166504"
"ESTACIÓN TRÁFICO CENTRO","2013-10-20","","127.47629663"
"ESTACIÓN TRÁFICO CENTRO","2013-10-19","","175.50056117"
"ESTACIÓN TRÁFICO CENTRO","2013-10-18","","157.52591758"
"ESTACIÓN TRÁFICO CENTRO","2013-10-17","","123.8840845"
"ESTACIÓN TRÁFICO CENTRO","2013-10-16","","91.03648608"
"ESTACIÓN TRÁFICO CENTRO","2013-10-15","","108.82499475"
"ESTACIÓN TRÁFICO CENTRO","2013-10-14","","49.60606942"
"ESTACIÓN TRÁFICO CENTRO","2013-10-13","","108.53203829"
"ESTACIÓN TRÁFICO CENTRO","2013-10-12","","115.478884"
"ESTACIÓN TRÁFICO CENTRO","2013-10-11","","128.72852304"
"ESTACIÓN TRÁFICO CENTRO","2013-10-10","","147.06351842"
"ESTACIÓN TRÁFICO CENTRO","2013-10-09","","172.02018208"
"ESTACIÓN TRÁFICO CENTRO","2013-10-08","","147.94963038"
"ESTACIÓN TRÁFICO CENTRO","2013-10-07","","156.89091838"
"ESTACIÓN TRÁFICO CENTRO","2013-10-06","","166.11018463"
"ESTACIÓN TRÁFICO CENTRO","2013-10-05","","193.65962733"
"ESTACIÓN TRÁFICO CENTRO","2013-10-04","","119.136112"
"ESTACIÓN TRÁFICO CENTRO","2013-10-03","","92.57962975"
"ESTACIÓN TRÁFICO CENTRO","2013-10-02","","138.41796667"
"ESTACIÓN TRÁFICO CENTRO","2013-10-01","","96.965645"
"ESTACIÓN TRÁFICO CENTRO","2013-09-30","","106.73150963"
"ESTACIÓN TRÁFICO CENTRO","2013-09-29","","124.98314638"
"ESTACIÓN TRÁFICO CENTRO","2013-09-28","","89.66777867"
"ESTACIÓN TRÁFICO CENTRO","2013-09-27","","80.20667129"
"ESTACIÓN TRÁFICO CENTRO","2013-09-26","","81.57129938"
"ESTACIÓN TRÁFICO CENTRO","2013-09-25","","123.78304063"
"ESTACIÓN TRÁFICO CENTRO","2013-09-24","","119.90592558"
"ESTACIÓN TRÁFICO CENTRO","2013-09-23","","162.25172479"
"ESTACIÓN TRÁFICO CENTRO","2013-09-22","","141.56519229"
"ESTACIÓN TRÁFICO CENTRO","2013-09-21","","193.62685246"
"ESTACIÓN TRÁFICO CENTRO","2013-09-20","","204.95685971"
"ESTACIÓN TRÁFICO CENTRO","2013-09-19","","143.19095296"
"ESTACIÓN TRÁFICO CENTRO","2013-09-18","","118.16770783"
"ESTACIÓN TRÁFICO CENTRO","2013-09-17","","127.31870246"
"ESTACIÓN TRÁFICO CENTRO","2013-09-16","","160.40383838"
"ESTACIÓN TRÁFICO CENTRO","2013-09-15","","138.46981588"
"ESTACIÓN TRÁFICO CENTRO","2013-09-14","","146.99888675"
"ESTACIÓN TRÁFICO CENTRO","2013-09-13","","131.26981275"
"ESTACIÓN TRÁFICO CENTRO","2013-09-12","","154.03200246"
"ESTACIÓN TRÁFICO CENTRO","2013-09-11","","81.74981813"
"ESTACIÓN TRÁFICO CENTRO","2013-09-10","","144.60352"
"ESTACIÓN TRÁFICO CENTRO","2013-09-09","","146.28925804"
"ESTACIÓN TRÁFICO CENTRO","2013-09-08","","158.97524621"
"ESTACIÓN TRÁFICO CENTRO","2013-09-07","","94.21054754"
"ESTACIÓN TRÁFICO CENTRO","2013-09-06","","79.62278083"
"ESTACIÓN TRÁFICO CENTRO","2013-09-05","","137.90129996"
"ESTACIÓN TRÁFICO CENTRO","2013-09-04","","94.98778071"
"ESTACIÓN TRÁFICO CENTRO","2013-09-03","","127.781116"
"ESTACIÓN TRÁFICO CENTRO","2013-09-02","","180.37072454"
"ESTACIÓN TRÁFICO CENTRO","2013-09-01","","169.17000325"
"ESTACIÓN TRÁFICO CENTRO","2013-08-31","","147.01314213"
"ESTACIÓN TRÁFICO CENTRO","2013-08-30","","145.63000721"
"ESTACIÓN TRÁFICO CENTRO","2013-08-29","","146.79833171"
"ESTACIÓN TRÁFICO CENTRO","2013-08-28","","186.22149217"
"ESTACIÓN TRÁFICO CENTRO","2013-08-27","","180.93074213"
"ESTACIÓN TRÁFICO CENTRO","2013-08-26","","189.3931505"
"ESTACIÓN TRÁFICO CENTRO","2013-08-25","","178.61499508"
"ESTACIÓN TRÁFICO CENTRO","2013-08-24","","126.65849608"
"ESTACIÓN TRÁFICO CENTRO","2013-08-23","","176.01389013"
"ESTACIÓN TRÁFICO CENTRO","2013-08-22","","162.55074325"
"ESTACIÓN TRÁFICO CENTRO","2013-08-21","","138.613153"
"ESTACIÓN TRÁFICO CENTRO","2013-08-20","","178.202037"
"ESTACIÓN TRÁFICO CENTRO","2013-08-19","","155.39777908"
"ESTACIÓN TRÁFICO CENTRO","2013-08-18","","119.03852142"
"ESTACIÓN TRÁFICO CENTRO","2013-08-17","","183.05481063"
"ESTACIÓN TRÁFICO CENTRO","2013-08-16","","146.68851496"
"ESTACIÓN TRÁFICO CENTRO","2013-08-15","","146.57352442"
"ESTACIÓN TRÁFICO CENTRO","2013-08-14","","202.15351283"
"ESTACIÓN TRÁFICO CENTRO","2013-08-13","","86.88148004"
"ESTACIÓN TRÁFICO CENTRO","2013-08-12","","103.25499975"
"ESTACIÓN TRÁFICO CENTRO","2013-08-11","","144.33444583"
"ESTACIÓN TRÁFICO CENTRO","2013-08-10","","151.95073921"
"ESTACIÓN TRÁFICO CENTRO","2013-08-09","","150.192592"
"ESTACIÓN TRÁFICO CENTRO","2013-08-08","","78.34278433"
"ESTACIÓN TRÁFICO CENTRO","2013-08-07","","117.03536554"
"ESTACIÓN TRÁFICO CENTRO","2013-08-06","","154.52185425"
"ESTACIÓN TRÁFICO CENTRO","2013-08-05","","190.90454096"
"ESTACIÓN TRÁFICO CENTRO","2013-08-04","","178.3674"
"ESTACIÓN TRÁFICO CENTRO","2013-08-03","","149.22481517"
"ESTACIÓN TRÁFICO CENTRO","2013-08-02","","152.06592104"
"ESTACIÓN TRÁFICO CENTRO","2013-08-01","","143.35778004"
"ESTACIÓN TRÁFICO CENTRO","2013-07-31","","158.44683565"
"ESTACIÓN TRÁFICO CENTRO","2013-07-30","","137.13852038"
"ESTACIÓN TRÁFICO CENTRO","2013-07-29","","176.16962842"
"ESTACIÓN TRÁFICO CENTRO","2013-07-28","","196.04814817"
"ESTACIÓN TRÁFICO CENTRO","2013-07-27","","188.02537154"
"ESTACIÓN TRÁFICO CENTRO","2013-07-26","","111.31676171"
"ESTACIÓN TRÁFICO CENTRO","2013-07-25","","186.56167021"
"ESTACIÓN TRÁFICO CENTRO","2013-07-24","","203.841849"
"ESTACIÓN TRÁFICO CENTRO","2013-07-23","","167.02389375"
