"Estacion","Fecha inicial","Fecha final","SO2"
"ESTACIÓN TRÁFICO CENTRO","2025-10-31","","6.22036391"
"ESTACIÓN TRÁFICO CENTRO","2025-10-30","","5.19456583"
"ESTACIÓN TRÁFICO CENTRO","2025-10-29","","6.73371208"
"ESTACIÓN TRÁFICO CENTRO","2025-10-28","","7.66259"
"ESTACIÓN TRÁFICO CENTRO","2025-10-27","","6.04490792"
"ESTACIÓN TRÁFICO CENTRO","2025-10-26","","3.44329458"
"ESTACIÓN TRÁFICO CENTRO","2025-10-25","","5.97656958"
"ESTACIÓN TRÁFICO CENTRO","2025-10-24","","9.71727375"
"ESTACIÓN TRÁFICO CENTRO","2025-10-23","","7.13524208"
"ESTACIÓN TRÁFICO CENTRO","2025-10-22","","6.94051292"
"ESTACIÓN TRÁFICO CENTRO","2025-10-21","","5.57271167"
"ESTACIÓN TRÁFICO CENTRO","2025-10-20","","2.31251292"
"ESTACIÓN TRÁFICO CENTRO","2025-10-19","","4.04347667"
"ESTACIÓN TRÁFICO CENTRO","2025-10-18","","5.78189292"
"ESTACIÓN TRÁFICO CENTRO","2025-10-17","","7.99911625"
"ESTACIÓN TRÁFICO CENTRO","2025-10-16","","5.73586875"
"ESTACIÓN TRÁFICO CENTRO","2025-10-15","","6.15171958"
"ESTACIÓN TRÁFICO CENTRO","2025-10-14","","7.4455525"
"ESTACIÓN TRÁFICO CENTRO","2025-10-13","","3.81610375"
"ESTACIÓN TRÁFICO CENTRO","2025-10-12","","1.53088833"
"ESTACIÓN TRÁFICO CENTRO","2025-10-11","","5.60445042"
"ESTACIÓN TRÁFICO CENTRO","2025-10-10","","4.17431458"
"ESTACIÓN TRÁFICO CENTRO","2025-10-09","","8.53436292"
"ESTACIÓN TRÁFICO CENTRO","2025-10-08","","3.47879542"
"ESTACIÓN TRÁFICO CENTRO","2025-10-07","","2.70084333"
"ESTACIÓN TRÁFICO CENTRO","2025-10-06","","2.22716667"
"ESTACIÓN TRÁFICO CENTRO","2025-10-05","","0.07410583"
"ESTACIÓN TRÁFICO CENTRO","2025-10-04","","1.4716475"
"ESTACIÓN TRÁFICO CENTRO","2025-10-03","","3.24809167"
"ESTACIÓN TRÁFICO CENTRO","2025-10-02","","5.26550667"
"ESTACIÓN TRÁFICO CENTRO","2025-10-01","","4.08104292"
"ESTACIÓN TRÁFICO CENTRO","2025-09-30","","4.2404287"
"ESTACIÓN TRÁFICO CENTRO","2025-09-29","","1.99772625"
"ESTACIÓN TRÁFICO CENTRO","2025-09-28","","1.27857667"
"ESTACIÓN TRÁFICO CENTRO","2025-09-27","","6.91069292"
"ESTACIÓN TRÁFICO CENTRO","2025-09-26","","5.18554625"
"ESTACIÓN TRÁFICO CENTRO","2025-09-25","","2.0566125"
"ESTACIÓN TRÁFICO CENTRO","2025-09-24","","6.38553458"
"ESTACIÓN TRÁFICO CENTRO","2025-09-23","","8.24545667"
"ESTACIÓN TRÁFICO CENTRO","2025-09-22","","5.479695"
"ESTACIÓN TRÁFICO CENTRO","2025-09-21","","6.19227083"
"ESTACIÓN TRÁFICO CENTRO","2025-09-20","","7.02846458"
"ESTACIÓN TRÁFICO CENTRO","2025-09-19","","8.42954708"
"ESTACIÓN TRÁFICO CENTRO","2025-09-18","","5.24465"
"ESTACIÓN TRÁFICO CENTRO","2025-09-17","","10.89608125"
"ESTACIÓN TRÁFICO CENTRO","2025-09-16","","7.80390167"
"ESTACIÓN TRÁFICO CENTRO","2025-09-15","","4.57787917"
"ESTACIÓN TRÁFICO CENTRO","2025-09-14","","5.06123167"
"ESTACIÓN TRÁFICO CENTRO","2025-09-13","","6.45524708"
"ESTACIÓN TRÁFICO CENTRO","2025-09-12","","9.85293083"
"ESTACIÓN TRÁFICO CENTRO","2025-09-11","","6.50372542"
"ESTACIÓN TRÁFICO CENTRO","2025-09-10","","7.23126292"
"ESTACIÓN TRÁFICO CENTRO","2025-09-09","","7.01445833"
"ESTACIÓN TRÁFICO CENTRO","2025-09-08","","2.826965"
"ESTACIÓN TRÁFICO CENTRO","2025-09-07","","0.9450425"
"ESTACIÓN TRÁFICO CENTRO","2025-09-06","","3.42500583"
"ESTACIÓN TRÁFICO CENTRO","2025-09-05","","4.77849"
"ESTACIÓN TRÁFICO CENTRO","2025-09-04","","6.81471333"
"ESTACIÓN TRÁFICO CENTRO","2025-09-03","","3.8022125"
"ESTACIÓN TRÁFICO CENTRO","2025-09-02","","5.31683542"
"ESTACIÓN TRÁFICO CENTRO","2025-09-01","","5.58905042"
"ESTACIÓN TRÁFICO CENTRO","2025-08-31","","6.44223316"
"ESTACIÓN TRÁFICO CENTRO","2025-08-30","","9.69101909"
"ESTACIÓN TRÁFICO CENTRO","2025-08-29","","10.28342015"
"ESTACIÓN TRÁFICO CENTRO","2025-08-28","","8.83361964"
"ESTACIÓN TRÁFICO CENTRO","2025-08-27","","5.20519816"
"ESTACIÓN TRÁFICO CENTRO","2025-08-26","","5.40231959"
"ESTACIÓN TRÁFICO CENTRO","2025-08-25","","5.52327231"
"ESTACIÓN TRÁFICO CENTRO","2025-08-24","","4.91716268"
"ESTACIÓN TRÁFICO CENTRO","2025-08-23","","2.91831591"
"ESTACIÓN TRÁFICO CENTRO","2025-08-22","","4.58570342"
"ESTACIÓN TRÁFICO CENTRO","2025-08-21","","2.2291659"
"ESTACIÓN TRÁFICO CENTRO","2025-08-20","","7.46129761"
"ESTACIÓN TRÁFICO CENTRO","2025-08-19","","2.67709063"
"ESTACIÓN TRÁFICO CENTRO","2025-08-18","","0.67930309"
"ESTACIÓN TRÁFICO CENTRO","2025-08-17","","3.19900487"
"ESTACIÓN TRÁFICO CENTRO","2025-08-16","","1.96924404"
"ESTACIÓN TRÁFICO CENTRO","2025-08-15","","3.23188832"
"ESTACIÓN TRÁFICO CENTRO","2025-08-14","","12.21895882"
"ESTACIÓN TRÁFICO CENTRO","2025-08-13","","3.94590216"
"ESTACIÓN TRÁFICO CENTRO","2025-08-12","","8.04165293"
"ESTACIÓN TRÁFICO CENTRO","2025-08-11","","4.73635815"
"ESTACIÓN TRÁFICO CENTRO","2025-08-10","","2.44112806"
"ESTACIÓN TRÁFICO CENTRO","2025-08-09","","3.96367355"
"ESTACIÓN TRÁFICO CENTRO","2025-08-08","","6.05036768"
"ESTACIÓN TRÁFICO CENTRO","2025-08-07","","3.2917946"
"ESTACIÓN TRÁFICO CENTRO","2025-08-06","","7.57971723"
"ESTACIÓN TRÁFICO CENTRO","2025-08-05","","9.76752812"
"ESTACIÓN TRÁFICO CENTRO","2025-08-04","","4.43964905"
"ESTACIÓN TRÁFICO CENTRO","2025-08-03","","2.04878915"
"ESTACIÓN TRÁFICO CENTRO","2025-08-02","","6.54696363"
"ESTACIÓN TRÁFICO CENTRO","2025-08-01","","5.41772518"
"ESTACIÓN TRÁFICO CENTRO","2025-07-31","","6.02367234"
"ESTACIÓN TRÁFICO CENTRO","2025-07-30","","5.39309759"
"ESTACIÓN TRÁFICO CENTRO","2025-07-29","","9.1421995"
"ESTACIÓN TRÁFICO CENTRO","2025-07-28","","3.86453254"
"ESTACIÓN TRÁFICO CENTRO","2025-07-27","","2.91412477"
"ESTACIÓN TRÁFICO CENTRO","2025-07-26","","5.08134981"
"ESTACIÓN TRÁFICO CENTRO","2025-07-25","","8.77365636"
"ESTACIÓN TRÁFICO CENTRO","2025-07-24","","6.89937707"
"ESTACIÓN TRÁFICO CENTRO","2025-07-23","","6.81010488"
"ESTACIÓN TRÁFICO CENTRO","2025-07-22","","7.64371841"
"ESTACIÓN TRÁFICO CENTRO","2025-07-21","","6.24360417"
"ESTACIÓN TRÁFICO CENTRO","2025-07-20","","8.02421002"
"ESTACIÓN TRÁFICO CENTRO","2025-07-19","","12.28706251"
"ESTACIÓN TRÁFICO CENTRO","2025-07-18","","10.28935012"
"ESTACIÓN TRÁFICO CENTRO","2025-07-17","","6.18128534"
"ESTACIÓN TRÁFICO CENTRO","2025-07-16","","6.90686993"
"ESTACIÓN TRÁFICO CENTRO","2025-07-15","","6.84513964"
"ESTACIÓN TRÁFICO CENTRO","2025-07-14","","4.33224441"
"ESTACIÓN TRÁFICO CENTRO","2025-07-13","","3.72840044"
"ESTACIÓN TRÁFICO CENTRO","2025-07-12","","4.11954373"
"ESTACIÓN TRÁFICO CENTRO","2025-07-11","","4.52187383"
"ESTACIÓN TRÁFICO CENTRO","2025-07-10","","8.46549174"
"ESTACIÓN TRÁFICO CENTRO","2025-07-09","","8.82856624"
"ESTACIÓN TRÁFICO CENTRO","2025-07-08","","8.62952187"
"ESTACIÓN TRÁFICO CENTRO","2025-07-07","","5.79958491"
"ESTACIÓN TRÁFICO CENTRO","2025-07-06","","4.1448299"
"ESTACIÓN TRÁFICO CENTRO","2025-07-05","","5.58286265"
"ESTACIÓN TRÁFICO CENTRO","2025-07-04","","6.23266041"
"ESTACIÓN TRÁFICO CENTRO","2025-07-03","","5.29266504"
"ESTACIÓN TRÁFICO CENTRO","2025-07-02","","7.46742822"
"ESTACIÓN TRÁFICO CENTRO","2025-07-01","","7.70601618"
"ESTACIÓN TRÁFICO CENTRO","2025-06-30","","4.45952494"
"ESTACIÓN TRÁFICO CENTRO","2025-06-29","","5.8177516"
"ESTACIÓN TRÁFICO CENTRO","2025-06-28","","8.3392098"
"ESTACIÓN TRÁFICO CENTRO","2025-06-27","","9.4809753"
"ESTACIÓN TRÁFICO CENTRO","2025-06-26","","6.65730831"
"ESTACIÓN TRÁFICO CENTRO","2025-06-25","","7.39003071"
"ESTACIÓN TRÁFICO CENTRO","2025-06-24","","4.49988788"
"ESTACIÓN TRÁFICO CENTRO","2025-06-23","","2.05702726"
"ESTACIÓN TRÁFICO CENTRO","2025-06-22","","2.75121445"
"ESTACIÓN TRÁFICO CENTRO","2025-06-21","","6.41351878"
"ESTACIÓN TRÁFICO CENTRO","2025-06-20","","6.22768601"
"ESTACIÓN TRÁFICO CENTRO","2025-06-19","","6.77316868"
"ESTACIÓN TRÁFICO CENTRO","2025-06-18","","4.97399487"
"ESTACIÓN TRÁFICO CENTRO","2025-06-17","","3.85531913"
"ESTACIÓN TRÁFICO CENTRO","2025-06-16","","8.30476918"
"ESTACIÓN TRÁFICO CENTRO","2025-06-15","","6.20203377"
"ESTACIÓN TRÁFICO CENTRO","2025-06-14","","6.67773279"
"ESTACIÓN TRÁFICO CENTRO","2025-06-13","","4.26435522"
"ESTACIÓN TRÁFICO CENTRO","2025-06-12","","9.55266023"
"ESTACIÓN TRÁFICO CENTRO","2025-06-11","","10.36675993"
"ESTACIÓN TRÁFICO CENTRO","2025-06-10","","5.39249585"
"ESTACIÓN TRÁFICO CENTRO","2025-06-09","","7.93471699"
"ESTACIÓN TRÁFICO CENTRO","2025-06-08","","4.3014357"
"ESTACIÓN TRÁFICO CENTRO","2025-06-07","","5.80420929"
"ESTACIÓN TRÁFICO CENTRO","2025-06-06","","7.60904011"
"ESTACIÓN TRÁFICO CENTRO","2025-06-05","","5.8599976"
"ESTACIÓN TRÁFICO CENTRO","2025-06-04","","6.5811134"
"ESTACIÓN TRÁFICO CENTRO","2025-06-03","","11.07696473"
"ESTACIÓN TRÁFICO CENTRO","2025-06-02","","4.76621572"
"ESTACIÓN TRÁFICO CENTRO","2025-06-01","","5.36768834"
"ESTACIÓN TRÁFICO CENTRO","2025-05-31","","7.80211945"
"ESTACIÓN TRÁFICO CENTRO","2025-05-30","","8.88529987"
"ESTACIÓN TRÁFICO CENTRO","2025-05-29","","6.7716634"
"ESTACIÓN TRÁFICO CENTRO","2025-05-28","","15.7497057"
"ESTACIÓN TRÁFICO CENTRO","2025-05-27","","8.05396618"
"ESTACIÓN TRÁFICO CENTRO","2025-05-26","","12.14850142"
"ESTACIÓN TRÁFICO CENTRO","2025-05-25","","12.50675297"
"ESTACIÓN TRÁFICO CENTRO","2025-05-24","","11.77275759"
"ESTACIÓN TRÁFICO CENTRO","2025-05-23","","9.69614482"
"ESTACIÓN TRÁFICO CENTRO","2025-05-22","","8.51657581"
"ESTACIÓN TRÁFICO CENTRO","2025-05-21","","6.7001291"
"ESTACIÓN TRÁFICO CENTRO","2025-05-20","","4.72939845"
"ESTACIÓN TRÁFICO CENTRO","2025-05-19","","4.45723441"
"ESTACIÓN TRÁFICO CENTRO","2025-05-18","","4.0765895"
"ESTACIÓN TRÁFICO CENTRO","2025-05-17","","5.86656783"
"ESTACIÓN TRÁFICO CENTRO","2025-05-16","","9.66521563"
"ESTACIÓN TRÁFICO CENTRO","2025-05-15","","7.12196471"
"ESTACIÓN TRÁFICO CENTRO","2025-05-14","","10.39123174"
"ESTACIÓN TRÁFICO CENTRO","2025-05-13","","16.94682078"
