"Estacion","Fecha inicial","Fecha final","TAire2"
"ESTACIÓN TRÁFICO CENTRO","2013-02-28","","23.78041667"
"ESTACIÓN TRÁFICO CENTRO","2013-02-27","","24.00458333"
"ESTACIÓN TRÁFICO CENTRO","2013-02-26","","23.7825"
"ESTACIÓN TRÁFICO CENTRO","2013-02-25","","24.09708333"
"ESTACIÓN TRÁFICO CENTRO","2013-02-24","","22.77833333"
"ESTACIÓN TRÁFICO CENTRO","2013-02-23","","24.57875"
"ESTACIÓN TRÁFICO CENTRO","2013-02-22","","23.39291667"
"ESTACIÓN TRÁFICO CENTRO","2013-02-21","","22.98333333"
"ESTACIÓN TRÁFICO CENTRO","2013-02-20","","23.97791667"
"ESTACIÓN TRÁFICO CENTRO","2013-02-19","","24.11875"
"ESTACIÓN TRÁFICO CENTRO","2013-02-18","","22.99083333"
"ESTACIÓN TRÁFICO CENTRO","2013-02-17","","20.72041667"
"ESTACIÓN TRÁFICO CENTRO","2013-02-16","","23.34541667"
"ESTACIÓN TRÁFICO CENTRO","2013-02-15","","22.39083333"
"ESTACIÓN TRÁFICO CENTRO","2013-02-14","","21.25083333"
"ESTACIÓN TRÁFICO CENTRO","2013-02-13","","21.95"
"ESTACIÓN TRÁFICO CENTRO","2013-02-12","","21.54916667"
"ESTACIÓN TRÁFICO CENTRO","2013-02-11","","19.62846154"
"ESTACIÓN TRÁFICO CENTRO","2013-02-10","","20.27791667"
"ESTACIÓN TRÁFICO CENTRO","2013-02-09","","22.32"
"ESTACIÓN TRÁFICO CENTRO","2013-02-08","","20.36409091"
"ESTACIÓN TRÁFICO CENTRO","2013-02-07","","22.94166667"
"ESTACIÓN TRÁFICO CENTRO","2013-02-06","","21.37416667"
"ESTACIÓN TRÁFICO CENTRO","2013-02-05","","21.01125"
"ESTACIÓN TRÁFICO CENTRO","2013-02-04","","21.73291667"
"ESTACIÓN TRÁFICO CENTRO","2013-02-03","","20.45166667"
"ESTACIÓN TRÁFICO CENTRO","2013-02-02","","19.57375"
"ESTACIÓN TRÁFICO CENTRO","2013-02-01","","21.33"
"ESTACIÓN TRÁFICO CENTRO","2013-01-31","","23.32583333"
"ESTACIÓN TRÁFICO CENTRO","2013-01-30","","24.42416667"
"ESTACIÓN TRÁFICO CENTRO","2013-01-29","","24.13375"
"ESTACIÓN TRÁFICO CENTRO","2013-01-28","","25.04125"
"ESTACIÓN TRÁFICO CENTRO","2013-01-27","","24.18041667"
"ESTACIÓN TRÁFICO CENTRO","2013-01-26","","22.22875"
"ESTACIÓN TRÁFICO CENTRO","2013-01-25","","21.83125"
"ESTACIÓN TRÁFICO CENTRO","2013-01-24","","22.76958333"
"ESTACIÓN TRÁFICO CENTRO","2013-01-23","","22.88416667"
"ESTACIÓN TRÁFICO CENTRO","2013-01-22","","22.89416667"
"ESTACIÓN TRÁFICO CENTRO","2013-01-21","","23.02333333"
"ESTACIÓN TRÁFICO CENTRO","2013-01-20","","22.19291667"
"ESTACIÓN TRÁFICO CENTRO","2013-01-19","","22.57458333"
"ESTACIÓN TRÁFICO CENTRO","2013-01-18","","22.80833333"
"ESTACIÓN TRÁFICO CENTRO","2013-01-17","","22.85291667"
"ESTACIÓN TRÁFICO CENTRO","2013-01-16","","21.91208333"
"ESTACIÓN TRÁFICO CENTRO","2013-01-15","","21.69041667"
"ESTACIÓN TRÁFICO CENTRO","2013-01-14","","22.57166667"
"ESTACIÓN TRÁFICO CENTRO","2013-01-13","","22.20416667"
"ESTACIÓN TRÁFICO CENTRO","2013-01-12","","23.6275"
"ESTACIÓN TRÁFICO CENTRO","2013-01-11","","24.5825"
"ESTACIÓN TRÁFICO CENTRO","2013-01-10","","24.54791667"
"ESTACIÓN TRÁFICO CENTRO","2013-01-09","","23.98291667"
"ESTACIÓN TRÁFICO CENTRO","2013-01-08","","24.24125"
"ESTACIÓN TRÁFICO CENTRO","2013-01-07","","23.88625"
"ESTACIÓN TRÁFICO CENTRO","2013-01-06","","23.90708333"
"ESTACIÓN TRÁFICO CENTRO","2013-01-05","","24.125"
"ESTACIÓN TRÁFICO CENTRO","2013-01-04","","23.83416667"
"ESTACIÓN TRÁFICO CENTRO","2013-01-03","","23.70083333"
"ESTACIÓN TRÁFICO CENTRO","2013-01-02","","23.97333333"
"ESTACIÓN TRÁFICO CENTRO","2013-01-01","","23.34375"
"ESTACIÓN TRÁFICO CENTRO","2012-12-31","","23.34833333"
"ESTACIÓN TRÁFICO CENTRO","2012-12-30","","22.55875"
"ESTACIÓN TRÁFICO CENTRO","2012-12-29","","23.63416667"
