"Estacion","Fecha inicial","Fecha final","VViento"
"ESTACIÓN TRÁFICO CENTRO","2013-12-01","","1.905739"
"ESTACIÓN TRÁFICO CENTRO","2013-11-30","","2.29980192"
"ESTACIÓN TRÁFICO CENTRO","2013-11-29","","2.40909429"
"ESTACIÓN TRÁFICO CENTRO","2013-11-28","","3.25033164"
"ESTACIÓN TRÁFICO CENTRO","2013-11-27","","1.85771605"
"ESTACIÓN TRÁFICO CENTRO","2013-11-26","","1.94549288"
"ESTACIÓN TRÁFICO CENTRO","2013-11-25","","1.60381188"
"ESTACIÓN TRÁFICO CENTRO","2013-11-24","","1.84938806"
"ESTACIÓN TRÁFICO CENTRO","2013-11-23","","2.27346788"
"ESTACIÓN TRÁFICO CENTRO","2013-11-22","","1.9098727"
"ESTACIÓN TRÁFICO CENTRO","2013-11-21","","2.4677638"
"ESTACIÓN TRÁFICO CENTRO","2013-11-20","","2.138827"
"ESTACIÓN TRÁFICO CENTRO","2013-11-19","","2.8095831"
"ESTACIÓN TRÁFICO CENTRO","2013-11-18","","2.09142209"
"ESTACIÓN TRÁFICO CENTRO","2013-11-17","","2.59075676"
"ESTACIÓN TRÁFICO CENTRO","2013-11-16","","2.90701592"
"ESTACIÓN TRÁFICO CENTRO","2013-11-15","","2.43348868"
"ESTACIÓN TRÁFICO CENTRO","2013-11-14","","2.86026257"
"ESTACIÓN TRÁFICO CENTRO","2013-11-13","","2.31144785"
"ESTACIÓN TRÁFICO CENTRO","2013-11-12","","2.77151825"
"ESTACIÓN TRÁFICO CENTRO","2013-11-11","","2.39429457"
"ESTACIÓN TRÁFICO CENTRO","2013-11-10","","2.14860014"
"ESTACIÓN TRÁFICO CENTRO","2013-11-09","","2.50161721"
"ESTACIÓN TRÁFICO CENTRO","2013-11-08","","2.538227"
"ESTACIÓN TRÁFICO CENTRO","2013-11-07","","1.88659356"
"ESTACIÓN TRÁFICO CENTRO","2013-11-06","","2.08226916"
"ESTACIÓN TRÁFICO CENTRO","2013-11-05","","1.95698756"
"ESTACIÓN TRÁFICO CENTRO","2013-11-04","","1.457622"
"ESTACIÓN TRÁFICO CENTRO","2013-11-03","","2.1832174"
"ESTACIÓN TRÁFICO CENTRO","2013-11-02","","2.40885441"
"ESTACIÓN TRÁFICO CENTRO","2013-11-01","","2.82305304"
"ESTACIÓN TRÁFICO CENTRO","2013-10-31","","1.94193214"
"ESTACIÓN TRÁFICO CENTRO","2013-10-30","","1.9421755"
"ESTACIÓN TRÁFICO CENTRO","2013-10-29","","2.25515786"
"ESTACIÓN TRÁFICO CENTRO","2013-10-28","","2.97646791"
"ESTACIÓN TRÁFICO CENTRO","2013-10-27","","3.07298877"
"ESTACIÓN TRÁFICO CENTRO","2013-10-26","","2.77574105"
"ESTACIÓN TRÁFICO CENTRO","2013-10-25","","2.58269692"
"ESTACIÓN TRÁFICO CENTRO","2013-10-24","","1.9293273"
"ESTACIÓN TRÁFICO CENTRO","2013-10-23","","2.60093364"
"ESTACIÓN TRÁFICO CENTRO","2013-10-22","","2.6170172"
"ESTACIÓN TRÁFICO CENTRO","2013-10-21","","2.29159285"
"ESTACIÓN TRÁFICO CENTRO","2013-10-20","","2.40348627"
"ESTACIÓN TRÁFICO CENTRO","2013-10-19","","2.52644135"
"ESTACIÓN TRÁFICO CENTRO","2013-10-18","","2.809837"
"ESTACIÓN TRÁFICO CENTRO","2013-10-17","","2.39798743"
"ESTACIÓN TRÁFICO CENTRO","2013-10-16","","3.43535089"
"ESTACIÓN TRÁFICO CENTRO","2013-10-15","","1.828036"
"ESTACIÓN TRÁFICO CENTRO","2013-10-14","","2.17795711"
"ESTACIÓN TRÁFICO CENTRO","2013-10-13","","1.98164645"
"ESTACIÓN TRÁFICO CENTRO","2013-10-12","","3.053011"
