"Estacion","Fecha inicial","Fecha final","PM10"
"ESTACIÓN TRÁFICO SUR (S)","2022-12-18","","39.11270369"
"ESTACIÓN TRÁFICO SUR (S)","2022-12-15","","42.91071288"
"ESTACIÓN TRÁFICO SUR (S)","2022-12-13","","66.27566831"
"ESTACIÓN TRÁFICO SUR (S)","2022-12-09","","42.30055657"
"ESTACIÓN TRÁFICO SUR (S)","2022-12-06","","51.47413907"
"ESTACIÓN TRÁFICO SUR (S)","2022-12-03","","37.94631969"
"ESTACIÓN TRÁFICO SUR (S)","2022-12-01","","47.97370948"
"ESTACIÓN TRÁFICO SUR (S)","2022-11-27","","27.16899279"
"ESTACIÓN TRÁFICO SUR (S)","2022-11-24","","47.880442"
"ESTACIÓN TRÁFICO SUR (S)","2022-11-22","","32.46892153"
"ESTACIÓN TRÁFICO SUR (S)","2022-11-18","","41.52909819"
"ESTACIÓN TRÁFICO SUR (S)","2022-11-16","","52.04066232"
"ESTACIÓN TRÁFICO SUR (S)","2022-11-12","","24.44335327"
"ESTACIÓN TRÁFICO SUR (S)","2022-11-09","","40.36231648"
"ESTACIÓN TRÁFICO SUR (S)","2022-11-06","","17.31625459"
"ESTACIÓN TRÁFICO SUR (S)","2022-11-03","","48.36983415"
"ESTACIÓN TRÁFICO SUR (S)","2022-11-01","","38.98879543"
"ESTACIÓN TRÁFICO SUR (S)","2022-10-28","","20.83274"
"ESTACIÓN TRÁFICO SUR (S)","2022-10-25","","49.51771272"
"ESTACIÓN TRÁFICO SUR (S)","2022-10-22","","39.5047033"
"ESTACIÓN TRÁFICO SUR (S)","2022-10-19","","48.15577589"
"ESTACIÓN TRÁFICO SUR (S)","2022-10-16","","29.77549204"
"ESTACIÓN TRÁFICO SUR (S)","2022-10-13","","47.05912645"
"ESTACIÓN TRÁFICO SUR (S)","2022-10-11","","57.24813317"
"ESTACIÓN TRÁFICO SUR (S)","2022-10-07","","38.57728443"
"ESTACIÓN TRÁFICO SUR (S)","2022-10-05","","43.43047709"
"ESTACIÓN TRÁFICO SUR (S)","2022-10-01","","42.1838468"
"ESTACIÓN TRÁFICO SUR (S)","2022-09-28","","15.09189601"
"ESTACIÓN TRÁFICO SUR (S)","2022-09-25","","30.79730766"
"ESTACIÓN TRÁFICO SUR (S)","2022-09-22","","40.34591261"
"ESTACIÓN TRÁFICO SUR (S)","2022-09-20","","57.23540308"
"ESTACIÓN TRÁFICO SUR (S)","2022-09-16","","44.58703957"
"ESTACIÓN TRÁFICO SUR (S)","2022-09-13","","45.9532828"
"ESTACIÓN TRÁFICO SUR (S)","2022-09-10","","50.10481754"
"ESTACIÓN TRÁFICO SUR (S)","2022-09-07","","44.28715438"
"ESTACIÓN TRÁFICO SUR (S)","2022-09-04","","25.56025299"
"ESTACIÓN TRÁFICO SUR (S)","2022-09-01","","52.10387812"
"ESTACIÓN TRÁFICO SUR (S)","2022-08-30","","57.12636"
"ESTACIÓN TRÁFICO SUR (S)","2022-08-26","","56.96352"
"ESTACIÓN TRÁFICO SUR (S)","2022-08-23","","67.86356"
"ESTACIÓN TRÁFICO SUR (S)","2022-08-20","","42.14172"
"ESTACIÓN TRÁFICO SUR (S)","2022-08-17","","61.29406"
"ESTACIÓN TRÁFICO SUR (S)","2022-08-14","","19.8823"
"ESTACIÓN TRÁFICO SUR (S)","2022-08-11","","65.70107"
"ESTACIÓN TRÁFICO SUR (S)","2022-08-09","","55.54278"
"ESTACIÓN TRÁFICO SUR (S)","2022-08-05","","35.46817"
"ESTACIÓN TRÁFICO SUR (S)","2022-08-02","","28.12809"
"ESTACIÓN TRÁFICO SUR (S)","2022-07-30","","30.867307"
"ESTACIÓN TRÁFICO SUR (S)","2022-07-24","","21.553594"
"ESTACIÓN TRÁFICO SUR (S)","2022-07-21","","50.879191"
"ESTACIÓN TRÁFICO SUR (S)","2022-07-18","","23.913092"
"ESTACIÓN TRÁFICO SUR (S)","2022-07-14","","51.093395"
"ESTACIÓN TRÁFICO SUR (S)","2022-07-12","","60.616788"
"ESTACIÓN TRÁFICO SUR (S)","2022-07-09","","62.744096"
"ESTACIÓN TRÁFICO SUR (S)","2022-07-06","","51.369987"
"ESTACIÓN TRÁFICO SUR (S)","2022-07-02","","54.888315"
"ESTACIÓN TRÁFICO SUR (S)","2022-06-30","","51.4747"
"ESTACIÓN TRÁFICO SUR (S)","2022-06-26","","18.82905"
"ESTACIÓN TRÁFICO SUR (S)","2022-06-23","","55.2004"
"ESTACIÓN TRÁFICO SUR (S)","2022-06-20","","31.8814"
"ESTACIÓN TRÁFICO SUR (S)","2022-06-16","","32.93656"
"ESTACIÓN TRÁFICO SUR (S)","2022-06-14","","39.06594"
"ESTACIÓN TRÁFICO SUR (S)","2022-06-11","","81.87272"
"ESTACIÓN TRÁFICO SUR (S)","2022-06-08","","38.72658"
"ESTACIÓN TRÁFICO SUR (S)","2022-06-05","","19.49254"
"ESTACIÓN TRÁFICO SUR (S)","2022-06-02","","24.74145"
"ESTACIÓN TRÁFICO SUR (S)","2022-05-31","","48.667598"
"ESTACIÓN TRÁFICO SUR (S)","2022-05-26","","45.420538"
"ESTACIÓN TRÁFICO SUR (S)","2022-05-24","","40.806367"
"ESTACIÓN TRÁFICO SUR (S)","2022-05-21","","42.871345"
