"Estacion","Fecha inicial","Fecha final","DViento"
"ESTACIÓN TRÁFICO SUR","2021-07-10","","227.90925341"
"ESTACIÓN TRÁFICO SUR","2021-07-09","","164.43451962"
"ESTACIÓN TRÁFICO SUR","2021-07-08","","72.722918"
"ESTACIÓN TRÁFICO SUR","2021-07-07","","195.83362892"
"ESTACIÓN TRÁFICO SUR","2021-07-06","","144.67008465"
"ESTACIÓN TRÁFICO SUR","2021-07-05","","163.85950169"
"ESTACIÓN TRÁFICO SUR","2021-07-04","","189.81216574"
"ESTACIÓN TRÁFICO SUR","2021-07-03","","195.08713525"
"ESTACIÓN TRÁFICO SUR","2021-07-02","","192.51809857"
"ESTACIÓN TRÁFICO SUR","2021-07-01","","233.52317058"
"ESTACIÓN TRÁFICO SUR","2021-06-30","","218.82094399"
"ESTACIÓN TRÁFICO SUR","2021-06-29","","199.60089554"
"ESTACIÓN TRÁFICO SUR","2021-06-28","","265.02836638"
"ESTACIÓN TRÁFICO SUR","2021-06-27","","174.13634776"
"ESTACIÓN TRÁFICO SUR","2021-06-26","","210.25897237"
"ESTACIÓN TRÁFICO SUR","2021-06-25","","163.3832234"
"ESTACIÓN TRÁFICO SUR","2021-06-24","","208.70716028"
"ESTACIÓN TRÁFICO SUR","2021-06-23","","207.80627558"
"ESTACIÓN TRÁFICO SUR","2021-06-22","","170.64391039"
"ESTACIÓN TRÁFICO SUR","2021-06-21","","211.53071257"
"ESTACIÓN TRÁFICO SUR","2021-06-20","","198.54371678"
"ESTACIÓN TRÁFICO SUR","2021-06-19","","122.36745691"
"ESTACIÓN TRÁFICO SUR","2021-06-18","","193.58353334"
"ESTACIÓN TRÁFICO SUR","2021-06-17","","210.95880705"
"ESTACIÓN TRÁFICO SUR","2021-06-16","","184.64787788"
"ESTACIÓN TRÁFICO SUR","2021-06-15","","183.01240382"
"ESTACIÓN TRÁFICO SUR","2021-06-14","","214.87476241"
"ESTACIÓN TRÁFICO SUR","2021-06-13","","229.03980112"
"ESTACIÓN TRÁFICO SUR","2021-06-12","","195.80018798"
"ESTACIÓN TRÁFICO SUR","2021-06-11","","168.16765355"
"ESTACIÓN TRÁFICO SUR","2021-06-10","","221.06144345"
"ESTACIÓN TRÁFICO SUR","2021-06-09","","163.07908832"
"ESTACIÓN TRÁFICO SUR","2021-06-08","","127.62596822"
"ESTACIÓN TRÁFICO SUR","2021-06-07","","155.63279057"
"ESTACIÓN TRÁFICO SUR","2021-06-06","","90.90734823"
"ESTACIÓN TRÁFICO SUR","2021-06-05","","215.97033924"
"ESTACIÓN TRÁFICO SUR","2021-06-04","","198.65697701"
"ESTACIÓN TRÁFICO SUR","2021-06-03","","176.49212213"
"ESTACIÓN TRÁFICO SUR","2021-06-02","","198.18832335"
"ESTACIÓN TRÁFICO SUR","2021-06-01","","155.72519612"
"ESTACIÓN TRÁFICO SUR","2021-05-31","","193.5738179"
"ESTACIÓN TRÁFICO SUR","2021-05-30","","202.58061096"
"ESTACIÓN TRÁFICO SUR","2021-05-29","","221.39762226"
"ESTACIÓN TRÁFICO SUR","2021-05-28","","214.18505902"
"ESTACIÓN TRÁFICO SUR","2021-05-27","","177.53813771"
"ESTACIÓN TRÁFICO SUR","2021-05-26","","193.11216779"
"ESTACIÓN TRÁFICO SUR","2021-05-25","","184.07370205"
"ESTACIÓN TRÁFICO SUR","2021-05-24","","192.83249976"
"ESTACIÓN TRÁFICO SUR","2021-05-23","","223.85225769"
"ESTACIÓN TRÁFICO SUR","2021-05-22","","172.208024"
"ESTACIÓN TRÁFICO SUR","2021-05-21","","201.59697038"
"ESTACIÓN TRÁFICO SUR","2021-05-20","","209.72845458"
"ESTACIÓN TRÁFICO SUR","2021-05-19","","170.68765458"
"ESTACIÓN TRÁFICO SUR","2021-05-18","","151.4385737"
"ESTACIÓN TRÁFICO SUR","2021-05-17","","156.46820027"
"ESTACIÓN TRÁFICO SUR","2021-05-16","","168.38038273"
"ESTACIÓN TRÁFICO SUR","2021-05-15","","203.96161494"
"ESTACIÓN TRÁFICO SUR","2021-05-14","","121.27151415"
"ESTACIÓN TRÁFICO SUR","2021-05-13","","134.82888237"
"ESTACIÓN TRÁFICO SUR","2021-05-12","","199.56876709"
"ESTACIÓN TRÁFICO SUR","2021-05-11","","178.73011483"
"ESTACIÓN TRÁFICO SUR","2021-05-10","","212.81007553"
"ESTACIÓN TRÁFICO SUR","2021-05-09","","210.66177484"
"ESTACIÓN TRÁFICO SUR","2021-05-08","","185.6847016"
"ESTACIÓN TRÁFICO SUR","2021-05-07","","198.65941143"
"ESTACIÓN TRÁFICO SUR","2021-05-06","","183.50791978"
"ESTACIÓN TRÁFICO SUR","2021-05-05","","145.69192671"
"ESTACIÓN TRÁFICO SUR","2021-05-04","","167.94257249"
"ESTACIÓN TRÁFICO SUR","2021-05-03","","148.34617554"
"ESTACIÓN TRÁFICO SUR","2021-05-02","","215.69997688"
"ESTACIÓN TRÁFICO SUR","2021-05-01","","240.35054326"
"ESTACIÓN TRÁFICO SUR","2021-04-30","","211.83333333"
