"Estacion","Fecha inicial","Fecha final","NO"
"ESTACIÓN TRÁFICO SUR","2022-12-31","","39.97066613"
"ESTACIÓN TRÁFICO SUR","2022-12-30","","50.36261089"
"ESTACIÓN TRÁFICO SUR","2022-12-29","","44.53022765"
"ESTACIÓN TRÁFICO SUR","2022-12-28","","41.09893951"
"ESTACIÓN TRÁFICO SUR","2022-12-27","","51.09365882"
"ESTACIÓN TRÁFICO SUR","2022-12-26","","29.55763008"
"ESTACIÓN TRÁFICO SUR","2022-12-25","","15.6084161"
"ESTACIÓN TRÁFICO SUR","2022-12-24","","40.41880624"
"ESTACIÓN TRÁFICO SUR","2022-12-23","","56.15617547"
"ESTACIÓN TRÁFICO SUR","2022-12-22","","49.88672403"
"ESTACIÓN TRÁFICO SUR","2022-12-21","","76.64938726"
"ESTACIÓN TRÁFICO SUR","2022-12-20","","68.65454404"
"ESTACIÓN TRÁFICO SUR","2022-12-19","","50.98332089"
"ESTACIÓN TRÁFICO SUR","2022-12-18","","34.36087349"
"ESTACIÓN TRÁFICO SUR","2022-12-17","","48.5899556"
"ESTACIÓN TRÁFICO SUR","2022-12-16","","50.95776442"
"ESTACIÓN TRÁFICO SUR","2022-12-15","","77.15407415"
"ESTACIÓN TRÁFICO SUR","2022-12-14","","58.76441442"
"ESTACIÓN TRÁFICO SUR","2022-12-13","","62.28306236"
"ESTACIÓN TRÁFICO SUR","2022-12-12","","49.75302826"
"ESTACIÓN TRÁFICO SUR","2022-12-11","","20.31187941"
"ESTACIÓN TRÁFICO SUR","2022-12-10","","23.09025261"
"ESTACIÓN TRÁFICO SUR","2022-12-09","","31.70097837"
"ESTACIÓN TRÁFICO SUR","2022-12-08","","20.35284948"
"ESTACIÓN TRÁFICO SUR","2022-12-07","","50.56624705"
"ESTACIÓN TRÁFICO SUR","2022-12-06","","64.5114816"
"ESTACIÓN TRÁFICO SUR","2022-12-05","","34.40989373"
"ESTACIÓN TRÁFICO SUR","2022-12-04","","22.08796267"
"ESTACIÓN TRÁFICO SUR","2022-12-03","","32.78096387"
"ESTACIÓN TRÁFICO SUR","2022-12-02","","32.82872345"
"ESTACIÓN TRÁFICO SUR","2022-12-01","","29.66614717"
"ESTACIÓN TRÁFICO SUR","2022-11-30","","50.64621481"
"ESTACIÓN TRÁFICO SUR","2022-11-29","","51.44376761"
"ESTACIÓN TRÁFICO SUR","2022-11-28","","44.38223241"
"ESTACIÓN TRÁFICO SUR","2022-11-27","","38.98032391"
"ESTACIÓN TRÁFICO SUR","2022-11-26","","65.00313619"
"ESTACIÓN TRÁFICO SUR","2022-11-25","","63.25820398"
"ESTACIÓN TRÁFICO SUR","2022-11-24","","56.7202627"
"ESTACIÓN TRÁFICO SUR","2022-11-23","","35.59420072"
"ESTACIÓN TRÁFICO SUR","2022-11-22","","32.58135919"
"ESTACIÓN TRÁFICO SUR","2022-11-21","","38.31843292"
"ESTACIÓN TRÁFICO SUR","2022-11-20","","35.1342263"
"ESTACIÓN TRÁFICO SUR","2022-11-19","","43.34628032"
"ESTACIÓN TRÁFICO SUR","2022-11-18","","53.3268038"
"ESTACIÓN TRÁFICO SUR","2022-11-17","","60.96833719"
"ESTACIÓN TRÁFICO SUR","2022-11-16","","58.65906974"
"ESTACIÓN TRÁFICO SUR","2022-11-15","","55.81953986"
"ESTACIÓN TRÁFICO SUR","2022-11-14","","15.33916931"
"ESTACIÓN TRÁFICO SUR","2022-11-13","","11.24380528"
"ESTACIÓN TRÁFICO SUR","2022-11-12","","31.42645353"
"ESTACIÓN TRÁFICO SUR","2022-11-11","","57.73452645"
"ESTACIÓN TRÁFICO SUR","2022-11-10","","61.32046415"
"ESTACIÓN TRÁFICO SUR","2022-11-09","","46.54096387"
"ESTACIÓN TRÁFICO SUR","2022-11-08","","40.86765575"
"ESTACIÓN TRÁFICO SUR","2022-11-07","","24.50048593"
"ESTACIÓN TRÁFICO SUR","2022-11-06","","22.17689033"
"ESTACIÓN TRÁFICO SUR","2022-11-05","","20.01225904"
"ESTACIÓN TRÁFICO SUR","2022-11-04","","34.89235218"
"ESTACIÓN TRÁFICO SUR","2022-11-03","","49.53199747"
"ESTACIÓN TRÁFICO SUR","2022-11-02","","51.48990625"
"ESTACIÓN TRÁFICO SUR","2022-11-01","","48.17574466"
"ESTACIÓN TRÁFICO SUR","2022-10-31","","37.85006816"
"ESTACIÓN TRÁFICO SUR","2022-10-30","","15.58155089"
"ESTACIÓN TRÁFICO SUR","2022-10-29","","27.502574"
"ESTACIÓN TRÁFICO SUR","2022-10-28","","53.99356441"
"ESTACIÓN TRÁFICO SUR","2022-10-27","","39.58046303"
"ESTACIÓN TRÁFICO SUR","2022-10-26","","47.53128096"
"ESTACIÓN TRÁFICO SUR","2022-10-25","","45.90627983"
"ESTACIÓN TRÁFICO SUR","2022-10-24","","54.73985894"
"ESTACIÓN TRÁFICO SUR","2022-10-23","","26.86313024"
"ESTACIÓN TRÁFICO SUR","2022-10-22","","46.21039059"
"ESTACIÓN TRÁFICO SUR","2022-10-21","","71.24390339"
