"Estacion","Fecha inicial","Fecha final","NO2"
"ESTACIÓN TRÁFICO SUR","2022-12-31","","25.70464619"
"ESTACIÓN TRÁFICO SUR","2022-12-30","","36.02720214"
"ESTACIÓN TRÁFICO SUR","2022-12-29","","39.68188256"
"ESTACIÓN TRÁFICO SUR","2022-12-28","","39.86728431"
"ESTACIÓN TRÁFICO SUR","2022-12-27","","36.86796457"
"ESTACIÓN TRÁFICO SUR","2022-12-26","","38.58231376"
"ESTACIÓN TRÁFICO SUR","2022-12-25","","19.7760064"
"ESTACIÓN TRÁFICO SUR","2022-12-24","","34.06686479"
"ESTACIÓN TRÁFICO SUR","2022-12-23","","39.83305279"
"ESTACIÓN TRÁFICO SUR","2022-12-22","","39.1280779"
"ESTACIÓN TRÁFICO SUR","2022-12-21","","44.67249844"
"ESTACIÓN TRÁFICO SUR","2022-12-20","","43.65420922"
"ESTACIÓN TRÁFICO SUR","2022-12-19","","40.02024095"
"ESTACIÓN TRÁFICO SUR","2022-12-18","","22.45775189"
"ESTACIÓN TRÁFICO SUR","2022-12-17","","35.17119732"
"ESTACIÓN TRÁFICO SUR","2022-12-16","","38.56931534"
"ESTACIÓN TRÁFICO SUR","2022-12-15","","42.81907639"
"ESTACIÓN TRÁFICO SUR","2022-12-14","","39.96194787"
"ESTACIÓN TRÁFICO SUR","2022-12-13","","44.56630498"
"ESTACIÓN TRÁFICO SUR","2022-12-12","","38.19602797"
"ESTACIÓN TRÁFICO SUR","2022-12-11","","27.58095396"
"ESTACIÓN TRÁFICO SUR","2022-12-10","","41.41561576"
"ESTACIÓN TRÁFICO SUR","2022-12-09","","46.26842807"
"ESTACIÓN TRÁFICO SUR","2022-12-08","","24.21707215"
"ESTACIÓN TRÁFICO SUR","2022-12-07","","41.44143239"
"ESTACIÓN TRÁFICO SUR","2022-12-06","","40.45890747"
"ESTACIÓN TRÁFICO SUR","2022-12-05","","35.09921212"
"ESTACIÓN TRÁFICO SUR","2022-12-04","","25.45672218"
"ESTACIÓN TRÁFICO SUR","2022-12-03","","32.42564833"
"ESTACIÓN TRÁFICO SUR","2022-12-02","","32.93094005"
"ESTACIÓN TRÁFICO SUR","2022-12-01","","37.26262592"
"ESTACIÓN TRÁFICO SUR","2022-11-30","","35.89230616"
"ESTACIÓN TRÁFICO SUR","2022-11-29","","27.1613258"
"ESTACIÓN TRÁFICO SUR","2022-11-28","","31.18368916"
"ESTACIÓN TRÁFICO SUR","2022-11-27","","29.04362287"
"ESTACIÓN TRÁFICO SUR","2022-11-26","","38.86017243"
"ESTACIÓN TRÁFICO SUR","2022-11-25","","38.57218435"
"ESTACIÓN TRÁFICO SUR","2022-11-24","","39.52339065"
"ESTACIÓN TRÁFICO SUR","2022-11-23","","34.81975893"
"ESTACIÓN TRÁFICO SUR","2022-11-22","","27.12070663"
"ESTACIÓN TRÁFICO SUR","2022-11-21","","38.94151349"
"ESTACIÓN TRÁFICO SUR","2022-11-20","","24.39595276"
"ESTACIÓN TRÁFICO SUR","2022-11-19","","37.07470127"
"ESTACIÓN TRÁFICO SUR","2022-11-18","","46.25351789"
"ESTACIÓN TRÁFICO SUR","2022-11-17","","39.18517769"
"ESTACIÓN TRÁFICO SUR","2022-11-16","","35.00961424"
"ESTACIÓN TRÁFICO SUR","2022-11-15","","34.09099687"
"ESTACIÓN TRÁFICO SUR","2022-11-14","","26.84633194"
"ESTACIÓN TRÁFICO SUR","2022-11-13","","13.69406131"
"ESTACIÓN TRÁFICO SUR","2022-11-12","","28.42422519"
"ESTACIÓN TRÁFICO SUR","2022-11-11","","45.46794036"
"ESTACIÓN TRÁFICO SUR","2022-11-10","","43.65079774"
"ESTACIÓN TRÁFICO SUR","2022-11-09","","37.81753055"
"ESTACIÓN TRÁFICO SUR","2022-11-08","","37.39476853"
"ESTACIÓN TRÁFICO SUR","2022-11-07","","18.184183"
"ESTACIÓN TRÁFICO SUR","2022-11-06","","17.86262924"
"ESTACIÓN TRÁFICO SUR","2022-11-05","","21.64957111"
"ESTACIÓN TRÁFICO SUR","2022-11-04","","18.78074381"
"ESTACIÓN TRÁFICO SUR","2022-11-03","","31.18513848"
"ESTACIÓN TRÁFICO SUR","2022-11-02","","35.29859851"
"ESTACIÓN TRÁFICO SUR","2022-11-01","","40.1559982"
"ESTACIÓN TRÁFICO SUR","2022-10-31","","42.28059411"
"ESTACIÓN TRÁFICO SUR","2022-10-30","","21.00471003"
"ESTACIÓN TRÁFICO SUR","2022-10-29","","26.58025696"
"ESTACIÓN TRÁFICO SUR","2022-10-28","","39.27223267"
"ESTACIÓN TRÁFICO SUR","2022-10-27","","31.1008481"
"ESTACIÓN TRÁFICO SUR","2022-10-26","","32.37955449"
"ESTACIÓN TRÁFICO SUR","2022-10-25","","31.43988658"
"ESTACIÓN TRÁFICO SUR","2022-10-24","","36.7407697"
"ESTACIÓN TRÁFICO SUR","2022-10-23","","29.85726093"
"ESTACIÓN TRÁFICO SUR","2022-10-22","","38.56777966"
"ESTACIÓN TRÁFICO SUR","2022-10-21","","46.04189209"
"ESTACIÓN TRÁFICO SUR","2022-10-20","","31.06659659"
"ESTACIÓN TRÁFICO SUR","2022-10-19","","49.51315069"
"ESTACIÓN TRÁFICO SUR","2022-10-18","","46.33898854"
"ESTACIÓN TRÁFICO SUR","2022-10-17","","21.27215066"
"ESTACIÓN TRÁFICO SUR","2022-10-16","","25.61845883"
"ESTACIÓN TRÁFICO SUR","2022-10-15","","45.85147588"
"ESTACIÓN TRÁFICO SUR","2022-10-14","","45.60367547"
"ESTACIÓN TRÁFICO SUR","2022-10-13","","43.15215393"
"ESTACIÓN TRÁFICO SUR","2022-10-12","","42.47456745"
"ESTACIÓN TRÁFICO SUR","2022-10-11","","43.62664702"
"ESTACIÓN TRÁFICO SUR","2022-10-10","","44.20942891"
"ESTACIÓN TRÁFICO SUR","2022-10-09","","36.74476325"
"ESTACIÓN TRÁFICO SUR","2022-10-08","","26.56015446"
"ESTACIÓN TRÁFICO SUR","2022-10-07","","40.94483415"
"ESTACIÓN TRÁFICO SUR","2022-10-06","","41.7479568"
"ESTACIÓN TRÁFICO SUR","2022-10-05","","45.07296766"
"ESTACIÓN TRÁFICO SUR","2022-10-04","","38.75917526"
"ESTACIÓN TRÁFICO SUR","2022-10-03","","41.35095276"
"ESTACIÓN TRÁFICO SUR","2022-10-02","","32.26969869"
"ESTACIÓN TRÁFICO SUR","2022-10-01","","49.31120122"
"ESTACIÓN TRÁFICO SUR","2022-09-30","","62.66093959"
"ESTACIÓN TRÁFICO SUR","2022-09-28","","35.68220194"
"ESTACIÓN TRÁFICO SUR","2022-09-27","","52.04954976"
"ESTACIÓN TRÁFICO SUR","2022-09-26","","35.81286161"
"ESTACIÓN TRÁFICO SUR","2022-09-25","","35.68051739"
"ESTACIÓN TRÁFICO SUR","2022-09-24","","45.72191482"
"ESTACIÓN TRÁFICO SUR","2022-09-23","","61.78018399"
"ESTACIÓN TRÁFICO SUR","2022-09-22","","54.75241317"
"ESTACIÓN TRÁFICO SUR","2022-09-21","","49.6665696"
"ESTACIÓN TRÁFICO SUR","2022-09-20","","36.83825469"
"ESTACIÓN TRÁFICO SUR","2022-09-19","","33.12210641"
"ESTACIÓN TRÁFICO SUR","2022-09-18","","30.303095"
"ESTACIÓN TRÁFICO SUR","2022-09-17","","41.31415917"
"ESTACIÓN TRÁFICO SUR","2022-09-16","","39.71088258"
"ESTACIÓN TRÁFICO SUR","2022-09-15","","45.50548446"
"ESTACIÓN TRÁFICO SUR","2022-09-14","","47.43890444"
"ESTACIÓN TRÁFICO SUR","2022-09-13","","42.24022537"
"ESTACIÓN TRÁFICO SUR","2022-09-12","","41.4484683"
"ESTACIÓN TRÁFICO SUR","2022-09-11","","27.34457673"
"ESTACIÓN TRÁFICO SUR","2022-09-10","","41.90929699"
"ESTACIÓN TRÁFICO SUR","2022-09-09","","45.65232354"
"ESTACIÓN TRÁFICO SUR","2022-09-08","","38.74629437"
"ESTACIÓN TRÁFICO SUR","2022-09-07","","38.42912848"
"ESTACIÓN TRÁFICO SUR","2022-09-06","","50.66852883"
"ESTACIÓN TRÁFICO SUR","2022-09-05","","42.41028836"
"ESTACIÓN TRÁFICO SUR","2022-09-04","","27.58799692"
"ESTACIÓN TRÁFICO SUR","2022-09-03","","40.9509322"
"ESTACIÓN TRÁFICO SUR","2022-09-02","","38.69651916"
"ESTACIÓN TRÁFICO SUR","2022-09-01","","38.10360426"
"ESTACIÓN TRÁFICO SUR","2022-08-31","","42.77245794"
"ESTACIÓN TRÁFICO SUR","2022-08-30","","43.2090837"
"ESTACIÓN TRÁFICO SUR","2022-08-29","","45.28483664"
"ESTACIÓN TRÁFICO SUR","2022-08-28","","27.73896032"
"ESTACIÓN TRÁFICO SUR","2022-08-27","","38.10568168"
"ESTACIÓN TRÁFICO SUR","2022-08-26","","47.20331212"
"ESTACIÓN TRÁFICO SUR","2022-08-25","","46.38661258"
"ESTACIÓN TRÁFICO SUR","2022-08-24","","42.7791566"
"ESTACIÓN TRÁFICO SUR","2022-08-23","","42.35976535"
"ESTACIÓN TRÁFICO SUR","2022-08-22","","46.09130801"
"ESTACIÓN TRÁFICO SUR","2022-08-21","","28.70075163"
