"Estacion","Fecha inicial","Fecha final","TMPR AIR 10CM"
"ESTACIÓN TRÁFICO SUR","2021-07-10","","20.04521444"
"ESTACIÓN TRÁFICO SUR","2021-07-09","","22.04827285"
"ESTACIÓN TRÁFICO SUR","2021-07-08","","25.07190817"
"ESTACIÓN TRÁFICO SUR","2021-07-07","","22.95264089"
"ESTACIÓN TRÁFICO SUR","2021-07-06","","22.48111382"
"ESTACIÓN TRÁFICO SUR","2021-07-05","","21.17353329"
"ESTACIÓN TRÁFICO SUR","2021-07-04","","21.6567124"
"ESTACIÓN TRÁFICO SUR","2021-07-03","","21.47637345"
"ESTACIÓN TRÁFICO SUR","2021-07-02","","21.0822194"
"ESTACIÓN TRÁFICO SUR","2021-07-01","","19.57112053"
"ESTACIÓN TRÁFICO SUR","2021-06-30","","20.973134"
"ESTACIÓN TRÁFICO SUR","2021-06-29","","22.14894372"
"ESTACIÓN TRÁFICO SUR","2021-06-28","","17.10432345"
"ESTACIÓN TRÁFICO SUR","2021-06-27","","20.19994868"
"ESTACIÓN TRÁFICO SUR","2021-06-26","","19.78101118"
"ESTACIÓN TRÁFICO SUR","2021-06-25","","20.386734"
"ESTACIÓN TRÁFICO SUR","2021-06-24","","19.35343515"
"ESTACIÓN TRÁFICO SUR","2021-06-23","","20.85849408"
"ESTACIÓN TRÁFICO SUR","2021-06-22","","19.65174553"
"ESTACIÓN TRÁFICO SUR","2021-06-21","","20.21994683"
"ESTACIÓN TRÁFICO SUR","2021-06-20","","19.82620769"
"ESTACIÓN TRÁFICO SUR","2021-06-19","","22.23907826"
"ESTACIÓN TRÁFICO SUR","2021-06-18","","21.48618056"
"ESTACIÓN TRÁFICO SUR","2021-06-17","","20.98692361"
"ESTACIÓN TRÁFICO SUR","2021-06-16","","21.14172917"
"ESTACIÓN TRÁFICO SUR","2021-06-15","","20.56417361"
"ESTACIÓN TRÁFICO SUR","2021-06-14","","19.27267361"
"ESTACIÓN TRÁFICO SUR","2021-06-13","","19.78509722"
"ESTACIÓN TRÁFICO SUR","2021-06-12","","19.68144445"
"ESTACIÓN TRÁFICO SUR","2021-06-11","","21.01602778"
"ESTACIÓN TRÁFICO SUR","2021-06-10","","20.84828985"
"ESTACIÓN TRÁFICO SUR","2021-06-09","","18.95507292"
"ESTACIÓN TRÁFICO SUR","2021-06-08","","19.15139583"
"ESTACIÓN TRÁFICO SUR","2021-06-07","","20.24058333"
"ESTACIÓN TRÁFICO SUR","2021-06-06","","21.63698611"
"ESTACIÓN TRÁFICO SUR","2021-06-05","","21.73036805"
"ESTACIÓN TRÁFICO SUR","2021-06-04","","21.96939583"
"ESTACIÓN TRÁFICO SUR","2021-06-03","","21.89292472"
"ESTACIÓN TRÁFICO SUR","2021-06-02","","20.75802615"
"ESTACIÓN TRÁFICO SUR","2021-06-01","","19.63432474"
"ESTACIÓN TRÁFICO SUR","2021-05-31","","20.29824638"
"ESTACIÓN TRÁFICO SUR","2021-05-30","","20.09484722"
"ESTACIÓN TRÁFICO SUR","2021-05-29","","19.78748611"
"ESTACIÓN TRÁFICO SUR","2021-05-28","","19.88573611"
"ESTACIÓN TRÁFICO SUR","2021-05-27","","20.32565278"
"ESTACIÓN TRÁFICO SUR","2021-05-26","","20.49821528"
"ESTACIÓN TRÁFICO SUR","2021-05-25","","22.43031884"
"ESTACIÓN TRÁFICO SUR","2021-05-24","","22.21500695"
"ESTACIÓN TRÁFICO SUR","2021-05-23","","24.08424544"
"ESTACIÓN TRÁFICO SUR","2021-05-22","","22.54222807"
"ESTACIÓN TRÁFICO SUR","2021-05-21","","21.13269888"
"ESTACIÓN TRÁFICO SUR","2021-05-20","","22.47449275"
"ESTACIÓN TRÁFICO SUR","2021-05-19","","20.61545833"
"ESTACIÓN TRÁFICO SUR","2021-05-18","","19.89020833"
"ESTACIÓN TRÁFICO SUR","2021-05-17","","20.10518055"
"ESTACIÓN TRÁFICO SUR","2021-05-16","","21.16075695"
"ESTACIÓN TRÁFICO SUR","2021-05-15","","22.25021015"
"ESTACIÓN TRÁFICO SUR","2021-05-14","","23.1811875"
"ESTACIÓN TRÁFICO SUR","2021-05-13","","22.90364583"
"ESTACIÓN TRÁFICO SUR","2021-05-12","","22.95305556"
"ESTACIÓN TRÁFICO SUR","2021-05-11","","22.55038889"
"ESTACIÓN TRÁFICO SUR","2021-05-10","","20.02756522"
"ESTACIÓN TRÁFICO SUR","2021-05-09","","19.29524306"
"ESTACIÓN TRÁFICO SUR","2021-05-08","","19.41697222"
"ESTACIÓN TRÁFICO SUR","2021-05-07","","20.33159028"
"ESTACIÓN TRÁFICO SUR","2021-05-06","","20.20547222"
"ESTACIÓN TRÁFICO SUR","2021-05-05","","20.38012319"
"ESTACIÓN TRÁFICO SUR","2021-05-04","","19.49300694"
"ESTACIÓN TRÁFICO SUR","2021-05-03","","18.86659028"
"ESTACIÓN TRÁFICO SUR","2021-05-02","","18.91489583"
"ESTACIÓN TRÁFICO SUR","2021-05-01","","18.35856945"
"ESTACIÓN TRÁFICO SUR","2021-04-30","","18.51263194"
"ESTACIÓN TRÁFICO SUR","2021-04-29","","19.58279167"
"ESTACIÓN TRÁFICO SUR","2021-04-28","","19.88505556"
"ESTACIÓN TRÁFICO SUR","2021-04-27","","19.71435417"
"ESTACIÓN TRÁFICO SUR","2021-04-26","","21.35567361"
"ESTACIÓN TRÁFICO SUR","2021-04-25","","22.2454375"
"ESTACIÓN TRÁFICO SUR","2021-04-24","","21.28802083"
"ESTACIÓN TRÁFICO SUR","2021-04-23","","20.19994444"
"ESTACIÓN TRÁFICO SUR","2021-04-22","","21.18318194"
"ESTACIÓN TRÁFICO SUR","2021-04-21","","19.68213239"
"ESTACIÓN TRÁFICO SUR","2021-04-20","","20.94606944"
"ESTACIÓN TRÁFICO SUR","2021-04-19","","22.34417361"
"ESTACIÓN TRÁFICO SUR","2021-04-18","","20.49863195"
"ESTACIÓN TRÁFICO SUR","2021-04-17","","21.36535417"
"ESTACIÓN TRÁFICO SUR","2021-04-16","","20.44073611"
"ESTACIÓN TRÁFICO SUR","2021-04-15","","21.50111111"
"ESTACIÓN TRÁFICO SUR","2021-04-14","","22.09754167"
"ESTACIÓN TRÁFICO SUR","2021-04-13","","22.09089583"
"ESTACIÓN TRÁFICO SUR","2021-04-12","","22.2944375"
"ESTACIÓN TRÁFICO SUR","2021-04-11","","21.3976875"
"ESTACIÓN TRÁFICO SUR","2021-04-10","","21.11505555"
"ESTACIÓN TRÁFICO SUR","2021-04-09","","20.17695177"
"ESTACIÓN TRÁFICO SUR","2021-04-08","","21.30615972"
"ESTACIÓN TRÁFICO SUR","2021-04-07","","20.71952778"
"ESTACIÓN TRÁFICO SUR","2021-04-06","","20.50408333"
"ESTACIÓN TRÁFICO SUR","2021-04-05","","20.67913536"
"ESTACIÓN TRÁFICO SUR","2021-04-04","","21.72089583"
"ESTACIÓN TRÁFICO SUR","2021-04-03","","20.49938889"
"ESTACIÓN TRÁFICO SUR","2021-04-02","","21.01617361"
"ESTACIÓN TRÁFICO SUR","2021-04-01","","21.79797101"
"ESTACIÓN TRÁFICO SUR","2021-03-31","","22.9672971"
"ESTACIÓN TRÁFICO SUR","2021-03-30","","22.553625"
"ESTACIÓN TRÁFICO SUR","2021-03-29","","22.19625695"
"ESTACIÓN TRÁFICO SUR","2021-03-28","","20.13468056"
"ESTACIÓN TRÁFICO SUR","2021-03-27","","20.69836111"
"ESTACIÓN TRÁFICO SUR","2021-03-26","","20.2115625"
"ESTACIÓN TRÁFICO SUR","2021-03-25","","20.79532639"
"ESTACIÓN TRÁFICO SUR","2021-03-24","","19.36476389"
"ESTACIÓN TRÁFICO SUR","2021-03-23","","19.22895833"
"ESTACIÓN TRÁFICO SUR","2021-03-22","","18.66395833"
"ESTACIÓN TRÁFICO SUR","2021-03-21","","19.70053472"
"ESTACIÓN TRÁFICO SUR","2021-03-20","","18.73470139"
"ESTACIÓN TRÁFICO SUR","2021-03-19","","19.6683125"
"ESTACIÓN TRÁFICO SUR","2021-03-18","","18.72779861"
"ESTACIÓN TRÁFICO SUR","2021-03-17","","19.1483125"
"ESTACIÓN TRÁFICO SUR","2021-03-16","","18.8669375"
"ESTACIÓN TRÁFICO SUR","2021-03-15","","19.38372917"
"ESTACIÓN TRÁFICO SUR","2021-03-14","","19.30309722"
"ESTACIÓN TRÁFICO SUR","2021-03-13","","19.63459028"
"ESTACIÓN TRÁFICO SUR","2021-03-12","","17.95240972"
"ESTACIÓN TRÁFICO SUR","2021-03-11","","19.17945833"
"ESTACIÓN TRÁFICO SUR","2021-03-10","","19.94868056"
"ESTACIÓN TRÁFICO SUR","2021-03-09","","20.36863195"
"ESTACIÓN TRÁFICO SUR","2021-03-08","","20.53809028"
"ESTACIÓN TRÁFICO SUR","2021-03-07","","21.64358333"
"ESTACIÓN TRÁFICO SUR","2021-03-06","","21.51092361"
"ESTACIÓN TRÁFICO SUR","2021-03-05","","20.63223611"
"ESTACIÓN TRÁFICO SUR","2021-03-04","","20.70113194"
"ESTACIÓN TRÁFICO SUR","2021-03-03","","19.75847222"
"ESTACIÓN TRÁFICO SUR","2021-03-02","","19.577375"
"ESTACIÓN TRÁFICO SUR","2021-03-01","","19.93224306"
"ESTACIÓN TRÁFICO SUR","2021-02-28","","20.77910417"
"ESTACIÓN TRÁFICO SUR","2021-02-27","","21.36682639"
"ESTACIÓN TRÁFICO SUR","2021-02-26","","22.08961111"
"ESTACIÓN TRÁFICO SUR","2021-02-25","","22.80599306"
"ESTACIÓN TRÁFICO SUR","2021-02-24","","22.85252778"
"ESTACIÓN TRÁFICO SUR","2021-02-23","","20.87792361"
"ESTACIÓN TRÁFICO SUR","2021-02-22","","21.25971528"
"ESTACIÓN TRÁFICO SUR","2021-02-21","","19.66715972"
"ESTACIÓN TRÁFICO SUR","2021-02-20","","19.52674306"
"ESTACIÓN TRÁFICO SUR","2021-02-19","","19.82195833"
"ESTACIÓN TRÁFICO SUR","2021-02-18","","19.32798611"
"ESTACIÓN TRÁFICO SUR","2021-02-17","","20.76228472"
"ESTACIÓN TRÁFICO SUR","2021-02-16","","21.21320833"
"ESTACIÓN TRÁFICO SUR","2021-02-15","","21.09786111"
"ESTACIÓN TRÁFICO SUR","2021-02-14","","20.37374306"
"ESTACIÓN TRÁFICO SUR","2021-02-13","","20.41573611"
"ESTACIÓN TRÁFICO SUR","2021-02-12","","20.90923611"
"ESTACIÓN TRÁFICO SUR","2021-02-11","","21.54715278"
"ESTACIÓN TRÁFICO SUR","2021-02-10","","20.40369444"
"ESTACIÓN TRÁFICO SUR","2021-02-09","","20.87921528"
"ESTACIÓN TRÁFICO SUR","2021-02-08","","22.44001389"
"ESTACIÓN TRÁFICO SUR","2021-02-07","","22.46615278"
"ESTACIÓN TRÁFICO SUR","2021-02-06","","22.29335417"
"ESTACIÓN TRÁFICO SUR","2021-02-05","","22.69679861"
"ESTACIÓN TRÁFICO SUR","2021-02-04","","23.14904861"
"ESTACIÓN TRÁFICO SUR","2021-02-03","","22.91443056"
"ESTACIÓN TRÁFICO SUR","2021-02-02","","23.42207639"
"ESTACIÓN TRÁFICO SUR","2021-02-01","","22.61908898"
"ESTACIÓN TRÁFICO SUR","2021-01-31","","22.36554167"
"ESTACIÓN TRÁFICO SUR","2021-01-30","","22.57927083"
"ESTACIÓN TRÁFICO SUR","2021-01-29","","21.55077778"
"ESTACIÓN TRÁFICO SUR","2021-01-28","","22.30220833"
"ESTACIÓN TRÁFICO SUR","2021-01-27","","21.60154861"
"ESTACIÓN TRÁFICO SUR","2021-01-26","","21.25954167"
"ESTACIÓN TRÁFICO SUR","2021-01-25","","22.85461111"
"ESTACIÓN TRÁFICO SUR","2021-01-24","","23.32009183"
"ESTACIÓN TRÁFICO SUR","2021-01-23","","21.54195139"
"ESTACIÓN TRÁFICO SUR","2021-01-22","","22.469598"
"ESTACIÓN TRÁFICO SUR","2021-01-21","","21.84287433"
"ESTACIÓN TRÁFICO SUR","2021-01-20","","21.10508333"
"ESTACIÓN TRÁFICO SUR","2021-01-19","","21.29411925"
"ESTACIÓN TRÁFICO SUR","2021-01-18","","22.08772917"
"ESTACIÓN TRÁFICO SUR","2021-01-17","","21.57613194"
"ESTACIÓN TRÁFICO SUR","2021-01-16","","21.75098611"
"ESTACIÓN TRÁFICO SUR","2021-01-15","","22.39286806"
