"Estacion","Fecha inicial","Fecha final","PM2.5"
"ESTACIÓN TRÁFICO SUR","2022-12-31","","21.95652174"
"ESTACIÓN TRÁFICO SUR","2022-12-30","","26.91304348"
"ESTACIÓN TRÁFICO SUR","2022-12-29","","27.625"
"ESTACIÓN TRÁFICO SUR","2022-12-28","","30.41666667"
"ESTACIÓN TRÁFICO SUR","2022-12-27","","27.375"
"ESTACIÓN TRÁFICO SUR","2022-12-26","","26.95833333"
"ESTACIÓN TRÁFICO SUR","2022-12-25","","20.75"
"ESTACIÓN TRÁFICO SUR","2022-12-24","","29.04166667"
"ESTACIÓN TRÁFICO SUR","2022-12-23","","36.75"
"ESTACIÓN TRÁFICO SUR","2022-12-22","","32.83333333"
"ESTACIÓN TRÁFICO SUR","2022-12-21","","40.70833333"
"ESTACIÓN TRÁFICO SUR","2022-12-20","","35.91666667"
"ESTACIÓN TRÁFICO SUR","2022-12-19","","24.66666667"
"ESTACIÓN TRÁFICO SUR","2022-12-18","","22.625"
"ESTACIÓN TRÁFICO SUR","2022-12-17","","27.29166667"
"ESTACIÓN TRÁFICO SUR","2022-12-16","","26.58333333"
"ESTACIÓN TRÁFICO SUR","2022-12-15","","32.29166667"
"ESTACIÓN TRÁFICO SUR","2022-12-14","","30.5"
"ESTACIÓN TRÁFICO SUR","2022-12-13","","34.125"
"ESTACIÓN TRÁFICO SUR","2022-12-12","","28.0"
"ESTACIÓN TRÁFICO SUR","2022-12-11","","19.54166667"
"ESTACIÓN TRÁFICO SUR","2022-12-10","","23.20833333"
"ESTACIÓN TRÁFICO SUR","2022-12-09","","23.5"
"ESTACIÓN TRÁFICO SUR","2022-12-08","","15.83333333"
"ESTACIÓN TRÁFICO SUR","2022-12-07","","28.45833333"
"ESTACIÓN TRÁFICO SUR","2022-12-06","","30.08333333"
"ESTACIÓN TRÁFICO SUR","2022-12-05","","20.08333333"
"ESTACIÓN TRÁFICO SUR","2022-12-04","","18.4"
"ESTACIÓN TRÁFICO SUR","2022-12-03","","18.83333333"
"ESTACIÓN TRÁFICO SUR","2022-12-02","","16.125"
"ESTACIÓN TRÁFICO SUR","2022-12-01","","23.04166667"
"ESTACIÓN TRÁFICO SUR","2022-11-30","","26.08695652"
"ESTACIÓN TRÁFICO SUR","2022-11-29","","29.0"
"ESTACIÓN TRÁFICO SUR","2022-11-28","","19.79166667"
"ESTACIÓN TRÁFICO SUR","2022-11-27","","21.0"
