"Estacion","Fecha inicial","Fecha final","VViento"
"ESTACIÓN TRÁFICO SUR","2021-07-10","","0.75378487"
"ESTACIÓN TRÁFICO SUR","2021-07-09","","1.46632408"
"ESTACIÓN TRÁFICO SUR","2021-07-08","","1.7613352"
"ESTACIÓN TRÁFICO SUR","2021-07-07","","1.3093743"
"ESTACIÓN TRÁFICO SUR","2021-07-06","","1.19485727"
"ESTACIÓN TRÁFICO SUR","2021-07-05","","1.68325662"
"ESTACIÓN TRÁFICO SUR","2021-07-04","","1.22235445"
"ESTACIÓN TRÁFICO SUR","2021-07-03","","1.47349309"
"ESTACIÓN TRÁFICO SUR","2021-07-02","","1.33889666"
"ESTACIÓN TRÁFICO SUR","2021-07-01","","1.80084156"
"ESTACIÓN TRÁFICO SUR","2021-06-30","","1.3080176"
"ESTACIÓN TRÁFICO SUR","2021-06-29","","1.23596906"
"ESTACIÓN TRÁFICO SUR","2021-06-28","","0.71300717"
"ESTACIÓN TRÁFICO SUR","2021-06-27","","1.16914091"
"ESTACIÓN TRÁFICO SUR","2021-06-26","","1.23367099"
"ESTACIÓN TRÁFICO SUR","2021-06-25","","0.998068"
"ESTACIÓN TRÁFICO SUR","2021-06-24","","1.31205628"
"ESTACIÓN TRÁFICO SUR","2021-06-23","","0.9865225"
"ESTACIÓN TRÁFICO SUR","2021-06-22","","0.84388277"
"ESTACIÓN TRÁFICO SUR","2021-06-21","","1.55245197"
"ESTACIÓN TRÁFICO SUR","2021-06-20","","0.7585184"
"ESTACIÓN TRÁFICO SUR","2021-06-19","","1.2736886"
"ESTACIÓN TRÁFICO SUR","2021-06-18","","1.12016282"
"ESTACIÓN TRÁFICO SUR","2021-06-17","","1.28950825"
"ESTACIÓN TRÁFICO SUR","2021-06-16","","0.85067265"
"ESTACIÓN TRÁFICO SUR","2021-06-15","","0.93075718"
"ESTACIÓN TRÁFICO SUR","2021-06-14","","1.11621991"
"ESTACIÓN TRÁFICO SUR","2021-06-13","","1.16329114"
"ESTACIÓN TRÁFICO SUR","2021-06-12","","0.85950263"
"ESTACIÓN TRÁFICO SUR","2021-06-11","","1.22015734"
"ESTACIÓN TRÁFICO SUR","2021-06-10","","1.7512611"
"ESTACIÓN TRÁFICO SUR","2021-06-09","","0.71379484"
"ESTACIÓN TRÁFICO SUR","2021-06-08","","1.00483185"
"ESTACIÓN TRÁFICO SUR","2021-06-07","","0.83889279"
"ESTACIÓN TRÁFICO SUR","2021-06-06","","1.3055664"
"ESTACIÓN TRÁFICO SUR","2021-06-05","","1.07860907"
"ESTACIÓN TRÁFICO SUR","2021-06-04","","0.88306342"
"ESTACIÓN TRÁFICO SUR","2021-06-03","","1.28031911"
"ESTACIÓN TRÁFICO SUR","2021-06-02","","0.91366908"
"ESTACIÓN TRÁFICO SUR","2021-06-01","","0.93409771"
"ESTACIÓN TRÁFICO SUR","2021-05-31","","1.53840434"
"ESTACIÓN TRÁFICO SUR","2021-05-30","","1.17384469"
"ESTACIÓN TRÁFICO SUR","2021-05-29","","1.36302035"
"ESTACIÓN TRÁFICO SUR","2021-05-28","","1.51514914"
"ESTACIÓN TRÁFICO SUR","2021-05-27","","0.70232135"
"ESTACIÓN TRÁFICO SUR","2021-05-26","","0.98467221"
"ESTACIÓN TRÁFICO SUR","2021-05-25","","0.77179359"
"ESTACIÓN TRÁFICO SUR","2021-05-24","","1.00102992"
"ESTACIÓN TRÁFICO SUR","2021-05-23","","1.53750847"
"ESTACIÓN TRÁFICO SUR","2021-05-22","","0.53424036"
"ESTACIÓN TRÁFICO SUR","2021-05-21","","1.00112268"
"ESTACIÓN TRÁFICO SUR","2021-05-20","","1.40919247"
"ESTACIÓN TRÁFICO SUR","2021-05-19","","1.72196504"
"ESTACIÓN TRÁFICO SUR","2021-05-18","","1.16548204"
"ESTACIÓN TRÁFICO SUR","2021-05-17","","1.06973949"
"ESTACIÓN TRÁFICO SUR","2021-05-16","","1.10686245"
"ESTACIÓN TRÁFICO SUR","2021-05-15","","0.99516408"
"ESTACIÓN TRÁFICO SUR","2021-05-14","","1.12455032"
"ESTACIÓN TRÁFICO SUR","2021-05-13","","1.04015221"
"ESTACIÓN TRÁFICO SUR","2021-05-12","","1.13239053"
"ESTACIÓN TRÁFICO SUR","2021-05-11","","1.0593247"
"ESTACIÓN TRÁFICO SUR","2021-05-10","","0.91456635"
"ESTACIÓN TRÁFICO SUR","2021-05-09","","1.26759583"
"ESTACIÓN TRÁFICO SUR","2021-05-08","","0.97063729"
"ESTACIÓN TRÁFICO SUR","2021-05-07","","0.97215482"
"ESTACIÓN TRÁFICO SUR","2021-05-06","","1.0476242"
"ESTACIÓN TRÁFICO SUR","2021-05-05","","1.2072351"
"ESTACIÓN TRÁFICO SUR","2021-05-04","","0.95486367"
"ESTACIÓN TRÁFICO SUR","2021-05-03","","0.83884296"
"ESTACIÓN TRÁFICO SUR","2021-05-02","","1.11977157"
"ESTACIÓN TRÁFICO SUR","2021-05-01","","1.30202511"
"ESTACIÓN TRÁFICO SUR","2021-04-30","","1.24041667"
"ESTACIÓN TRÁFICO SUR","2021-04-29","","1.51458333"
"ESTACIÓN TRÁFICO SUR","2021-04-28","","1.77916667"
"ESTACIÓN TRÁFICO SUR","2021-04-27","","1.2375"
"ESTACIÓN TRÁFICO SUR","2021-04-26","","1.33125"
"ESTACIÓN TRÁFICO SUR","2021-04-25","","1.2225"
"ESTACIÓN TRÁFICO SUR","2021-04-24","","1.25083333"
"ESTACIÓN TRÁFICO SUR","2021-04-23","","2.23333333"
"ESTACIÓN TRÁFICO SUR","2021-04-22","","1.66391304"
"ESTACIÓN TRÁFICO SUR","2021-04-21","","1.84461538"
"ESTACIÓN TRÁFICO SUR","2021-04-20","","1.58333333"
"ESTACIÓN TRÁFICO SUR","2021-04-19","","1.55125"
"ESTACIÓN TRÁFICO SUR","2021-04-18","","1.89833333"
"ESTACIÓN TRÁFICO SUR","2021-04-17","","1.62791667"
"ESTACIÓN TRÁFICO SUR","2021-04-16","","1.39875"
"ESTACIÓN TRÁFICO SUR","2021-04-15","","1.87625"
"ESTACIÓN TRÁFICO SUR","2021-04-14","","1.08958333"
"ESTACIÓN TRÁFICO SUR","2021-04-13","","1.49083333"
"ESTACIÓN TRÁFICO SUR","2021-04-12","","1.42125"
"ESTACIÓN TRÁFICO SUR","2021-04-11","","1.55583333"
