"Estacion","Fecha inicial","Fecha final","PM10"
"ESTRELLA - MARIA GORETTI","2025-10-29","","47.7275"
"ESTRELLA - MARIA GORETTI","2025-10-26","","13.4445"
"ESTRELLA - MARIA GORETTI","2025-10-23","","42.4269"
"ESTRELLA - MARIA GORETTI","2025-10-20","","7.2389"
"ESTRELLA - MARIA GORETTI","2025-10-17","","42.8272"
"ESTRELLA - MARIA GORETTI","2025-10-15","","42.7312"
"ESTRELLA - MARIA GORETTI","2025-10-11","","26.5675"
"ESTRELLA - MARIA GORETTI","2025-10-08","","53.9043"
"ESTRELLA - MARIA GORETTI","2025-10-05","","25.6315"
"ESTRELLA - MARIA GORETTI","2025-10-02","","49.5332"
"ESTRELLA - MARIA GORETTI","2025-09-29","","32.69603359"
"ESTRELLA - MARIA GORETTI","2025-09-26","","45.79208161"
"ESTRELLA - MARIA GORETTI","2025-09-23","","36.33251999"
"ESTRELLA - MARIA GORETTI","2025-09-20","","28.42100894"
"ESTRELLA - MARIA GORETTI","2025-09-17","","47.59528745"
"ESTRELLA - MARIA GORETTI","2025-09-14","","28.61694726"
"ESTRELLA - MARIA GORETTI","2025-09-11","","38.37437592"
"ESTRELLA - MARIA GORETTI","2025-09-05","","37.50583521"
"ESTRELLA - MARIA GORETTI","2025-09-02","","35.07827945"
"ESTRELLA - MARIA GORETTI","2025-08-30","","32.41806551"
"ESTRELLA - MARIA GORETTI","2025-08-27","","40.69820688"
"ESTRELLA - MARIA GORETTI","2025-08-24","","18.68930757"
"ESTRELLA - MARIA GORETTI","2025-08-21","","41.38476775"
"ESTRELLA - MARIA GORETTI","2025-08-18","","21.13259322"
"ESTRELLA - MARIA GORETTI","2025-08-15","","33.66283033"
"ESTRELLA - MARIA GORETTI","2025-08-12","","39.2108513"
"ESTRELLA - MARIA GORETTI","2025-08-09","","25.1802534"
"ESTRELLA - MARIA GORETTI","2025-08-06","","42.96830645"
"ESTRELLA - MARIA GORETTI","2025-08-03","","59.12845903"
"ESTRELLA - MARIA GORETTI","2025-07-31","","37.57213409"
"ESTRELLA - MARIA GORETTI","2025-07-28","","30.63219782"
"ESTRELLA - MARIA GORETTI","2025-07-25","","47.46169723"
"ESTRELLA - MARIA GORETTI","2025-07-22","","41.33669424"
"ESTRELLA - MARIA GORETTI","2025-07-19","","38.01682027"
"ESTRELLA - MARIA GORETTI","2025-07-16","","25.867605"
"ESTRELLA - MARIA GORETTI","2025-07-13","","21.61711933"
"ESTRELLA - MARIA GORETTI","2025-07-10","","40.00745009"
"ESTRELLA - MARIA GORETTI","2025-07-07","","45.41485362"
"ESTRELLA - MARIA GORETTI","2025-07-04","","47.36177636"
"ESTRELLA - MARIA GORETTI","2025-07-01","","40.04970144"
"ESTRELLA - MARIA GORETTI","2025-06-27","","42.56787882"
"ESTRELLA - MARIA GORETTI","2025-06-25","","50.99485399"
"ESTRELLA - MARIA GORETTI","2025-06-22","","18.0653391"
"ESTRELLA - MARIA GORETTI","2025-06-19","","35.16401549"
"ESTRELLA - MARIA GORETTI","2025-06-16","","32.7424961"
"ESTRELLA - MARIA GORETTI","2025-06-13","","11.38704201"
"ESTRELLA - MARIA GORETTI","2025-06-10","","35.95908336"
"ESTRELLA - MARIA GORETTI","2025-06-07","","29.39906891"
"ESTRELLA - MARIA GORETTI","2025-06-04","","39.27052593"
"ESTRELLA - MARIA GORETTI","2025-05-31","","32.80446017"
"ESTRELLA - MARIA GORETTI","2025-05-28","","45.5113023"
"ESTRELLA - MARIA GORETTI","2025-05-25","","27.53537618"
"ESTRELLA - MARIA GORETTI","2025-05-22","","34.9787869"
"ESTRELLA - MARIA GORETTI","2025-05-19","","28.83463833"
"ESTRELLA - MARIA GORETTI","2025-05-16","","35.60905251"
"ESTRELLA - MARIA GORETTI","2025-05-13","","54.97097634"
"ESTRELLA - MARIA GORETTI","2025-05-10","","32.61278936"
"ESTRELLA - MARIA GORETTI","2025-05-07","","42.32556391"
"ESTRELLA - MARIA GORETTI","2025-05-04","","28.10774151"
"ESTRELLA - MARIA GORETTI","2025-05-01","","26.20292854"
"ESTRELLA - MARIA GORETTI","2025-04-28","","38.51063947"
"ESTRELLA - MARIA GORETTI","2025-04-25","","35.74544432"
"ESTRELLA - MARIA GORETTI","2025-04-22","","42.32690508"
"ESTRELLA - MARIA GORETTI","2025-04-19","","22.74360853"
"ESTRELLA - MARIA GORETTI","2025-04-14","","40.12834048"
"ESTRELLA - MARIA GORETTI","2025-04-11","","37.28992832"
"ESTRELLA - MARIA GORETTI","2025-04-09","","43.98821108"
"ESTRELLA - MARIA GORETTI","2025-04-07","","46.6166456"
"ESTRELLA - MARIA GORETTI","2025-04-04","","38.81077283"
"ESTRELLA - MARIA GORETTI","2025-04-01","","42.82938873"
"ESTRELLA - MARIA GORETTI","2025-03-29","","40.31067446"
"ESTRELLA - MARIA GORETTI","2025-03-26","","54.63879519"
"ESTRELLA - MARIA GORETTI","2025-03-22","","30.52345893"
"ESTRELLA - MARIA GORETTI","2025-03-19","","38.15835371"
"ESTRELLA - MARIA GORETTI","2025-03-16","","25.18338032"
"ESTRELLA - MARIA GORETTI","2025-03-13","","54.93179751"
"ESTRELLA - MARIA GORETTI","2025-03-10","","55.40309302"
"ESTRELLA - MARIA GORETTI","2025-03-07","","50.34105619"
"ESTRELLA - MARIA GORETTI","2025-03-04","","56.4006602"
"ESTRELLA - MARIA GORETTI","2025-03-01","","43.24202274"
"ESTRELLA - MARIA GORETTI","2025-02-26","","42.45480027"
"ESTRELLA - MARIA GORETTI","2025-02-23","","25.31660203"
"ESTRELLA - MARIA GORETTI","2025-02-20","","46.52122775"
"ESTRELLA - MARIA GORETTI","2025-02-17","","21.84725556"
"ESTRELLA - MARIA GORETTI","2025-02-14","","34.39803221"
"ESTRELLA - MARIA GORETTI","2025-02-11","","35.83719711"
"ESTRELLA - MARIA GORETTI","2025-02-08","","35.90766495"
"ESTRELLA - MARIA GORETTI","2025-02-02","","33.42524999"
"ESTRELLA - MARIA GORETTI","2025-01-30","","27.92977576"
"ESTRELLA - MARIA GORETTI","2025-01-27","","45.07812419"
"ESTRELLA - MARIA GORETTI","2025-01-24","","66.61391832"
"ESTRELLA - MARIA GORETTI","2025-01-21","","51.09850619"
"ESTRELLA - MARIA GORETTI","2025-01-18","","27.06479533"
"ESTRELLA - MARIA GORETTI","2025-01-15","","34.48610324"
"ESTRELLA - MARIA GORETTI","2025-01-12","","14.29064694"
"ESTRELLA - MARIA GORETTI","2025-01-09","","33.88127658"
"ESTRELLA - MARIA GORETTI","2025-01-06","","19.1094562"
"ESTRELLA - MARIA GORETTI","2025-01-03","","25.97387576"
"ESTRELLA - MARIA GORETTI","2024-12-28","","26.56098372"
"ESTRELLA - MARIA GORETTI","2024-12-25","","25.61138127"
"ESTRELLA - MARIA GORETTI","2024-12-22","","23.62992189"
"ESTRELLA - MARIA GORETTI","2024-12-19","","33.41043956"
"ESTRELLA - MARIA GORETTI","2024-12-16","","42.29142555"
"ESTRELLA - MARIA GORETTI","2024-12-13","","50.78093849"
"ESTRELLA - MARIA GORETTI","2024-12-10","","47.13301668"
"ESTRELLA - MARIA GORETTI","2024-12-07","","32.09483252"
"ESTRELLA - MARIA GORETTI","2024-12-04","","43.11776721"
"ESTRELLA - MARIA GORETTI","2024-11-27","","45.90131342"
"ESTRELLA - MARIA GORETTI","2024-11-24","","20.24071396"
"ESTRELLA - MARIA GORETTI","2024-11-21","","37.96253511"
"ESTRELLA - MARIA GORETTI","2024-11-19","","36.67282122"
"ESTRELLA - MARIA GORETTI","2024-11-16","","34.27578437"
"ESTRELLA - MARIA GORETTI","2024-11-13","","27.52428799"
"ESTRELLA - MARIA GORETTI","2024-11-09","","17.86818523"
"ESTRELLA - MARIA GORETTI","2024-11-06","","39.83071874"
"ESTRELLA - MARIA GORETTI","2024-11-03","","5.8999515"
"ESTRELLA - MARIA GORETTI","2024-10-31","","34.64296794"
"ESTRELLA - MARIA GORETTI","2024-10-29","","56.63637282"
"ESTRELLA - MARIA GORETTI","2024-10-27","","23.41369513"
"ESTRELLA - MARIA GORETTI","2024-10-24","","37.33814665"
"ESTRELLA - MARIA GORETTI","2024-10-21","","30.51915693"
