"Estacion","Fecha inicial","Fecha final","PM10"
"EXITO SAN ANTONIO - MEDELLÍN","2025-10-31","","35.52173913"
"EXITO SAN ANTONIO - MEDELLÍN","2025-10-30","","40.54166667"
"EXITO SAN ANTONIO - MEDELLÍN","2025-10-29","","38.45833333"
"EXITO SAN ANTONIO - MEDELLÍN","2025-10-28","","43.70833333"
"EXITO SAN ANTONIO - MEDELLÍN","2025-10-27","","29.375"
"EXITO SAN ANTONIO - MEDELLÍN","2025-10-26","","22.25"
"EXITO SAN ANTONIO - MEDELLÍN","2025-10-25","","35.79166667"
"EXITO SAN ANTONIO - MEDELLÍN","2025-10-24","","49.75"
"EXITO SAN ANTONIO - MEDELLÍN","2025-10-23","","53.375"
"EXITO SAN ANTONIO - MEDELLÍN","2025-10-22","","47.25"
"EXITO SAN ANTONIO - MEDELLÍN","2025-10-21","","48.08333333"
"EXITO SAN ANTONIO - MEDELLÍN","2025-10-20","","37.375"
"EXITO SAN ANTONIO - MEDELLÍN","2025-10-19","","26.83333333"
"EXITO SAN ANTONIO - MEDELLÍN","2025-10-18","","34.83333333"
"EXITO SAN ANTONIO - MEDELLÍN","2025-10-17","","37.625"
"EXITO SAN ANTONIO - MEDELLÍN","2025-10-16","","40.79166667"
"EXITO SAN ANTONIO - MEDELLÍN","2025-10-15","","48.0"
"EXITO SAN ANTONIO - MEDELLÍN","2025-10-14","","41.58333333"
"EXITO SAN ANTONIO - MEDELLÍN","2025-10-13","","25.08333333"
"EXITO SAN ANTONIO - MEDELLÍN","2025-10-12","","23.54166667"
"EXITO SAN ANTONIO - MEDELLÍN","2025-10-11","","44.375"
"EXITO SAN ANTONIO - MEDELLÍN","2025-10-10","","37.95833333"
"EXITO SAN ANTONIO - MEDELLÍN","2025-10-09","","58.54166667"
"EXITO SAN ANTONIO - MEDELLÍN","2025-10-08","","44.25"
"EXITO SAN ANTONIO - MEDELLÍN","2025-10-07","","39.58333333"
"EXITO SAN ANTONIO - MEDELLÍN","2025-10-06","","34.29166667"
"EXITO SAN ANTONIO - MEDELLÍN","2025-10-05","","23.04166667"
"EXITO SAN ANTONIO - MEDELLÍN","2025-10-04","","42.33333333"
"EXITO SAN ANTONIO - MEDELLÍN","2025-10-03","","37.70833333"
"EXITO SAN ANTONIO - MEDELLÍN","2025-10-02","","41.625"
"EXITO SAN ANTONIO - MEDELLÍN","2025-10-01","","48.20833333"
"EXITO SAN ANTONIO - MEDELLÍN","2025-09-30","","38.95652174"
"EXITO SAN ANTONIO - MEDELLÍN","2025-09-29","","36.29166667"
"EXITO SAN ANTONIO - MEDELLÍN","2025-09-28","","31.33333333"
"EXITO SAN ANTONIO - MEDELLÍN","2025-09-27","","54.5"
"EXITO SAN ANTONIO - MEDELLÍN","2025-09-26","","58.41666667"
"EXITO SAN ANTONIO - MEDELLÍN","2025-09-25","","36.41666667"
"EXITO SAN ANTONIO - MEDELLÍN","2025-09-24","","43.0"
"EXITO SAN ANTONIO - MEDELLÍN","2025-09-23","","31.20833333"
"EXITO SAN ANTONIO - MEDELLÍN","2025-09-22","","30.75"
"EXITO SAN ANTONIO - MEDELLÍN","2025-09-21","","26.58333333"
"EXITO SAN ANTONIO - MEDELLÍN","2025-09-20","","38.20833333"
"EXITO SAN ANTONIO - MEDELLÍN","2025-09-19","","46.75"
"EXITO SAN ANTONIO - MEDELLÍN","2025-09-18","","38.45833333"
"EXITO SAN ANTONIO - MEDELLÍN","2025-09-17","","46.75"
"EXITO SAN ANTONIO - MEDELLÍN","2025-09-16","","41.58333333"
"EXITO SAN ANTONIO - MEDELLÍN","2025-09-15","","31.875"
"EXITO SAN ANTONIO - MEDELLÍN","2025-09-14","","25.75"
"EXITO SAN ANTONIO - MEDELLÍN","2025-09-13","","38.125"
"EXITO SAN ANTONIO - MEDELLÍN","2025-09-12","","47.75"
"EXITO SAN ANTONIO - MEDELLÍN","2025-09-11","","36.79166667"
"EXITO SAN ANTONIO - MEDELLÍN","2025-09-10","","38.45833333"
"EXITO SAN ANTONIO - MEDELLÍN","2025-09-09","","31.04166667"
"EXITO SAN ANTONIO - MEDELLÍN","2025-09-08","","30.58333333"
"EXITO SAN ANTONIO - MEDELLÍN","2025-09-07","","22.58333333"
"EXITO SAN ANTONIO - MEDELLÍN","2025-09-06","","33.66666667"
"EXITO SAN ANTONIO - MEDELLÍN","2025-09-05","","34.95833333"
"EXITO SAN ANTONIO - MEDELLÍN","2025-09-04","","37.75"
"EXITO SAN ANTONIO - MEDELLÍN","2025-09-03","","31.29166667"
"EXITO SAN ANTONIO - MEDELLÍN","2025-09-02","","34.125"
"EXITO SAN ANTONIO - MEDELLÍN","2025-09-01","","33.20833333"
"EXITO SAN ANTONIO - MEDELLÍN","2025-08-31","","38.86956522"
"EXITO SAN ANTONIO - MEDELLÍN","2025-08-30","","44.25"
"EXITO SAN ANTONIO - MEDELLÍN","2025-08-29","","43.43478261"
"EXITO SAN ANTONIO - MEDELLÍN","2025-08-28","","36.36363636"
"EXITO SAN ANTONIO - MEDELLÍN","2025-08-27","","21.91666667"
"EXITO SAN ANTONIO - MEDELLÍN","2025-08-21","","56.3473125"
"EXITO SAN ANTONIO - MEDELLÍN","2025-08-20","","28.29578708"
"EXITO SAN ANTONIO - MEDELLÍN","2025-08-19","","30.81327308"
"EXITO SAN ANTONIO - MEDELLÍN","2025-08-18","","35.9320625"
"EXITO SAN ANTONIO - MEDELLÍN","2025-08-17","","38.39659375"
"EXITO SAN ANTONIO - MEDELLÍN","2025-08-16","","53.6690875"
"EXITO SAN ANTONIO - MEDELLÍN","2025-08-15","","32.06023304"
"EXITO SAN ANTONIO - MEDELLÍN","2025-08-14","","47.70833333"
"EXITO SAN ANTONIO - MEDELLÍN","2025-08-13","","44.25"
"EXITO SAN ANTONIO - MEDELLÍN","2025-08-12","","35.65217391"
"EXITO SAN ANTONIO - MEDELLÍN","2025-08-11","","29.13043478"
"EXITO SAN ANTONIO - MEDELLÍN","2025-08-10","","34.91666667"
