"Estacion","Fecha inicial","Fecha final","DViento"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-31","","35.80382609"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-30","","72.1975"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-29","","36.45704167"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-28","","171.52154167"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-27","","224.57258333"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-26","","94.04416667"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-25","","176.07625"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-24","","216.78825"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-23","","122.64133333"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-22","","185.56883333"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-21","","130.81108333"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-20","","179.69895833"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-19","","56.90166667"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-18","","79.87529167"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-17","","92.74695833"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-16","","108.90229167"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-15","","134.86641667"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-14","","66.32279167"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-13","","0.0"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-12","","0.0"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-11","","132.76316667"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-10","","205.30733333"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-09","","132.77358333"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-08","","146.59416667"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-07","","110.37116667"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-06","","58.83033333"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-05","","120.11033333"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-04","","114.16954167"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-03","","85.666"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-02","","74.91658333"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-01","","120.645625"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-30","","0.0"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-29","","0.0"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-28","","0.0"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-27","","0.0"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-26","","0.0"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-25","","0.0"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-24","","15.87508333"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-23","","61.191125"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-22","","32.1375"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-21","","62.407375"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-20","","111.20375"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-19","","112.627625"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-18","","110.18275"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-17","","58.63029167"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-16","","47.05866667"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-15","","65.88879167"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-14","","48.13020833"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-13","","59.48279167"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-12","","93.55858333"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-11","","58.1245"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-10","","67.661625"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-09","","73.0965"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-08","","40.47095833"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-07","","162.00991667"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-06","","162.77758333"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-05","","30.9315"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-04","","44.54416667"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-03","","38.15920833"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-02","","82.63016667"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-01","","82.974875"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-31","","127.04250577"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-30","","64.60045048"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-29","","107.51358826"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-28","","68.83413123"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-27","","58.58595846"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-26","","56.97770192"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-25","","33.85595624"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-24","","73.93820581"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-23","","153.04339456"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-22","","78.35394316"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-21","","82.57768277"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-20","","109.47836671"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-19","","69.00987297"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-18","","65.75797561"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-17","","140.90270724"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-16","","106.07309882"
