"Estacion","Fecha inicial","Fecha final","NO"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-31","","39.56149522"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-30","","33.8977325"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-29","","32.28069917"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-28","","57.56087458"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-27","","75.7759025"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-26","","17.1973125"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-25","","54.69153208"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-24","","122.02219417"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-23","","76.14455208"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-22","","100.79459292"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-21","","46.419495"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-20","","32.86192042"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-19","","17.55618167"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-18","","30.456225"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-17","","53.40768417"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-16","","61.95162917"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-15","","49.12755542"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-14","","62.77209"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-13","","29.41307083"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-12","","23.21398792"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-11","","64.66020125"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-10","","75.89005667"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-09","","86.44098375"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-08","","91.83169333"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-07","","35.4981025"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-06","","42.13361625"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-05","","20.72535792"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-04","","30.670965"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-03","","32.71548708"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-02","","55.1945575"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-01","","67.85721875"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-30","","58.65784217"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-29","","40.23334667"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-28","","37.83357292"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-27","","67.60054"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-26","","80.7727275"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-25","","45.10527917"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-24","","30.56385708"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-23","","28.21102208"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-22","","27.95078667"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-21","","18.17929292"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-20","","38.71242167"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-19","","50.43394083"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-18","","62.22696667"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-17","","42.79902958"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-16","","25.61778333"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-15","","20.24407792"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-14","","11.52145625"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-13","","17.12299917"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-12","","43.13977833"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-11","","24.92781083"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-10","","31.3717"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-09","","48.08690917"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-08","","32.746695"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-07","","30.42286542"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-06","","34.34407"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-05","","33.88632208"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-04","","41.09044542"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-03","","31.86893458"
