"Estacion","Fecha inicial","Fecha final","NO2"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-31","","47.81562739"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-30","","51.77781292"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-29","","35.04219292"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-28","","48.4265175"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-27","","41.18725375"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-26","","40.32886458"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-25","","48.53092958"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-24","","67.967595"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-23","","65.94534917"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-22","","75.71893583"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-21","","59.08723917"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-20","","50.53079583"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-19","","33.66033417"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-18","","46.94519958"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-17","","50.8341625"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-16","","50.49072"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-15","","53.75200542"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-14","","47.16329"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-13","","30.80639208"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-12","","36.53255208"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-11","","51.47270625"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-10","","52.82281792"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-09","","59.8683125"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-08","","63.35786542"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-07","","54.38228375"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-06","","52.59713708"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-05","","36.72176958"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-04","","50.55484125"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-03","","57.53507792"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-02","","47.86582167"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-01","","47.59679708"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-30","","62.19978304"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-29","","50.33023292"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-28","","42.128265"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-27","","61.20753292"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-26","","54.75153583"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-25","","59.38623458"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-24","","47.55295958"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-23","","40.3655025"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-22","","42.57557042"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-21","","34.53547333"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-20","","58.51421875"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-19","","56.26219583"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-18","","53.75000833"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-17","","48.48722292"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-16","","45.31424833"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-15","","37.45907458"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-14","","30.54988792"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-13","","38.43875958"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-12","","50.47705417"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-11","","44.06043625"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-10","","43.65320042"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-09","","44.38195083"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-08","","41.38776875"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-07","","38.68598708"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-06","","48.92345125"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-05","","43.03983792"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-04","","47.63866042"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-03","","47.03555375"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-02","","45.88921833"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-01","","42.40316625"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-31","","40.2651199"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-30","","48.46427492"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-29","","47.57857072"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-28","","48.62168078"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-27","","39.68618402"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-26","","39.08665855"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-25","","43.26468934"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-24","","29.71954903"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-23","","46.56024602"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-22","","65.38600243"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-21","","48.49027959"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-20","","48.76466447"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-19","","45.30539424"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-18","","30.99098837"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-17","","41.73224745"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-16","","45.64658042"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-15","","59.88735926"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-14","","47.45102868"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-13","","44.85642719"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-12","","34.88335176"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-11","","38.37596097"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-10","","43.57766987"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-09","","46.83864247"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-08","","51.97472464"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-07","","46.8133743"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-06","","41.75013496"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-05","","41.37244441"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-04","","34.60753306"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-03","","30.08234507"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-02","","49.08454772"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-01","","38.35222065"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-07-31","","38.00493182"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-07-30","","44.0769767"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-07-29","","42.99817873"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-07-28","","41.20982822"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-07-27","","31.6782747"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-07-26","","51.62479382"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-07-25","","68.48450136"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-07-23","","43.29190583"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-07-22","","48.31999173"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-07-21","","40.04373212"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-07-20","","25.28679944"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-07-19","","38.17964494"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-07-18","","31.60691269"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-07-17","","31.97919703"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-07-16","","41.19958664"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-07-15","","36.39848593"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-07-14","","29.79746594"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-07-13","","22.73134542"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-07-12","","29.55115726"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-07-11","","32.12862004"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-07-10","","36.85350099"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-07-09","","35.38676417"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-07-08","","31.06721597"
