"Estacion","Fecha inicial","Fecha final","SO2"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-31","","5.24950043"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-30","","4.58998458"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-29","","6.7453725"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-28","","6.8193925"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-27","","6.04056167"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-26","","3.84747333"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-25","","6.08700375"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-24","","9.76937792"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-23","","11.81462958"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-22","","9.42835292"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-21","","7.65856875"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-20","","3.00430417"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-19","","6.1730125"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-18","","8.83672125"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-17","","3.38581792"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-16","","1.01717167"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-15","","2.95961542"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-14","","0.29489917"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-13","","0.0"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-12","","0.0"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-11","","0.0"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-10","","2.31359208"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-09","","8.99322958"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-08","","8.35066833"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-07","","6.33055583"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-06","","4.98105542"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-05","","1.85383083"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-04","","3.68206875"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-03","","5.98589208"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-02","","0.22935208"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-10-01","","0.0"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-30","","0.0"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-29","","0.0"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-28","","0.0"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-27","","0.0"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-26","","0.0"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-25","","0.0"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-24","","0.0"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-23","","0.0"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-22","","0.0"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-21","","0.0"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-20","","0.0"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-19","","0.0"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-18","","0.0"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-17","","0.0"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-16","","0.0"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-15","","0.0"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-14","","0.0"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-13","","0.0"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-12","","0.0"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-11","","0.0"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-10","","0.0"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-09","","0.0"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-09-08","","0.0"
