"Estacion","Fecha inicial","Fecha final","CO"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-17","","473.52778999"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-16","","461.88202138"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-15","","431.13411558"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-14","","497.3609487"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-13","","517.83967005"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-12","","456.96506746"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-11","","441.75901285"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-10","","482.93548927"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-09","","409.08846155"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-08","","395.93328306"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-07","","463.9593979"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-06","","337.12413125"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-05","","396.75058102"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-04","","360.07990884"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-03","","528.18268487"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-02","","677.06947412"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-01","","706.16824905"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-30","","557.69512234"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-29","","437.39538971"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-28","","634.33637737"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-27","","392.76422007"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-26","","356.98371346"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-25","","402.31864551"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-24","","408.8932173"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-23","","283.27930254"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-22","","260.60313586"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-21","","486.25276046"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-20","","376.31045155"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-19","","242.19974813"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-18","","271.34922318"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-17","","348.03350641"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-16","","257.86378281"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-15","","482.52921775"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-14","","411.89914382"
