"Estacion","Fecha inicial","Fecha final","DViento"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-23","","59.0"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-17","","80.5"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-16","","91.52173913"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-15","","81.61904762"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-14","","106.0"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-13","","130.27272727"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-12","","80.79166667"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-11","","106.68181818"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-10","","109.1"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-09","","104.58333333"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-08","","98.13636364"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-07","","97.84615385"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-06","","78.93333333"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-05","","126.1"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-04","","173.0"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-03","","111.57142857"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-02","","162.33333333"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-01","","135.70833333"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-30","","169.25"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-29","","148.95833333"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-28","","157.83333333"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-27","","125.66666667"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-26","","104.45833333"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-25","","103.0"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-24","","91.66666667"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-23","","82.20833333"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-22","","80.41666667"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-21","","150.04166667"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-20","","148.75"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-19","","70.58333333"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-18","","150.33333333"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-17","","115.91666667"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-16","","118.375"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-15","","199.58333333"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-14","","229.54166667"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-13","","121.58333333"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-12","","146.29166667"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-11","","163.95833333"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-10","","109.16666667"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-09","","134.41666667"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-08","","181.54166667"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-07","","113.20833333"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-06","","99.29166667"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-05","","131.91666667"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-04","","83.125"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-03","","90.91666667"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-02","","172.45833333"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-01","","184.41666667"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-31","","129.25"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-30","","137.79166667"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-29","","166.75"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-28","","152.5"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-27","","150.08333333"
