"Estacion","Fecha inicial","Fecha final","NO"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-17","","18.35721156"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-16","","13.60324293"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-15","","9.16300923"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-14","","17.38982682"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-13","","15.52061703"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-12","","13.45733954"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-11","","10.43450524"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-10","","29.72282473"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-09","","16.23785395"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-08","","12.2656663"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-07","","18.82047817"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-06","","6.51917506"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-05","","13.90819841"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-04","","14.65669997"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-03","","13.73388703"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-02","","25.34929964"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-01","","30.02976301"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-30","","19.63621865"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-29","","7.46427958"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-28","","17.77266797"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-27","","19.45471005"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-26","","14.8240665"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-25","","17.89387194"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-24","","16.90263392"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-23","","12.19059507"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-22","","7.72337736"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-21","","10.81251309"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-20","","22.78096463"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-19","","11.05235082"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-18","","10.50536018"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-17","","17.13751225"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-16","","5.25246619"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-15","","14.62548205"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-14","","8.90026681"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-13","","14.67439085"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-12","","21.94415756"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-11","","21.3058488"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-10","","15.42463568"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-09","","18.71605998"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-08","","7.88016739"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-07","","17.95134352"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-06","","11.05202132"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-05","","14.55396306"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-04","","11.74988009"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-03","","7.81233364"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-02","","4.80729432"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-01","","3.28110644"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-31","","6.3698929"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-30","","20.56055138"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-29","","21.18230797"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-28","","21.03084973"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-27","","18.12186308"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-26","","19.72937073"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-25","","18.47989386"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-24","","15.51298228"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-23","","11.62344684"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-22","","7.21963917"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-21","","14.142857"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-20","","20.68549754"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-19","","24.6213116"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-18","","13.41743343"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-17","","13.22662609"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-16","","7.17632961"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-15","","9.54646361"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-14","","7.4789799"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-13","","11.1964325"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-12","","3.57747156"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-11","","9.07635945"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-10","","9.11696057"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-09","","11.76581769"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-08","","5.50166695"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-07","","18.9264169"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-06","","9.69224945"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-05","","9.63098751"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-04","","4.2227354"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-03","","23.62664312"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-02","","11.7180993"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-01","","6.53028901"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-30","","11.87533727"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-29","","14.13624942"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-28","","15.41425694"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-27","","6.95890797"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-26","","11.39719977"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-25","","7.81874192"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-24","","7.37893657"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-23","","10.98976799"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-22","","10.95145006"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-21","","11.70509366"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-20","","7.60740662"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-19","","10.21041061"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-18","","20.69436897"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-17","","29.99994968"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-16","","16.89140665"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-15","","17.89614237"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-14","","11.08702669"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-13","","5.77263495"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-12","","9.06107463"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-11","","11.29176974"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-10","","11.52110342"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-09","","17.97227609"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-08","","11.00373947"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-07","","21.17782627"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-06","","3.28457631"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-05","","7.95213025"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-04","","24.31597795"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-03","","27.26117598"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-02","","18.56864907"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-01","","18.76412209"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-31","","18.86573985"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-30","","12.59074471"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-29","","22.34607536"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-28","","13.96393104"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-27","","15.0148534"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-26","","14.43757662"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-25","","9.65345738"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-24","","21.43683019"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-23","","10.01171811"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-22","","12.33370824"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-21","","10.97905686"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-20","","13.33681378"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-19","","10.22520995"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-18","","16.66386156"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-17","","5.88722769"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-16","","5.91321343"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-15","","11.54943988"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-14","","17.1692489"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-13","","13.20292465"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-12","","8.97283045"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-11","","10.8087512"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-10","","11.63490919"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-09","","4.6900749"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-08","","9.00397756"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-07","","5.44017598"
