"Estacion","Fecha inicial","Fecha final","TMPR AIR 10CM"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-23","","26.65644445"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-17","","19.20339783"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-16","","21.53893141"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-15","","21.67166419"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-14","","21.73010432"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-13","","21.35375739"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-12","","21.81829167"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-11","","21.70842708"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-10","","21.79610189"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-09","","21.39136806"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-08","","21.72479213"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-07","","21.44469876"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-06","","22.11780429"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-05","","21.75137851"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-04","","21.45557523"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-03","","20.78615377"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-02","","19.71863194"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-01","","20.67335417"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-30","","20.50630556"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-29","","21.45255556"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-28","","19.90079861"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-27","","20.74777083"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-26","","21.98157639"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-25","","21.64476389"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-24","","21.65888889"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-23","","22.2281875"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-22","","21.70484028"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-21","","21.30484722"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-20","","20.489375"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-19","","21.02309722"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-18","","19.76948611"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-17","","19.68468056"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-16","","20.5379375"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-15","","20.40165972"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-14","","20.37933333"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-13","","20.49043515"
