"Estacion","Fecha inicial","Fecha final","SO2"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-17","","31.19900608"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-16","","42.70535415"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-15","","33.0710088"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-14","","53.13619691"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-13","","56.69315794"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-12","","35.19863886"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-11","","39.89033592"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-10","","33.06009787"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-09","","27.41915048"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-08","","27.01544632"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-07","","35.71145226"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-06","","22.10553079"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-05","","44.80025144"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-04","","33.03827603"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-03","","22.50923495"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-02","","20.1961192"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-01","","30.19052502"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-30","","13.55136685"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-29","","22.04006525"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-28","","21.51634093"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-27","","18.63585715"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-26","","29.339473"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-25","","31.63076691"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-24","","33.59473312"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-23","","29.42676038"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-22","","30.6924275"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-21","","21.55998462"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-20","","29.16489822"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-19","","19.19231424"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-18","","20.87259645"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-17","","28.04107311"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-16","","16.2790977"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-15","","13.529545"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-14","","10.15806968"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-13","","20.55617967"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-12","","18.74496638"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-11","","23.3711979"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-10","","19.47599825"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-09","","18.29761853"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-08","","32.32906601"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-07","","25.57520443"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-06","","19.6396621"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-05","","23.50212898"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-04","","28.76119406"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-03","","18.46128238"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-02","","12.85306775"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-01","","11.0091217"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-31","","12.49300728"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-30","","20.94897291"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-29","","32.77641387"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-28","","28.76119406"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-27","","36.85709921"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-26","","29.52495869"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-25","","36.63888074"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-24","","28.4556882"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-23","","30.09232671"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-22","","21.01443845"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-21","","37.22807061"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-20","","31.93627276"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-19","","29.40493854"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-18","","33.43106927"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-17","","24.97510364"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-16","","11.48920233"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-15","","9.89620751"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-14","","8.71782779"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-13","","9.0015118"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-12","","16.49731617"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-11","","36.91165383"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-10","","28.03016219"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-09","","19.48690918"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-08","","11.73825602"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-07","","32.42726432"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-06","","24.02585331"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-05","","15.46077844"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-04","","15.91903723"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-03","","31.19432997"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-02","","25.95708675"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-10-01","","21.04717122"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-30","","20.59982336"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-29","","23.4148416"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-28","","25.03402263"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-23","","50.73579376"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-22","","29.71044439"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-21","","17.8175379"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-20","","16.03905738"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-19","","17.94846898"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-18","","19.71603857"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-17","","32.53637355"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-16","","11.91472834"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-15","","22.37830387"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-14","","22.2037291"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-13","","20.55617967"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-12","","13.26768284"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-11","","23.13115759"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-10","","20.58891244"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-09","","22.74927527"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-08","","10.67088308"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-07","","15.80281217"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-06","","8.85966979"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-05","","14.80612304"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-04","","15.66808599"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-03","","14.09691302"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-02","","9.38339412"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-09-01","","12.72213667"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-31","","15.53715491"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-30","","19.90152426"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-29","","27.75738911"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-28","","25.83327148"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-27","","14.68610288"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-26","","15.48260029"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-25","","10.55086292"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-24","","23.61520583"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-23","","19.85788057"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-22","","13.85687271"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-21","","16.01723554"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-20","","14.19511133"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-19","","16.01723554"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-18","","18.93045208"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-17","","14.62063734"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-16","","9.53614704"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-15","","15.46077844"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-14","","23.32850298"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-13","","20.20703012"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-08-12","","14.40241888"
