"Estacion","Fecha inicial","Fecha final","PM10"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2025-10-29","","0.0"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2025-10-26","","15.4501"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2025-10-23","","38.192"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2025-10-20","","11.4929"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2025-10-17","","21.8019"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2025-10-15","","21.9562"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2025-10-11","","31.1771"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2025-10-08","","24.6717"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2025-10-05","","9.70278"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2025-10-02","","19.1184"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2025-09-29","","15.73626328"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2025-09-26","","24.35773591"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2025-09-23","","19.37220691"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2025-09-20","","19.04820681"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2025-09-17","","20.57349623"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2025-09-14","","12.75853027"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2025-09-11","","21.77227326"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2025-09-08","","11.93136615"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2025-09-05","","13.98023343"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2025-09-02","","15.53859245"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2025-08-30","","24.41283935"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2025-08-27","","19.45624341"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2025-08-24","","13.48768656"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2025-08-21","","16.72374046"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2025-08-18","","10.29252393"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2025-08-15","","16.47344553"
