"Estacion","Fecha inicial","Fecha final","PST"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2008-04-06","","66.61432337"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2008-04-03","","65.15559854"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2008-03-31","","63.41868851"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2008-03-28","","106.86041285"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-12-29","","57.1368564"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-12-26","","37.84320714"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-12-23","","36.13220311"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-12-20","","66.40147115"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-12-17","","47.50092112"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-12-14","","75.91160455"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-12-11","","44.8372649"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-12-08","","41.71632033"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-12-05","","36.32893736"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-12-02","","48.74184843"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-11-29","","52.88628968"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-11-26","","43.86425701"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-11-23","","97.45510513"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-11-20","","99.08908292"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-11-17","","49.77678943"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-11-14","","55.89560088"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-11-11","","55.19507181"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-11-08","","64.41743478"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-11-05","","53.29194327"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-11-02","","59.49740314"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-10-30","","79.27744061"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-10-27","","72.44987685"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-10-24","","80.9012186"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-10-21","","55.02537478"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-10-18","","54.10882202"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-10-15","","77.02048775"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-10-12","","103.43412414"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-10-09","","66.00329558"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-10-06","","97.21474173"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-10-03","","53.14599787"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-09-30","","76.68308631"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-09-27","","72.9126532"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-09-24","","47.73407411"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-09-21","","59.21531526"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-09-18","","80.49834931"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-09-15","","118.6544819"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-09-12","","99.26396255"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-09-09","","80.18092255"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-09-06","","69.40100888"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-09-03","","151.31416549"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-08-31","","76.14067786"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-08-28","","96.07789878"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-08-25","","76.05853809"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-08-22","","113.11906046"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-08-19","","60.60282381"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-08-16","","93.29101638"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-08-13","","48.89782727"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-08-10","","65.01672467"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-08-07","","48.23345812"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-08-04","","87.25169385"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-08-01","","96.31940418"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-07-29","","130.45731074"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-07-26","","77.42487582"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-07-23","","81.28094246"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-07-20","","92.22537026"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-07-17","","96.89399127"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-07-14","","91.23499062"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-07-11","","110.53507661"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-07-08","","60.87261036"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-07-05","","146.5217939"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-07-02","","114.56766021"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-06-29","","88.41993483"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-06-26","","103.34474896"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-06-23","","70.30752397"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-06-20","","70.60837285"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-06-17","","78.16594239"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-05-30","","157.42731461"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-05-24","","184.53891108"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-05-21","","144.98257566"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-05-18","","213.94849314"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-05-06","","165.65711899"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-05-03","","204.42153749"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-04-30","","128.95122971"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-04-27","","128.330407"
"HOSPITAL SAN VICENTE DE PAUL - BARBOSA","2007-04-24","","122.80871633"
