"Estacion","Fecha inicial","Fecha final","PM10"
"HOSPITAL SANTA MARGARITA - COPACABANA","2025-10-29","","21.0993"
"HOSPITAL SANTA MARGARITA - COPACABANA","2025-10-26","","12.5319"
"HOSPITAL SANTA MARGARITA - COPACABANA","2025-10-23","","35.5387"
"HOSPITAL SANTA MARGARITA - COPACABANA","2025-10-20","","17.5532"
"HOSPITAL SANTA MARGARITA - COPACABANA","2025-10-17","","26.4605"
"HOSPITAL SANTA MARGARITA - COPACABANA","2025-10-15","","31.3513"
"HOSPITAL SANTA MARGARITA - COPACABANA","2025-10-11","","29.9347"
"HOSPITAL SANTA MARGARITA - COPACABANA","2025-10-08","","39.601"
"HOSPITAL SANTA MARGARITA - COPACABANA","2025-10-05","","11.6313"
"HOSPITAL SANTA MARGARITA - COPACABANA","2025-10-02","","21.9724"
"HOSPITAL SANTA MARGARITA - COPACABANA","2025-09-29","","16.41671187"
"HOSPITAL SANTA MARGARITA - COPACABANA","2025-09-26","","31.85805559"
"HOSPITAL SANTA MARGARITA - COPACABANA","2025-09-23","","27.07447624"
"HOSPITAL SANTA MARGARITA - COPACABANA","2025-09-20","","18.40510699"
"HOSPITAL SANTA MARGARITA - COPACABANA","2025-09-17","","30.54809084"
"HOSPITAL SANTA MARGARITA - COPACABANA","2025-09-14","","18.64482582"
"HOSPITAL SANTA MARGARITA - COPACABANA","2025-09-11","","25.51189735"
"HOSPITAL SANTA MARGARITA - COPACABANA","2025-09-08","","11.82468715"
"HOSPITAL SANTA MARGARITA - COPACABANA","2025-09-05","","18.77755226"
"HOSPITAL SANTA MARGARITA - COPACABANA","2025-09-02","","21.14984352"
"HOSPITAL SANTA MARGARITA - COPACABANA","2025-08-30","","28.42876962"
"HOSPITAL SANTA MARGARITA - COPACABANA","2025-08-27","","24.07483454"
"HOSPITAL SANTA MARGARITA - COPACABANA","2025-08-24","","17.61585614"
"HOSPITAL SANTA MARGARITA - COPACABANA","2025-08-21","","16.19393141"
"HOSPITAL SANTA MARGARITA - COPACABANA","2025-08-18","","9.35982251"
"HOSPITAL SANTA MARGARITA - COPACABANA","2025-08-15","","32.26184087"
"HOSPITAL SANTA MARGARITA - COPACABANA","2025-08-12","","20.10051958"
"HOSPITAL SANTA MARGARITA - COPACABANA","2025-08-09","","18.59489337"
"HOSPITAL SANTA MARGARITA - COPACABANA","2025-08-06","","22.07276355"
