"Estacion","Fecha inicial","Fecha final","DViento"
"I.E. COLOMBIA - GIRARDOTA","2020-12-18","","148.54545455"
"I.E. COLOMBIA - GIRARDOTA","2020-12-17","","115.70833333"
"I.E. COLOMBIA - GIRARDOTA","2020-12-16","","114.375"
"I.E. COLOMBIA - GIRARDOTA","2020-12-15","","103.25"
"I.E. COLOMBIA - GIRARDOTA","2020-12-14","","115.20833333"
"I.E. COLOMBIA - GIRARDOTA","2020-12-13","","131.25"
"I.E. COLOMBIA - GIRARDOTA","2020-12-12","","116.79166667"
"I.E. COLOMBIA - GIRARDOTA","2020-12-11","","146.08333333"
"I.E. COLOMBIA - GIRARDOTA","2020-12-10","","132.25"
"I.E. COLOMBIA - GIRARDOTA","2020-12-09","","148.875"
"I.E. COLOMBIA - GIRARDOTA","2020-12-08","","144.375"
"I.E. COLOMBIA - GIRARDOTA","2020-12-07","","140.79166667"
"I.E. COLOMBIA - GIRARDOTA","2020-12-06","","128.91666667"
"I.E. COLOMBIA - GIRARDOTA","2020-12-05","","109.125"
"I.E. COLOMBIA - GIRARDOTA","2020-12-04","","139.95833333"
"I.E. COLOMBIA - GIRARDOTA","2020-12-03","","134.5"
"I.E. COLOMBIA - GIRARDOTA","2020-12-02","","164.20833333"
"I.E. COLOMBIA - GIRARDOTA","2020-12-01","","131.33333333"
"I.E. COLOMBIA - GIRARDOTA","2020-11-30","","145.29166667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-29","","125.91666667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-28","","143.25"
"I.E. COLOMBIA - GIRARDOTA","2020-11-27","","114.875"
"I.E. COLOMBIA - GIRARDOTA","2020-11-26","","112.04166667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-25","","106.75"
"I.E. COLOMBIA - GIRARDOTA","2020-11-24","","122.29166667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-23","","122.54166667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-22","","96.33333333"
"I.E. COLOMBIA - GIRARDOTA","2020-11-21","","144.58333333"
"I.E. COLOMBIA - GIRARDOTA","2020-11-20","","122.125"
"I.E. COLOMBIA - GIRARDOTA","2020-11-19","","103.75"
"I.E. COLOMBIA - GIRARDOTA","2020-11-18","","158.125"
"I.E. COLOMBIA - GIRARDOTA","2020-11-17","","160.79166667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-16","","126.83333333"
"I.E. COLOMBIA - GIRARDOTA","2020-11-15","","183.16666667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-14","","204.33333333"
"I.E. COLOMBIA - GIRARDOTA","2020-11-13","","162.70833333"
"I.E. COLOMBIA - GIRARDOTA","2020-11-12","","156.625"
"I.E. COLOMBIA - GIRARDOTA","2020-11-11","","214.0"
"I.E. COLOMBIA - GIRARDOTA","2020-11-10","","111.29166667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-09","","168.29166667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-08","","170.33333333"
"I.E. COLOMBIA - GIRARDOTA","2020-11-07","","162.25"
"I.E. COLOMBIA - GIRARDOTA","2020-11-06","","121.58333333"
