"Estacion","Fecha inicial","Fecha final","HAire10"
"I.E. COLOMBIA - GIRARDOTA","2020-12-18","","93.23728788"
"I.E. COLOMBIA - GIRARDOTA","2020-12-17","","84.15992361"
"I.E. COLOMBIA - GIRARDOTA","2020-12-16","","82.5244375"
"I.E. COLOMBIA - GIRARDOTA","2020-12-15","","83.41073611"
"I.E. COLOMBIA - GIRARDOTA","2020-12-14","","79.02574306"
"I.E. COLOMBIA - GIRARDOTA","2020-12-13","","79.79645139"
"I.E. COLOMBIA - GIRARDOTA","2020-12-12","","80.90625"
"I.E. COLOMBIA - GIRARDOTA","2020-12-11","","79.16726389"
"I.E. COLOMBIA - GIRARDOTA","2020-12-10","","78.41110711"
"I.E. COLOMBIA - GIRARDOTA","2020-12-09","","83.04615278"
"I.E. COLOMBIA - GIRARDOTA","2020-12-08","","79.42411806"
"I.E. COLOMBIA - GIRARDOTA","2020-12-07","","80.43289583"
"I.E. COLOMBIA - GIRARDOTA","2020-12-06","","79.07424306"
"I.E. COLOMBIA - GIRARDOTA","2020-12-05","","77.59771528"
"I.E. COLOMBIA - GIRARDOTA","2020-12-04","","77.61219444"
"I.E. COLOMBIA - GIRARDOTA","2020-12-03","","78.95706944"
"I.E. COLOMBIA - GIRARDOTA","2020-12-02","","83.92590278"
"I.E. COLOMBIA - GIRARDOTA","2020-12-01","","78.2679375"
"I.E. COLOMBIA - GIRARDOTA","2020-11-30","","82.04313889"
"I.E. COLOMBIA - GIRARDOTA","2020-11-29","","78.93725"
"I.E. COLOMBIA - GIRARDOTA","2020-11-28","","81.4600625"
"I.E. COLOMBIA - GIRARDOTA","2020-11-27","","80.37291594"
"I.E. COLOMBIA - GIRARDOTA","2020-11-26","","77.76302083"
"I.E. COLOMBIA - GIRARDOTA","2020-11-25","","77.37366667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-24","","79.47513889"
"I.E. COLOMBIA - GIRARDOTA","2020-11-23","","76.64856945"
"I.E. COLOMBIA - GIRARDOTA","2020-11-22","","79.37084028"
"I.E. COLOMBIA - GIRARDOTA","2020-11-21","","79.83416667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-20","","80.96463194"
"I.E. COLOMBIA - GIRARDOTA","2020-11-19","","80.18234722"
"I.E. COLOMBIA - GIRARDOTA","2020-11-18","","84.17014583"
"I.E. COLOMBIA - GIRARDOTA","2020-11-17","","85.06866667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-16","","81.28895139"
"I.E. COLOMBIA - GIRARDOTA","2020-11-15","","78.85320139"
"I.E. COLOMBIA - GIRARDOTA","2020-11-14","","79.78423611"
"I.E. COLOMBIA - GIRARDOTA","2020-11-13","","81.7993125"
"I.E. COLOMBIA - GIRARDOTA","2020-11-12","","84.14506944"
"I.E. COLOMBIA - GIRARDOTA","2020-11-11","","85.51359722"
"I.E. COLOMBIA - GIRARDOTA","2020-11-10","","81.25024306"
"I.E. COLOMBIA - GIRARDOTA","2020-11-09","","82.71426389"
"I.E. COLOMBIA - GIRARDOTA","2020-11-08","","80.00994444"
"I.E. COLOMBIA - GIRARDOTA","2020-11-07","","80.65220833"
"I.E. COLOMBIA - GIRARDOTA","2020-11-06","","85.40047917"
"I.E. COLOMBIA - GIRARDOTA","2020-11-05","","82.19722697"
"I.E. COLOMBIA - GIRARDOTA","2020-11-04","","78.74354861"
