"Estacion","Fecha inicial","Fecha final","TMPR AIR 10CM"
"I.E. COLOMBIA - GIRARDOTA","2020-12-18","","19.77859091"
"I.E. COLOMBIA - GIRARDOTA","2020-12-17","","21.68408333"
"I.E. COLOMBIA - GIRARDOTA","2020-12-16","","21.80054167"
"I.E. COLOMBIA - GIRARDOTA","2020-12-15","","21.68882639"
"I.E. COLOMBIA - GIRARDOTA","2020-12-14","","21.95793056"
"I.E. COLOMBIA - GIRARDOTA","2020-12-13","","21.43110417"
"I.E. COLOMBIA - GIRARDOTA","2020-12-12","","21.92122222"
"I.E. COLOMBIA - GIRARDOTA","2020-12-11","","22.07411111"
"I.E. COLOMBIA - GIRARDOTA","2020-12-10","","22.04189901"
"I.E. COLOMBIA - GIRARDOTA","2020-12-09","","21.81061806"
"I.E. COLOMBIA - GIRARDOTA","2020-12-08","","22.76502778"
"I.E. COLOMBIA - GIRARDOTA","2020-12-07","","22.50155556"
"I.E. COLOMBIA - GIRARDOTA","2020-12-06","","23.16933333"
"I.E. COLOMBIA - GIRARDOTA","2020-12-05","","22.9325625"
"I.E. COLOMBIA - GIRARDOTA","2020-12-04","","22.61509722"
"I.E. COLOMBIA - GIRARDOTA","2020-12-03","","22.07025694"
"I.E. COLOMBIA - GIRARDOTA","2020-12-02","","21.11251389"
"I.E. COLOMBIA - GIRARDOTA","2020-12-01","","21.84455556"
"I.E. COLOMBIA - GIRARDOTA","2020-11-30","","21.85190972"
"I.E. COLOMBIA - GIRARDOTA","2020-11-29","","22.57903472"
"I.E. COLOMBIA - GIRARDOTA","2020-11-28","","21.2138125"
"I.E. COLOMBIA - GIRARDOTA","2020-11-27","","21.93030519"
"I.E. COLOMBIA - GIRARDOTA","2020-11-26","","23.00295139"
"I.E. COLOMBIA - GIRARDOTA","2020-11-25","","22.81072917"
"I.E. COLOMBIA - GIRARDOTA","2020-11-24","","22.7661875"
"I.E. COLOMBIA - GIRARDOTA","2020-11-23","","23.47047917"
"I.E. COLOMBIA - GIRARDOTA","2020-11-22","","22.72910417"
"I.E. COLOMBIA - GIRARDOTA","2020-11-21","","22.34474306"
"I.E. COLOMBIA - GIRARDOTA","2020-11-20","","21.74253472"
"I.E. COLOMBIA - GIRARDOTA","2020-11-19","","22.22693056"
"I.E. COLOMBIA - GIRARDOTA","2020-11-18","","21.18582639"
"I.E. COLOMBIA - GIRARDOTA","2020-11-17","","21.00818056"
"I.E. COLOMBIA - GIRARDOTA","2020-11-16","","21.86601389"
"I.E. COLOMBIA - GIRARDOTA","2020-11-15","","21.86234722"
"I.E. COLOMBIA - GIRARDOTA","2020-11-14","","21.71134028"
"I.E. COLOMBIA - GIRARDOTA","2020-11-13","","21.721875"
"I.E. COLOMBIA - GIRARDOTA","2020-11-12","","21.39963889"
"I.E. COLOMBIA - GIRARDOTA","2020-11-11","","20.752625"
"I.E. COLOMBIA - GIRARDOTA","2020-11-10","","21.71872917"
"I.E. COLOMBIA - GIRARDOTA","2020-11-09","","21.03752083"
"I.E. COLOMBIA - GIRARDOTA","2020-11-08","","22.18391667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-07","","22.24603472"
"I.E. COLOMBIA - GIRARDOTA","2020-11-06","","21.2776875"
"I.E. COLOMBIA - GIRARDOTA","2020-11-05","","21.76536075"
"I.E. COLOMBIA - GIRARDOTA","2020-11-04","","22.47192361"
"I.E. COLOMBIA - GIRARDOTA","2020-11-03","","22.05225695"
"I.E. COLOMBIA - GIRARDOTA","2020-11-02","","23.09013195"
"I.E. COLOMBIA - GIRARDOTA","2020-11-01","","21.42456944"
"I.E. COLOMBIA - GIRARDOTA","2020-10-31","","21.41977778"
"I.E. COLOMBIA - GIRARDOTA","2020-10-30","","22.443375"
"I.E. COLOMBIA - GIRARDOTA","2020-10-29","","21.8256875"
"I.E. COLOMBIA - GIRARDOTA","2020-10-28","","22.48314583"
"I.E. COLOMBIA - GIRARDOTA","2020-10-27","","22.02054167"
