"Estacion","Fecha inicial","Fecha final","PLiquida"
"I.E. COLOMBIA - GIRARDOTA","2020-12-18","","9.0909E-4"
"I.E. COLOMBIA - GIRARDOTA","2020-12-17","","0.02333333"
"I.E. COLOMBIA - GIRARDOTA","2020-12-16","","0.04625"
"I.E. COLOMBIA - GIRARDOTA","2020-12-15","","0.02833333"
"I.E. COLOMBIA - GIRARDOTA","2020-12-14","","0.00166667"
"I.E. COLOMBIA - GIRARDOTA","2020-12-13","","0.00208333"
"I.E. COLOMBIA - GIRARDOTA","2020-12-12","","0.00166667"
"I.E. COLOMBIA - GIRARDOTA","2020-12-11","","8.3333E-4"
"I.E. COLOMBIA - GIRARDOTA","2020-12-10","","0.0"
"I.E. COLOMBIA - GIRARDOTA","2020-12-09","","0.0125"
"I.E. COLOMBIA - GIRARDOTA","2020-12-08","","0.02208333"
"I.E. COLOMBIA - GIRARDOTA","2020-12-07","","0.00458333"
"I.E. COLOMBIA - GIRARDOTA","2020-12-06","","0.02916667"
"I.E. COLOMBIA - GIRARDOTA","2020-12-05","","0.01583333"
"I.E. COLOMBIA - GIRARDOTA","2020-12-04","","8.3333E-4"
"I.E. COLOMBIA - GIRARDOTA","2020-12-03","","0.11791667"
"I.E. COLOMBIA - GIRARDOTA","2020-12-02","","0.14583333"
"I.E. COLOMBIA - GIRARDOTA","2020-12-01","","0.10333333"
"I.E. COLOMBIA - GIRARDOTA","2020-11-30","","0.03208333"
"I.E. COLOMBIA - GIRARDOTA","2020-11-29","","0.00375"
"I.E. COLOMBIA - GIRARDOTA","2020-11-28","","0.15666667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-27","","0.405"
"I.E. COLOMBIA - GIRARDOTA","2020-11-26","","0.00291667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-25","","0.00375"
"I.E. COLOMBIA - GIRARDOTA","2020-11-24","","0.00833333"
"I.E. COLOMBIA - GIRARDOTA","2020-11-23","","0.00458333"
"I.E. COLOMBIA - GIRARDOTA","2020-11-22","","0.01583333"
"I.E. COLOMBIA - GIRARDOTA","2020-11-21","","0.03291667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-20","","0.16875"
"I.E. COLOMBIA - GIRARDOTA","2020-11-19","","0.00958333"
"I.E. COLOMBIA - GIRARDOTA","2020-11-18","","0.1075"
"I.E. COLOMBIA - GIRARDOTA","2020-11-17","","0.01416667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-16","","0.08166667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-15","","0.59625"
"I.E. COLOMBIA - GIRARDOTA","2020-11-14","","0.1375"
"I.E. COLOMBIA - GIRARDOTA","2020-11-13","","0.69375"
"I.E. COLOMBIA - GIRARDOTA","2020-11-12","","0.13125"
"I.E. COLOMBIA - GIRARDOTA","2020-11-11","","0.14291667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-10","","0.13916667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-09","","0.04458333"
"I.E. COLOMBIA - GIRARDOTA","2020-11-08","","0.05666667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-07","","0.25375"
"I.E. COLOMBIA - GIRARDOTA","2020-11-06","","0.10666667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-05","","0.07416667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-04","","0.03208333"
"I.E. COLOMBIA - GIRARDOTA","2020-11-03","","0.22043478"
"I.E. COLOMBIA - GIRARDOTA","2020-11-02","","0.00708333"
"I.E. COLOMBIA - GIRARDOTA","2020-11-01","","0.23291667"
"I.E. COLOMBIA - GIRARDOTA","2020-10-31","","0.37625"
"I.E. COLOMBIA - GIRARDOTA","2020-10-30","","0.01666667"
"I.E. COLOMBIA - GIRARDOTA","2020-10-29","","0.06666667"
"I.E. COLOMBIA - GIRARDOTA","2020-10-28","","4.1667E-4"
"I.E. COLOMBIA - GIRARDOTA","2020-10-27","","0.18958333"
"I.E. COLOMBIA - GIRARDOTA","2020-10-26","","0.0"
"I.E. COLOMBIA - GIRARDOTA","2020-10-25","","0.10375"
"I.E. COLOMBIA - GIRARDOTA","2020-10-24","","0.22125"
"I.E. COLOMBIA - GIRARDOTA","2020-10-23","","0.48958333"
"I.E. COLOMBIA - GIRARDOTA","2020-10-22","","0.00125"
"I.E. COLOMBIA - GIRARDOTA","2020-10-21","","0.0"
"I.E. COLOMBIA - GIRARDOTA","2020-10-20","","0.03875"
"I.E. COLOMBIA - GIRARDOTA","2020-10-19","","0.03791667"
"I.E. COLOMBIA - GIRARDOTA","2020-10-18","","0.00666667"
"I.E. COLOMBIA - GIRARDOTA","2020-10-17","","8.3333E-4"
"I.E. COLOMBIA - GIRARDOTA","2020-10-16","","0.00541667"
"I.E. COLOMBIA - GIRARDOTA","2020-10-15","","0.0"
"I.E. COLOMBIA - GIRARDOTA","2020-10-14","","0.00125"
"I.E. COLOMBIA - GIRARDOTA","2020-10-13","","0.21208333"
"I.E. COLOMBIA - GIRARDOTA","2020-10-12","","0.00416667"
"I.E. COLOMBIA - GIRARDOTA","2020-10-11","","0.0"
"I.E. COLOMBIA - GIRARDOTA","2020-10-10","","0.0"
"I.E. COLOMBIA - GIRARDOTA","2020-10-09","","0.0275"
"I.E. COLOMBIA - GIRARDOTA","2020-10-08","","0.0"
"I.E. COLOMBIA - GIRARDOTA","2020-10-07","","0.0"
"I.E. COLOMBIA - GIRARDOTA","2020-10-06","","0.12458333"
"I.E. COLOMBIA - GIRARDOTA","2020-10-05","","0.39291667"
"I.E. COLOMBIA - GIRARDOTA","2020-10-04","","0.255"
"I.E. COLOMBIA - GIRARDOTA","2020-10-03","","0.44958333"
"I.E. COLOMBIA - GIRARDOTA","2020-10-02","","0.13083333"
"I.E. COLOMBIA - GIRARDOTA","2020-10-01","","0.00833333"
"I.E. COLOMBIA - GIRARDOTA","2020-09-30","","0.3025"
"I.E. COLOMBIA - GIRARDOTA","2020-09-29","","0.0"
"I.E. COLOMBIA - GIRARDOTA","2020-09-28","","0.0"
"I.E. COLOMBIA - GIRARDOTA","2020-09-27","","0.0"
"I.E. COLOMBIA - GIRARDOTA","2020-09-26","","0.12666667"
"I.E. COLOMBIA - GIRARDOTA","2020-09-25","","4.1667E-4"
"I.E. COLOMBIA - GIRARDOTA","2020-09-24","","0.07916667"
"I.E. COLOMBIA - GIRARDOTA","2020-09-23","","0.0275"
"I.E. COLOMBIA - GIRARDOTA","2020-09-22","","0.07791667"
"I.E. COLOMBIA - GIRARDOTA","2020-09-21","","0.09041667"
"I.E. COLOMBIA - GIRARDOTA","2020-09-20","","0.23625"
"I.E. COLOMBIA - GIRARDOTA","2020-09-19","","0.06333333"
"I.E. COLOMBIA - GIRARDOTA","2020-09-18","","0.48666667"
"I.E. COLOMBIA - GIRARDOTA","2020-09-17","","0.13458333"
"I.E. COLOMBIA - GIRARDOTA","2020-09-16","","0.07"
"I.E. COLOMBIA - GIRARDOTA","2020-09-15","","0.13333333"
"I.E. COLOMBIA - GIRARDOTA","2020-09-14","","0.0"
"I.E. COLOMBIA - GIRARDOTA","2020-09-13","","0.05791667"
"I.E. COLOMBIA - GIRARDOTA","2020-09-12","","0.35666667"
"I.E. COLOMBIA - GIRARDOTA","2020-09-11","","0.07041667"
"I.E. COLOMBIA - GIRARDOTA","2020-09-10","","0.26958333"
"I.E. COLOMBIA - GIRARDOTA","2020-09-09","","0.0"
"I.E. COLOMBIA - GIRARDOTA","2020-09-08","","0.28416667"
"I.E. COLOMBIA - GIRARDOTA","2020-09-07","","0.16875"
"I.E. COLOMBIA - GIRARDOTA","2020-09-06","","0.2875"
"I.E. COLOMBIA - GIRARDOTA","2020-09-05","","0.27625"
"I.E. COLOMBIA - GIRARDOTA","2020-09-04","","0.3275"
"I.E. COLOMBIA - GIRARDOTA","2020-09-03","","0.13333333"
