"Estacion","Fecha inicial","Fecha final","PM10"
"I.E. COLOMBIA - GIRARDOTA","2020-12-18","","42.3"
"I.E. COLOMBIA - GIRARDOTA","2020-12-17","","34.83333333"
"I.E. COLOMBIA - GIRARDOTA","2020-12-16","","39.86956522"
"I.E. COLOMBIA - GIRARDOTA","2020-12-15","","35.33333333"
"I.E. COLOMBIA - GIRARDOTA","2020-12-14","","34.16666667"
"I.E. COLOMBIA - GIRARDOTA","2020-12-13","","30.125"
"I.E. COLOMBIA - GIRARDOTA","2020-12-12","","31.625"
"I.E. COLOMBIA - GIRARDOTA","2020-12-11","","42.85714286"
"I.E. COLOMBIA - GIRARDOTA","2020-12-10","","33.91666667"
"I.E. COLOMBIA - GIRARDOTA","2020-12-09","","31.29166667"
"I.E. COLOMBIA - GIRARDOTA","2020-12-08","","29.29166667"
"I.E. COLOMBIA - GIRARDOTA","2020-12-07","","38.54166667"
"I.E. COLOMBIA - GIRARDOTA","2020-12-06","","24.75"
"I.E. COLOMBIA - GIRARDOTA","2020-12-05","","34.04347826"
"I.E. COLOMBIA - GIRARDOTA","2020-12-04","","33.75"
"I.E. COLOMBIA - GIRARDOTA","2020-12-03","","32.5"
"I.E. COLOMBIA - GIRARDOTA","2020-12-02","","40.54166667"
"I.E. COLOMBIA - GIRARDOTA","2020-12-01","","40.875"
"I.E. COLOMBIA - GIRARDOTA","2020-11-30","","31.375"
"I.E. COLOMBIA - GIRARDOTA","2020-11-29","","24.40909091"
"I.E. COLOMBIA - GIRARDOTA","2020-11-28","","27.52173913"
"I.E. COLOMBIA - GIRARDOTA","2020-11-27","","34.13043478"
"I.E. COLOMBIA - GIRARDOTA","2020-11-26","","28.58333333"
"I.E. COLOMBIA - GIRARDOTA","2020-11-25","","36.26086957"
"I.E. COLOMBIA - GIRARDOTA","2020-11-24","","41.17391304"
"I.E. COLOMBIA - GIRARDOTA","2020-11-23","","29.08695652"
"I.E. COLOMBIA - GIRARDOTA","2020-11-22","","22.27272727"
"I.E. COLOMBIA - GIRARDOTA","2020-11-21","","39.26086957"
"I.E. COLOMBIA - GIRARDOTA","2020-11-20","","42.95652174"
"I.E. COLOMBIA - GIRARDOTA","2020-11-19","","28.70833333"
"I.E. COLOMBIA - GIRARDOTA","2020-11-18","","29.09090909"
"I.E. COLOMBIA - GIRARDOTA","2020-11-17","","33.04166667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-16","","20.66666667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-15","","28.77272727"
"I.E. COLOMBIA - GIRARDOTA","2020-11-14","","28.08333333"
"I.E. COLOMBIA - GIRARDOTA","2020-11-13","","27.86363636"
"I.E. COLOMBIA - GIRARDOTA","2020-11-12","","41.5"
"I.E. COLOMBIA - GIRARDOTA","2020-11-11","","42.08695652"
"I.E. COLOMBIA - GIRARDOTA","2020-11-10","","42.60869565"
"I.E. COLOMBIA - GIRARDOTA","2020-11-09","","55.41666667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-08","","30.66666667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-07","","33.69565217"
"I.E. COLOMBIA - GIRARDOTA","2020-11-06","","26.5"
"I.E. COLOMBIA - GIRARDOTA","2020-11-05","","35.33333333"
"I.E. COLOMBIA - GIRARDOTA","2020-11-04","","27.26086957"
"I.E. COLOMBIA - GIRARDOTA","2020-11-03","","20.41666667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-02","","25.42857143"
"I.E. COLOMBIA - GIRARDOTA","2020-11-01","","17.13043478"
"I.E. COLOMBIA - GIRARDOTA","2020-10-31","","19.95238095"
"I.E. COLOMBIA - GIRARDOTA","2020-10-30","","36.54166667"
"I.E. COLOMBIA - GIRARDOTA","2020-10-29","","31.20833333"
"I.E. COLOMBIA - GIRARDOTA","2020-10-28","","48.58333333"
"I.E. COLOMBIA - GIRARDOTA","2020-10-27","","41.46153846"
"I.E. COLOMBIA - GIRARDOTA","2020-10-26","","43.28571429"
"I.E. COLOMBIA - GIRARDOTA","2020-10-25","","39.77272727"
"I.E. COLOMBIA - GIRARDOTA","2020-10-24","","40.81818182"
"I.E. COLOMBIA - GIRARDOTA","2020-10-23","","37.20833333"
"I.E. COLOMBIA - GIRARDOTA","2020-10-22","","39.56521739"
"I.E. COLOMBIA - GIRARDOTA","2020-10-21","","34.58823529"
"I.E. COLOMBIA - GIRARDOTA","2020-10-20","","37.95833333"
"I.E. COLOMBIA - GIRARDOTA","2020-10-19","","50.79166667"
"I.E. COLOMBIA - GIRARDOTA","2020-10-18","","36.7826087"
"I.E. COLOMBIA - GIRARDOTA","2020-10-17","","42.08333333"
"I.E. COLOMBIA - GIRARDOTA","2020-10-16","","35.08333333"
"I.E. COLOMBIA - GIRARDOTA","2020-10-15","","31.20833333"
"I.E. COLOMBIA - GIRARDOTA","2020-10-14","","31.29166667"
"I.E. COLOMBIA - GIRARDOTA","2020-10-13","","39.54166667"
"I.E. COLOMBIA - GIRARDOTA","2020-10-12","","22.72727273"
"I.E. COLOMBIA - GIRARDOTA","2020-10-11","","25.54166667"
"I.E. COLOMBIA - GIRARDOTA","2020-10-10","","29.63636364"
"I.E. COLOMBIA - GIRARDOTA","2020-10-09","","33.77272727"
"I.E. COLOMBIA - GIRARDOTA","2020-10-08","","32.29166667"
"I.E. COLOMBIA - GIRARDOTA","2020-10-07","","37.34782609"
"I.E. COLOMBIA - GIRARDOTA","2020-10-06","","32.83333333"
"I.E. COLOMBIA - GIRARDOTA","2020-10-05","","32.54166667"
"I.E. COLOMBIA - GIRARDOTA","2020-10-04","","18.76190476"
"I.E. COLOMBIA - GIRARDOTA","2020-10-03","","44.52173913"
"I.E. COLOMBIA - GIRARDOTA","2020-10-02","","33.04347826"
"I.E. COLOMBIA - GIRARDOTA","2020-10-01","","24.82608696"
"I.E. COLOMBIA - GIRARDOTA","2020-09-30","","34.34782609"
"I.E. COLOMBIA - GIRARDOTA","2020-09-29","","51.08333333"
"I.E. COLOMBIA - GIRARDOTA","2020-09-28","","30.625"
"I.E. COLOMBIA - GIRARDOTA","2020-09-27","","24.125"
"I.E. COLOMBIA - GIRARDOTA","2020-09-26","","23.25"
"I.E. COLOMBIA - GIRARDOTA","2020-09-25","","30.08333333"
"I.E. COLOMBIA - GIRARDOTA","2020-09-24","","32.60869565"
"I.E. COLOMBIA - GIRARDOTA","2020-09-23","","33.625"
"I.E. COLOMBIA - GIRARDOTA","2020-09-22","","32.39130435"
"I.E. COLOMBIA - GIRARDOTA","2020-09-21","","38.375"
"I.E. COLOMBIA - GIRARDOTA","2020-09-20","","28.27272727"
"I.E. COLOMBIA - GIRARDOTA","2020-09-19","","32.41666667"
"I.E. COLOMBIA - GIRARDOTA","2020-09-18","","36.375"
"I.E. COLOMBIA - GIRARDOTA","2020-09-17","","38.0"
"I.E. COLOMBIA - GIRARDOTA","2020-09-16","","31.47826087"
"I.E. COLOMBIA - GIRARDOTA","2020-09-15","","44.40909091"
"I.E. COLOMBIA - GIRARDOTA","2020-09-14","","37.66666667"
"I.E. COLOMBIA - GIRARDOTA","2020-09-13","","27.36363636"
"I.E. COLOMBIA - GIRARDOTA","2020-09-12","","28.86956522"
"I.E. COLOMBIA - GIRARDOTA","2020-09-11","","35.0"
"I.E. COLOMBIA - GIRARDOTA","2020-09-10","","29.91666667"
"I.E. COLOMBIA - GIRARDOTA","2020-09-09","","47.54545455"
"I.E. COLOMBIA - GIRARDOTA","2020-09-08","","26.79166667"
"I.E. COLOMBIA - GIRARDOTA","2020-09-07","","25.83333333"
"I.E. COLOMBIA - GIRARDOTA","2020-09-06","","15.73913043"
"I.E. COLOMBIA - GIRARDOTA","2020-09-05","","28.76190476"
"I.E. COLOMBIA - GIRARDOTA","2020-09-04","","37.77272727"
"I.E. COLOMBIA - GIRARDOTA","2020-09-03","","38.23076923"
"I.E. COLOMBIA - GIRARDOTA","2020-09-02","","34.70833333"
"I.E. COLOMBIA - GIRARDOTA","2020-09-01","","37.54166667"
"I.E. COLOMBIA - GIRARDOTA","2020-08-31","","38.91666667"
"I.E. COLOMBIA - GIRARDOTA","2020-08-30","","28.29166667"
"I.E. COLOMBIA - GIRARDOTA","2020-08-29","","43.83333333"
"I.E. COLOMBIA - GIRARDOTA","2020-08-28","","31.63636364"
"I.E. COLOMBIA - GIRARDOTA","2020-08-27","","33.375"
"I.E. COLOMBIA - GIRARDOTA","2020-08-26","","26.47058824"
"I.E. COLOMBIA - GIRARDOTA","2020-08-25","","38.66666667"
