"Estacion","Fecha inicial","Fecha final","PST"
"I.E. COLOMBIA - GIRARDOTA","2012-04-27","","53.26324828"
"I.E. COLOMBIA - GIRARDOTA","2012-04-24","","76.97848419"
"I.E. COLOMBIA - GIRARDOTA","2012-04-21","","53.52145539"
"I.E. COLOMBIA - GIRARDOTA","2012-04-18","","74.69405543"
"I.E. COLOMBIA - GIRARDOTA","2012-04-15","","49.88325253"
"I.E. COLOMBIA - GIRARDOTA","2012-04-12","","41.81282772"
"I.E. COLOMBIA - GIRARDOTA","2012-04-09","","50.94709183"
"I.E. COLOMBIA - GIRARDOTA","2012-04-06","","38.11433757"
"I.E. COLOMBIA - GIRARDOTA","2012-04-03","","50.18456375"
"I.E. COLOMBIA - GIRARDOTA","2012-03-31","","71.88227904"
"I.E. COLOMBIA - GIRARDOTA","2012-03-28","","88.03340627"
"I.E. COLOMBIA - GIRARDOTA","2012-03-25","","46.70248928"
"I.E. COLOMBIA - GIRARDOTA","2012-03-22","","69.61974534"
"I.E. COLOMBIA - GIRARDOTA","2012-03-19","","45.81512346"
"I.E. COLOMBIA - GIRARDOTA","2012-03-16","","91.93530363"
"I.E. COLOMBIA - GIRARDOTA","2012-03-13","","69.49141046"
"I.E. COLOMBIA - GIRARDOTA","2012-03-10","","86.00443093"
"I.E. COLOMBIA - GIRARDOTA","2012-03-07","","49.44680815"
"I.E. COLOMBIA - GIRARDOTA","2012-03-04","","47.52272855"
"I.E. COLOMBIA - GIRARDOTA","2012-03-01","","110.54370362"
"I.E. COLOMBIA - GIRARDOTA","2012-02-27","","118.22639296"
"I.E. COLOMBIA - GIRARDOTA","2012-02-24","","188.13732463"
"I.E. COLOMBIA - GIRARDOTA","2012-02-21","","115.8928993"
"I.E. COLOMBIA - GIRARDOTA","2012-02-18","","140.5363127"
"I.E. COLOMBIA - GIRARDOTA","2012-02-15","","70.88977343"
"I.E. COLOMBIA - GIRARDOTA","2012-02-12","","80.10008835"
"I.E. COLOMBIA - GIRARDOTA","2012-02-09","","245.66980201"
"I.E. COLOMBIA - GIRARDOTA","2012-02-06","","183.08405145"
"I.E. COLOMBIA - GIRARDOTA","2012-01-19","","122.36218222"
"I.E. COLOMBIA - GIRARDOTA","2012-01-16","","116.09330102"
"I.E. COLOMBIA - GIRARDOTA","2012-01-13","","183.31309579"
"I.E. COLOMBIA - GIRARDOTA","2012-01-10","","121.66868128"
"I.E. COLOMBIA - GIRARDOTA","2012-01-07","","77.02548874"
"I.E. COLOMBIA - GIRARDOTA","2012-01-04","","84.6221373"
"I.E. COLOMBIA - GIRARDOTA","2012-01-01","","93.89252399"
"I.E. COLOMBIA - GIRARDOTA","2011-12-29","","81.85093687"
"I.E. COLOMBIA - GIRARDOTA","2011-12-26","","96.12856214"
"I.E. COLOMBIA - GIRARDOTA","2011-12-23","","119.42928302"
"I.E. COLOMBIA - GIRARDOTA","2011-12-20","","84.59002212"
"I.E. COLOMBIA - GIRARDOTA","2011-12-17","","124.44607431"
"I.E. COLOMBIA - GIRARDOTA","2011-12-14","","112.24051361"
"I.E. COLOMBIA - GIRARDOTA","2011-12-11","","84.25520646"
"I.E. COLOMBIA - GIRARDOTA","2011-12-08","","65.77975945"
"I.E. COLOMBIA - GIRARDOTA","2011-12-05","","95.25664351"
"I.E. COLOMBIA - GIRARDOTA","2011-12-02","","155.7240223"
"I.E. COLOMBIA - GIRARDOTA","2011-11-29","","125.57029733"
"I.E. COLOMBIA - GIRARDOTA","2011-11-26","","89.94761112"
