"Estacion","Fecha inicial","Fecha final","RGlobal"
"I.E. COLOMBIA - GIRARDOTA","2013-12-01","","4.019444"
"I.E. COLOMBIA - GIRARDOTA","2013-11-30","","109.42688332"
"I.E. COLOMBIA - GIRARDOTA","2013-11-29","","183.41632525"
"I.E. COLOMBIA - GIRARDOTA","2013-11-28","","172.39420213"
"I.E. COLOMBIA - GIRARDOTA","2013-11-27","","232.90093943"
"I.E. COLOMBIA - GIRARDOTA","2013-11-26","","207.87673779"
"I.E. COLOMBIA - GIRARDOTA","2013-11-25","","244.05323325"
"I.E. COLOMBIA - GIRARDOTA","2013-11-24","","106.59340488"
"I.E. COLOMBIA - GIRARDOTA","2013-11-23","","148.59502158"
"I.E. COLOMBIA - GIRARDOTA","2013-11-22","","214.88252358"
"I.E. COLOMBIA - GIRARDOTA","2013-11-21","","230.23703213"
"I.E. COLOMBIA - GIRARDOTA","2013-11-20","","178.88020825"
"I.E. COLOMBIA - GIRARDOTA","2013-11-19","","207.20567363"
"I.E. COLOMBIA - GIRARDOTA","2013-11-18","","193.8842535"
"I.E. COLOMBIA - GIRARDOTA","2013-11-17","","202.92893463"
"I.E. COLOMBIA - GIRARDOTA","2013-11-16","","175.94224758"
"I.E. COLOMBIA - GIRARDOTA","2013-11-15","","205.24062583"
"I.E. COLOMBIA - GIRARDOTA","2013-11-14","","230.29479358"
"I.E. COLOMBIA - GIRARDOTA","2013-11-13","","228.54872546"
"I.E. COLOMBIA - GIRARDOTA","2013-11-12","","204.13450546"
"I.E. COLOMBIA - GIRARDOTA","2013-11-11","","208.43923879"
"I.E. COLOMBIA - GIRARDOTA","2013-11-10","","183.95255075"
"I.E. COLOMBIA - GIRARDOTA","2013-11-09","","200.33900525"
"I.E. COLOMBIA - GIRARDOTA","2013-11-08","","156.45011238"
"I.E. COLOMBIA - GIRARDOTA","2013-11-07","","155.05787671"
"I.E. COLOMBIA - GIRARDOTA","2013-11-06","","202.67511679"
"I.E. COLOMBIA - GIRARDOTA","2013-11-05","","135.98414296"
"I.E. COLOMBIA - GIRARDOTA","2013-11-04","","207.59583454"
"I.E. COLOMBIA - GIRARDOTA","2013-11-03","","163.8873805"
"I.E. COLOMBIA - GIRARDOTA","2013-11-02","","247.32940454"
"I.E. COLOMBIA - GIRARDOTA","2013-11-01","","177.62599988"
"I.E. COLOMBIA - GIRARDOTA","2013-10-31","","156.70763954"
"I.E. COLOMBIA - GIRARDOTA","2013-10-30","","189.60189612"
"I.E. COLOMBIA - GIRARDOTA","2013-10-29","","149.67465088"
"I.E. COLOMBIA - GIRARDOTA","2013-10-28","","224.61597658"
"I.E. COLOMBIA - GIRARDOTA","2013-10-27","","144.67014033"
"I.E. COLOMBIA - GIRARDOTA","2013-10-26","","177.56203721"
"I.E. COLOMBIA - GIRARDOTA","2013-10-25","","234.11481896"
"I.E. COLOMBIA - GIRARDOTA","2013-10-24","","209.90775508"
"I.E. COLOMBIA - GIRARDOTA","2013-10-23","","118.84212488"
"I.E. COLOMBIA - GIRARDOTA","2013-10-22","","151.94386729"
"I.E. COLOMBIA - GIRARDOTA","2013-10-21","","180.27327"
"I.E. COLOMBIA - GIRARDOTA","2013-10-20","","196.24942858"
"I.E. COLOMBIA - GIRARDOTA","2013-10-19","","250.72338217"
"I.E. COLOMBIA - GIRARDOTA","2013-10-18","","217.88414579"
"I.E. COLOMBIA - GIRARDOTA","2013-10-17","","196.9726965"
"I.E. COLOMBIA - GIRARDOTA","2013-10-16","","104.02766229"
"I.E. COLOMBIA - GIRARDOTA","2013-10-15","","185.87686613"
"I.E. COLOMBIA - GIRARDOTA","2013-10-14","","91.61493004"
"I.E. COLOMBIA - GIRARDOTA","2013-10-13","","154.02766229"
"I.E. COLOMBIA - GIRARDOTA","2013-10-12","","184.84293929"
"I.E. COLOMBIA - GIRARDOTA","2013-10-11","","184.07880825"
"I.E. COLOMBIA - GIRARDOTA","2013-10-10","","200.98623063"
"I.E. COLOMBIA - GIRARDOTA","2013-10-09","","212.21967675"
"I.E. COLOMBIA - GIRARDOTA","2013-10-08","","216.26886654"
"I.E. COLOMBIA - GIRARDOTA","2013-10-07","","185.72279858"
"I.E. COLOMBIA - GIRARDOTA","2013-10-06","","257.32037346"
"I.E. COLOMBIA - GIRARDOTA","2013-10-05","","241.63576258"
"I.E. COLOMBIA - GIRARDOTA","2013-10-04","","157.25254225"
"I.E. COLOMBIA - GIRARDOTA","2013-10-03","","143.79872542"
"I.E. COLOMBIA - GIRARDOTA","2013-10-02","","201.11553292"
"I.E. COLOMBIA - GIRARDOTA","2013-10-01","","132.09965231"
"I.E. COLOMBIA - GIRARDOTA","2013-09-30","","219.11122883"
"I.E. COLOMBIA - GIRARDOTA","2013-09-29","","148.44513613"
"I.E. COLOMBIA - GIRARDOTA","2013-09-28","","112.794907"
"I.E. COLOMBIA - GIRARDOTA","2013-09-27","","179.877432"
"I.E. COLOMBIA - GIRARDOTA","2013-09-26","","126.53946704"
"I.E. COLOMBIA - GIRARDOTA","2013-09-25","","233.8846095"
"I.E. COLOMBIA - GIRARDOTA","2013-09-24","","212.80984108"
