"Estacion","Fecha inicial","Fecha final","TAire2"
"I.E. COLOMBIA - GIRARDOTA","2012-03-28","","19.96992515"
"I.E. COLOMBIA - GIRARDOTA","2012-03-27","","21.52101112"
"I.E. COLOMBIA - GIRARDOTA","2012-03-26","","19.73912385"
"I.E. COLOMBIA - GIRARDOTA","2012-03-25","","20.87235119"
"I.E. COLOMBIA - GIRARDOTA","2012-03-24","","20.39241917"
"I.E. COLOMBIA - GIRARDOTA","2012-03-23","","21.25549136"
"I.E. COLOMBIA - GIRARDOTA","2012-03-22","","21.21932708"
"I.E. COLOMBIA - GIRARDOTA","2012-03-21","","20.52293875"
"I.E. COLOMBIA - GIRARDOTA","2012-03-20","","19.57508125"
"I.E. COLOMBIA - GIRARDOTA","2012-03-19","","20.3559725"
"I.E. COLOMBIA - GIRARDOTA","2012-03-18","","20.87304958"
"I.E. COLOMBIA - GIRARDOTA","2012-03-17","","20.78803875"
"I.E. COLOMBIA - GIRARDOTA","2012-03-16","","22.00735708"
"I.E. COLOMBIA - GIRARDOTA","2012-03-15","","23.63153217"
"I.E. COLOMBIA - GIRARDOTA","2012-03-14","","22.21817667"
"I.E. COLOMBIA - GIRARDOTA","2012-03-13","","22.3958275"
"I.E. COLOMBIA - GIRARDOTA","2012-03-12","","22.66973125"
"I.E. COLOMBIA - GIRARDOTA","2012-03-11","","21.603935"
"I.E. COLOMBIA - GIRARDOTA","2012-03-10","","18.41005708"
"I.E. COLOMBIA - GIRARDOTA","2012-03-09","","20.05029125"
"I.E. COLOMBIA - GIRARDOTA","2012-03-08","","21.82357083"
"I.E. COLOMBIA - GIRARDOTA","2012-03-07","","21.83808958"
"I.E. COLOMBIA - GIRARDOTA","2012-03-06","","22.33479125"
"I.E. COLOMBIA - GIRARDOTA","2012-03-05","","20.85041208"
"I.E. COLOMBIA - GIRARDOTA","2012-03-04","","22.23624417"
"I.E. COLOMBIA - GIRARDOTA","2012-03-03","","21.95603583"
"I.E. COLOMBIA - GIRARDOTA","2012-03-02","","23.34343"
"I.E. COLOMBIA - GIRARDOTA","2012-03-01","","22.38162083"
"I.E. COLOMBIA - GIRARDOTA","2012-02-29","","21.97189833"
"I.E. COLOMBIA - GIRARDOTA","2012-02-28","","22.34118708"
"I.E. COLOMBIA - GIRARDOTA","2012-02-27","","22.02076958"
"I.E. COLOMBIA - GIRARDOTA","2012-02-26","","22.37527833"
"I.E. COLOMBIA - GIRARDOTA","2012-02-25","","22.59445667"
"I.E. COLOMBIA - GIRARDOTA","2012-02-24","","22.78192"
"I.E. COLOMBIA - GIRARDOTA","2012-02-23","","22.83414917"
"I.E. COLOMBIA - GIRARDOTA","2012-02-22","","22.29603333"
"I.E. COLOMBIA - GIRARDOTA","2012-02-21","","22.38332708"
"I.E. COLOMBIA - GIRARDOTA","2012-02-20","","21.37017333"
"I.E. COLOMBIA - GIRARDOTA","2012-02-19","","21.39343708"
"I.E. COLOMBIA - GIRARDOTA","2012-02-18","","21.95763875"
"I.E. COLOMBIA - GIRARDOTA","2012-02-17","","21.83223375"
"I.E. COLOMBIA - GIRARDOTA","2012-02-16","","21.01484542"
"I.E. COLOMBIA - GIRARDOTA","2012-02-15","","21.4365975"
"I.E. COLOMBIA - GIRARDOTA","2012-02-14","","20.05020471"
"I.E. COLOMBIA - GIRARDOTA","2012-02-13","","21.53206708"
"I.E. COLOMBIA - GIRARDOTA","2012-02-12","","21.83417875"
"I.E. COLOMBIA - GIRARDOTA","2012-02-11","","21.93181125"
"I.E. COLOMBIA - GIRARDOTA","2012-02-10","","21.66956083"
"I.E. COLOMBIA - GIRARDOTA","2012-02-09","","21.53825833"
"I.E. COLOMBIA - GIRARDOTA","2012-02-08","","20.54312542"
"I.E. COLOMBIA - GIRARDOTA","2012-02-07","","22.62640125"
"I.E. COLOMBIA - GIRARDOTA","2012-02-06","","20.87344417"
"I.E. COLOMBIA - GIRARDOTA","2012-02-05","","22.3338075"
"I.E. COLOMBIA - GIRARDOTA","2012-02-04","","21.28199"
"I.E. COLOMBIA - GIRARDOTA","2012-02-03","","21.92669542"
"I.E. COLOMBIA - GIRARDOTA","2012-02-02","","22.31777833"
"I.E. COLOMBIA - GIRARDOTA","2012-02-01","","21.70093792"
