"Estacion","Fecha inicial","Fecha final","VViento"
"I.E. COLOMBIA - GIRARDOTA","2020-12-18","","1.05727273"
"I.E. COLOMBIA - GIRARDOTA","2020-12-17","","1.45916667"
"I.E. COLOMBIA - GIRARDOTA","2020-12-16","","1.73625"
"I.E. COLOMBIA - GIRARDOTA","2020-12-15","","1.73125"
"I.E. COLOMBIA - GIRARDOTA","2020-12-14","","1.71166667"
"I.E. COLOMBIA - GIRARDOTA","2020-12-13","","1.57541667"
"I.E. COLOMBIA - GIRARDOTA","2020-12-12","","1.72166667"
"I.E. COLOMBIA - GIRARDOTA","2020-12-11","","1.66958333"
"I.E. COLOMBIA - GIRARDOTA","2020-12-10","","2.325"
"I.E. COLOMBIA - GIRARDOTA","2020-12-09","","1.66458333"
"I.E. COLOMBIA - GIRARDOTA","2020-12-08","","1.68375"
"I.E. COLOMBIA - GIRARDOTA","2020-12-07","","2.00875"
"I.E. COLOMBIA - GIRARDOTA","2020-12-06","","1.53833333"
"I.E. COLOMBIA - GIRARDOTA","2020-12-05","","1.77041667"
"I.E. COLOMBIA - GIRARDOTA","2020-12-04","","1.64083333"
"I.E. COLOMBIA - GIRARDOTA","2020-12-03","","2.05958333"
"I.E. COLOMBIA - GIRARDOTA","2020-12-02","","1.00041667"
"I.E. COLOMBIA - GIRARDOTA","2020-12-01","","1.94541667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-30","","1.44"
"I.E. COLOMBIA - GIRARDOTA","2020-11-29","","2.14458333"
"I.E. COLOMBIA - GIRARDOTA","2020-11-28","","1.48833333"
"I.E. COLOMBIA - GIRARDOTA","2020-11-27","","1.48791667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-26","","2.14416667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-25","","1.59666667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-24","","1.42916667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-23","","1.54208333"
"I.E. COLOMBIA - GIRARDOTA","2020-11-22","","2.02708333"
"I.E. COLOMBIA - GIRARDOTA","2020-11-21","","1.32375"
"I.E. COLOMBIA - GIRARDOTA","2020-11-20","","1.20791667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-19","","1.92375"
"I.E. COLOMBIA - GIRARDOTA","2020-11-18","","1.4175"
"I.E. COLOMBIA - GIRARDOTA","2020-11-17","","1.49625"
"I.E. COLOMBIA - GIRARDOTA","2020-11-16","","1.58125"
"I.E. COLOMBIA - GIRARDOTA","2020-11-15","","1.49041667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-14","","1.64041667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-13","","1.51583333"
"I.E. COLOMBIA - GIRARDOTA","2020-11-12","","1.06166667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-11","","1.04416667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-10","","1.64416667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-09","","1.37625"
"I.E. COLOMBIA - GIRARDOTA","2020-11-08","","1.49625"
"I.E. COLOMBIA - GIRARDOTA","2020-11-07","","1.31166667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-06","","1.22166667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-05","","1.2275"
"I.E. COLOMBIA - GIRARDOTA","2020-11-04","","2.07958333"
"I.E. COLOMBIA - GIRARDOTA","2020-11-03","","1.8825"
"I.E. COLOMBIA - GIRARDOTA","2020-11-02","","1.93041667"
"I.E. COLOMBIA - GIRARDOTA","2020-11-01","","1.50208333"
