"Estacion","Fecha inicial","Fecha final","CO"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-21","","883.46713409"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-20","","925.73176551"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-19","","553.53033401"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-18","","629.8793456"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-17","","691.91291752"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-16","","691.91291752"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-15","","701.45654397"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-14","","648.9665985"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-13","","746.89250467"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-12","","629.8793456"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-11","","691.91291752"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-10","","691.91291752"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-09","","825.5236878"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-08","","668.0538514"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-07","","625.10753238"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-06","","653.73841172"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-05","","677.59747785"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-04","","510.584015"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-03","","357.88599182"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-02","","386.51687117"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-01","","433.98385534"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-31","","615.76175869"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-30","","711.22869802"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-29","","711.22869802"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-28","","572.80163599"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-27","","639.62849352"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-26","","658.72188139"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-25","","964.21608725"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-24","","916.48261759"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-23","","769.19076833"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-22","","696.90865712"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-21","","668.26857532"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-20","","653.94853442"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-19","","778.05555556"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-18","","897.38922972"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-17","","778.05555556"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-16","","825.78902522"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-15","","926.02931152"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-14","","749.41547376"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-13","","787.60224949"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-12","","863.97580095"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-11","","768.50886162"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-10","","653.94853442"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-09","","606.21506476"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-08","","708.19111359"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-07","","591.89502386"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-06","","587.12167689"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-05","","644.40184049"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-04","","658.72188139"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-03","","926.02931152"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-02","","693.3914541"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-01","","880.03160439"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-30","","642.81072484"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-29","","887.84253579"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-28","","797.14894342"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-27","","1107.41649625"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-26","","1026.26959782"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-25","","668.26857532"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-24","","735.09543286"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-23","","577.57498296"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-22","","591.89502386"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-21","","630.08179959"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-20","","591.89502386"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-19","","625.30845262"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-18","","677.81526926"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-17","","692.34284698"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-16","","587.12167689"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-15","","706.45535106"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-14","","861.69289588"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-13","","615.30351738"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-12","","577.25952698"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-11","","514.41232013"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-10","","410.50783913"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-09","","572.80163599"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-08","","463.01465576"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-07","","687.36196319"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-06","","682.58861622"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-05","","821.01567825"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-04","","854.42910702"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-03","","596.66837082"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-02","","405.73449216"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-01","","396.18779823"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-31","","491.65473756"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-30","","537.93544945"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-29","","491.65473756"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-28","","410.50783913"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-27","","577.57498296"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-26","","420.05453306"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-25","","381.86775733"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-24","","496.42808453"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-23","","653.94853442"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-22","","513.0310305"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-21","","653.94853442"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-20","","610.98841172"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-19","","525.06816633"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-18","","563.25494206"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-17","","510.74812543"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-16","","673.04192229"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-15","","572.80163599"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-14","","520.29481936"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-13","","744.64212679"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-12","","501.20143149"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-11","","716.00204499"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-10","","701.68200409"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-09","","544.16155419"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-08","","606.21506476"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-07","","610.98841172"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-06","","525.06816633"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-05","","443.92126789"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-04","","458.24130879"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-03","","639.62849352"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-02","","548.93490116"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-01","","548.93490116"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-31","","572.8"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-30","","400.95833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-29","","443.92083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-28","","372.31666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-27","","477.325"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-26","","673.03333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-25","","405.74166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-24","","439.14166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-23","","510.75416667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-22","","568.025"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-21","","463.23043478"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-20","","381.85416667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-19","","597.71304348"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-18","","825.80416667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-17","","771.76315789"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-16","","505.95833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-15","","653.9375"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-14","","467.77916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-13","","596.675"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-12","","591.9"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-11","","606.21666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-10","","677.80833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-09","","587.11666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-08","","501.19166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-07","","610.9875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-06","","706.45416667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-05","","749.40416667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-04","","773.28333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-03","","682.5875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-02","","941.37826087"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-01","","1097.85416667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-30","","272.08333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-29","","472.55833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-28","","467.78333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-27","","391.40416667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-26","","410.50416667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-25","","443.29565217"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-24","","491.65"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-23","","491.65"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-22","","534.6"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-21","","515.525"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-20","","548.92916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-19","","644.39166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-18","","577.7826087"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-17","","357.99166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-16","","336.94117647"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-15","","687.4"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-14","","493.09565217"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-13","","348.45416667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-12","","424.82083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-11","","429.59583333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-10","","278.93043478"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-09","","310.275"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-08","","467.78333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-07","","448.69583333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-06","","458.23333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-05","","458.24166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-04","","463.0125"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-03","","386.63333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-02","","467.77916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-01","","572.80833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-31","","515.525"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-30","","572.8"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-29","","892.61666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-28","","558.47083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-27","","548.93333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-26","","400.95416667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-25","","491.65"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-24","","553.70833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-23","","486.875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-22","","525.0625"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-21","","768.52083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-20","","510.74583333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-19","","510.74583333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-18","","806.69166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-17","","844.875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-16","","811.45833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-15","","744.62916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-14","","572.79565217"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-13","","477.33333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-12","","482.1125"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-11","","582.35"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-10","","797.15416667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-09","","637.55652174"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-08","","801.92083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-07","","768.50416667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-06","","548.92083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-05","","649.17916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-04","","892.60833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-03","","754.18333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-02","","725.525"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-01","","749.4125"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-23","","1374.71818182"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-22","","1494.05833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-21","","1322.23333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-20","","1322.21666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-19","","1541.78333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-18","","1317.4375"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-17","","1365.17916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-16","","1331.76666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-15","","1303.12916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-14","","1279.26666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-13","","1293.5875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-12","","1432.00416667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-11","","1255.37916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-10","","1279.24583333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-09","","1231.50833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-08","","1102.625"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-07","","1097.875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-06","","1069.225"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-05","","1140.8125"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-04","","988.08333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-03","","1026.26666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-02","","1188.55"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-01","","973.7625"
