"Estacion","Fecha inicial","Fecha final","HAire2"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-28","","68.125"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-27","","65.27083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-26","","71.69166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-25","","66.875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-24","","75.52083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-23","","67.0"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-22","","69.225"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-21","","69.82916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-20","","61.8"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-19","","63.2375"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-18","","65.52083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-17","","79.15"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-16","","68.22083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-15","","69.875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-14","","74.99583333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-13","","70.1"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-12","","74.0875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-11","","77.775"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-10","","81.17916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-09","","72.9375"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-08","","79.89583333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-07","","69.34166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-06","","74.64583333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-05","","79.24583333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-04","","73.68333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-03","","78.50416667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-02","","86.925"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-01","","71.09583333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-31","","69.44166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-30","","65.575"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-29","","66.47916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-28","","61.6375"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-27","","65.67916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-26","","69.14166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-25","","71.3"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-24","","71.11666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-23","","72.89166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-22","","75.325"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-21","","74.60833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-20","","71.22083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-19","","67.59583333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-18","","67.08333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-17","","67.8625"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-16","","71.5375"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-15","","72.1375"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-14","","68.3625"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-13","","72.8625"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-12","","66.26666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-11","","57.92083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-10","","55.79583333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-09","","53.33333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-08","","52.825"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-07","","57.225"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-06","","59.4875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-05","","61.025"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-04","","64.2125"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-03","","63.46666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-02","","59.17083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-01","","61.05833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-31","","63.62916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-30","","66.41666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-29","","65.07916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-28","","60.92916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-27","","66.15833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-26","","71.96666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-25","","71.325"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-24","","72.5"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-23","","70.47083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-22","","72.37916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-21","","72.17083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-20","","72.24166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-19","","73.375"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-18","","72.73333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-17","","75.2125"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-16","","72.77083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-15","","74.00833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-14","","75.66666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-13","","72.92916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-12","","72.7125"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-11","","73.10833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-10","","62.3"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-09","","64.46666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-08","","66.525"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-07","","68.425"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-06","","70.61666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-05","","73.4625"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-04","","70.10833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-03","","78.28333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-02","","78.32916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-01","","79.74166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-30","","79.80416667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-29","","81.00833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-28","","73.23333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-27","","69.00416667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-26","","69.46666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-25","","68.425"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-24","","72.65"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-23","","78.8875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-22","","79.89583333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-21","","79.0"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-20","","73.10833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-19","","72.0375"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-18","","85.25833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-17","","80.82916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-16","","75.47083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-15","","74.59333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-14","","89.9"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-13","","79.39583333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-12","","75.07083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-11","","77.975"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-10","","70.76666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-09","","73.30833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-08","","67.74583333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-07","","69.76666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-06","","71.775"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-05","","75.85"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-04","","69.1625"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-03","","66.10416667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-02","","73.13333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-01","","75.17826087"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-30","","58.0875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-29","","64.3"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-28","","69.24166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-27","","70.0"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-26","","68.325"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-25","","74.2625"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-24","","80.80416667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-23","","66.80416667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-22","","74.5375"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-21","","68.8125"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-20","","70.13333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-19","","66.9875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-18","","70.80833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-17","","66.79166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-16","","53.63333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-15","","51.12916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-14","","50.125"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-13","","59.36666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-12","","62.41666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-11","","62.225"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-10","","61.66666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-09","","54.38333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-08","","63.00833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-07","","63.3875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-06","","61.7125"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-05","","76.3125"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-04","","59.29583333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-03","","61.7625"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-02","","58.00416667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-01","","56.2"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-31","","54.81666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-30","","49.31666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-29","","52.75217391"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-28","","51.09583333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-27","","58.20416667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-26","","63.6"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-25","","73.78333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-24","","78.08333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-23","","75.97916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-22","","76.60416667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-21","","73.775"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-20","","72.14583333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-19","","67.16666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-18","","74.48333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-17","","75.8375"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-16","","64.18333333"
