"Estacion","Fecha inicial","Fecha final","O3"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-31","","49.13387609"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-30","","38.96091667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-29","","43.90664875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-28","","17.21604917"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-27","","13.97884333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-26","","27.51624917"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-25","","26.93584208"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-24","","21.86748917"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-23","","9.23748125"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-22","","12.71993042"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-21","","31.74260208"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-20","","28.76698875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-19","","0.0"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-18","","0.0"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-17","","21.54867375"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-16","","44.15189167"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-15","","27.70426958"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-14","","26.34725833"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-13","","26.461705"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-12","","26.37995875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-11","","29.09397917"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-10","","19.21886708"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-09","","42.21447292"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-08","","15.42577625"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-07","","9.83424"
