"Estacion","Fecha inicial","Fecha final","PM10"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-31","","21.17391304"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-30","","23.45833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-29","","28.41666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-28","","20.625"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-27","","9.125"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-26","","12.04166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-25","","13.875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-24","","17.75"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-23","","24.125"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-22","","17.70833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-21","","20.5"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-20","","8.66666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-19","","2.91666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-18","","5.83333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-17","","9.29166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-16","","4.125"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-15","","16.45833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-14","","19.16666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-13","","17.875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-12","","19.25"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-11","","21.45833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-10","","15.5"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-09","","29.0"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-08","","24.66666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-07","","26.29166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-06","","25.75"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-05","","17.83333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-04","","25.58333333"
