"Estacion","Fecha inicial","Fecha final","PM2.5"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-31","","15.34782609"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-30","","15.5"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-29","","15.25"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-28","","11.875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-27","","7.54166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-26","","8.83333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-25","","9.91666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-24","","14.0"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-23","","17.125"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-22","","14.54166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-21","","17.58333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-20","","14.875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-19","","16.33333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-18","","19.95833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-17","","18.875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-16","","16.875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-15","","17.58333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-14","","11.79166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-13","","11.625"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-12","","13.41666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-11","","13.25"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-10","","9.66666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-09","","19.625"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-08","","15.70833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-07","","13.45833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-06","","14.625"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-05","","14.16666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-04","","16.70833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-03","","16.54166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-02","","21.20833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-10-01","","15.0"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-09-30","","17.0"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-09-29","","14.75"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-09-28","","13.54166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-09-27","","21.41666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-09-26","","18.25"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-09-25","","12.625"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-09-24","","13.5"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-09-23","","12.70833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-09-22","","12.625"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-09-21","","15.0"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-09-20","","12.95833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-09-19","","14.0"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-09-18","","18.125"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-09-17","","18.41666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-09-16","","16.04166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-09-15","","10.70833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-09-14","","12.95833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-09-13","","16.25"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-09-12","","17.83333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-09-11","","16.0"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-09-10","","11.5"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-09-09","","10.41666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-09-08","","13.70833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-09-07","","8.4375"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-09-06","","14.04166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-09-05","","13.625"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-09-04","","13.58333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-09-03","","10.83333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-09-02","","15.375"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-09-01","","12.125"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-08-31","","16.2173913"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-08-30","","15.04347826"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-08-29","","11.79166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-08-28","","11.15217391"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-08-27","","11.81818182"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-08-26","","11.54166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-08-25","","11.66666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-08-24","","9.375"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-08-23","","12.29166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-08-22","","14.375"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-08-21","","11.58333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-08-20","","10.875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-08-19","","11.08333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-08-18","","8.58333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2025-08-17","","13.625"
