"Estacion","Fecha inicial","Fecha final","RGlobal"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-12-01","","13.44"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-30","","106.961496"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-29","","214.72755"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-28","","184.730249"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-27","","240.75225208"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-26","","201.42844542"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-25","","224.64893292"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-24","","99.69748125"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-23","","172.76314667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-22","","207.43414542"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-21","","300.53385176"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-20","","157.12211083"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-19","","213.62321625"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-18","","221.40384292"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-17","","214.15749167"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-16","","200.19353625"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-15","","238.53616625"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-14","","240.35513167"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-13","","239.77475708"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-12","","199.4180375"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-11","","231.72617042"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-10","","164.24359125"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-09","","200.41745042"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-08","","177.01198"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-07","","136.29817875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-06","","246.78027792"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-05","","184.89645667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-04","","173.46664292"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-03","","180.87205958"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-02","","241.86546833"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-11-01","","282.8965275"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-31","","172.65591042"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-30","","175.00684105"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-29","","188.773245"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-28","","245.76079917"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-27","","169.89827583"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-26","","231.59629167"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-25","","336.80772727"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-24","","13.44"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-23","","229.43983042"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-22","","217.15696292"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-21","","175.13482708"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-20","","228.32219958"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-19","","257.09985792"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-18","","234.72872333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-17","","179.6145275"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-16","","174.99419083"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-15","","190.35887542"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-14","","88.1465925"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-13","","195.44014167"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-12","","223.51013333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-11","","209.25250167"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-10","","242.739505"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-09","","256.74073375"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-08","","250.69610833"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-07","","205.39559167"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-06","","289.87914875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-05","","275.71722333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-04","","196.72565458"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-03","","162.70037417"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-02","","202.69656368"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-10-01","","177.45942238"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-30","","210.36783"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-29","","174.93374958"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-28","","151.12080125"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-27","","208.89839125"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-26","","141.0010775"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-25","","217.07839958"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-24","","185.76947375"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-23","","237.59297375"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-22","","205.43276167"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-21","","300.71040125"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-20","","289.60231167"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-19","","179.58359375"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-18","","205.342355"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-17","","196.40801042"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-16","","252.43025417"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-15","","230.81668792"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-14","","184.05601208"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-13","","13.44"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-11","","182.38493545"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-10","","230.46013958"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-09","","207.3968675"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-08","","219.06177333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-07","","160.64509"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-06","","131.67067417"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-05","","208.37856333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-04","","164.65915042"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-03","","222.767075"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-02","","241.81599583"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-09-01","","230.1950375"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-31","","223.39661542"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-30","","195.63752583"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-29","","149.47310708"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-28","","215.86500083"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-27","","192.8258125"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-26","","255.93257792"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-25","","290.07636917"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-24","","210.68831583"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-23","","244.09312667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-22","","251.40430708"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-21","","215.19552667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-20","","244.63149042"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-19","","179.7253525"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-18","","236.31413583"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-17","","261.47478667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-16","","202.06187"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-15","","191.14861917"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-14","","257.8343875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-13","","128.9653775"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-12","","208.84921875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-11","","200.75054917"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-10","","220.55038958"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-09","","204.47729042"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-08","","126.78155917"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-07","","160.33433333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-06","","229.91940292"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-05","","267.33728"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-04","","251.73332125"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-03","","195.07877417"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-02","","235.5577"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-08-01","","233.47056333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-31","","226.40859375"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-30","","239.93690625"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-29","","214.30345583"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-28","","269.78844542"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-27","","238.27507792"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-26","","161.72758833"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-25","","300.74151083"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-24","","259.98010417"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-23","","253.22634625"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-22","","193.356805"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-21","","228.98655826"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-20","","219.43143542"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-19","","179.57580833"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-18","","199.16790792"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-07-17","","107.55554667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-14","","6.0"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-13","","231.21215375"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-12","","207.92581092"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-11","","213.51756104"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-10","","210.85532242"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-09","","265.27476904"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-08","","194.86886392"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-07","","241.57360721"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-06","","178.99757358"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-05","","193.03773804"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-04","","226.30173442"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-03","","186.10300213"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-02","","202.52661613"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-06-01","","209.44525629"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-31","","150.44432867"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-30","","222.25359092"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-29","","174.52048171"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-28","","158.33830675"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-27","","167.60971813"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-26","","202.33055333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-25","","225.46377433"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-24","","173.75092933"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-23","","189.38011175"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-22","","161.05636646"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-21","","138.65578708"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-20","","133.87743075"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-19","","239.81180921"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-18","","185.885302"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-17","","126.9983925"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-16","","179.69213104"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-15","","132.88761796"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-14","","214.35624738"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-13","","195.97071458"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-12","","239.91215267"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-11","","204.78021304"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-10","","205.8602875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-09","","163.38587838"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-08","","207.91990438"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-07","","123.76724596"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-06","","219.81213017"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-05","","148.71515579"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-04","","260.32847817"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-03","","179.580907"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-02","","138.57291304"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-05-01","","157.87881854"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-30","","219.94826413"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-29","","138.08946367"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-28","","301.0925865"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-27","","184.85371167"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-26","","181.81145588"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-25","","210.88356483"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-24","","189.43333167"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-23","","198.48483196"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-22","","193.67893617"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-21","","154.68899942"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-20","","183.6886845"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-19","","108.06701975"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-18","","148.48796288"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-17","","148.33749942"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-16","","214.88090338"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-15","","179.39525617"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-14","","158.8260345"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-13","","185.18286563"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-12","","152.99895617"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-11","","211.99247754"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-10","","154.42071767"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-09","","200.22626975"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-08","","201.46573408"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-07","","214.25335696"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-06","","218.71203771"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-05","","179.64641817"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-04","","218.791895"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-03","","178.63912054"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-02","","137.91863504"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-04-01","","183.91145783"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-28","","145.99583333"
