"Estacion","Fecha inicial","Fecha final","TAire2"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-28","","21.22083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-27","","21.5625"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-26","","20.82916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-25","","20.98333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-24","","19.76666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-23","","21.53333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-22","","20.9"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-21","","20.2625"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-20","","20.87916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-19","","21.16666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-18","","20.1875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-17","","17.9375"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-16","","20.18333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-15","","19.2125"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-14","","18.19166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-13","","18.97916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-12","","18.39583333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-11","","18.30416667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-10","","17.55"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-09","","19.4875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-08","","18.6875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-07","","20.29583333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-06","","19.25416667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-05","","18.53333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-04","","19.00416667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-03","","18.1875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-02","","17.04166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-02-01","","18.925"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-31","","20.81666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-30","","21.77916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-29","","21.21666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-28","","21.97083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-27","","21.45416667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-26","","19.575"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-25","","19.39583333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-24","","20.45833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-23","","20.17083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-22","","19.82916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-21","","19.97083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-20","","19.775"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-19","","20.19583333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-18","","20.49166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-17","","20.47083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-16","","19.7875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-15","","19.38333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-14","","20.17916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-13","","18.95"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-12","","20.325"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-11","","21.5375"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-10","","21.65"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-09","","21.0"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-08","","20.99583333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-07","","21.025"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-06","","21.025"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-05","","21.55"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-04","","21.05"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-03","","20.9625"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-02","","21.0375"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2013-01-01","","20.67083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-31","","20.49583333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-30","","19.7125"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-29","","20.975"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-28","","20.825"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-27","","20.94583333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-26","","20.04166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-25","","20.09583333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-24","","18.68333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-23","","19.93333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-22","","20.2"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-21","","20.1375"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-20","","20.30416667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-19","","19.54583333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-18","","17.74583333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-17","","18.4625"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-16","","19.02916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-15","","18.55416667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-14","","18.1"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-13","","19.2625"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-12","","19.62083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-11","","19.62916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-10","","21.34583333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-09","","20.85833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-08","","20.58333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-07","","20.38333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-06","","19.83333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-05","","19.1"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-04","","19.53333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-03","","18.1875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-02","","18.19166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-12-01","","17.85"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-30","","17.91666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-29","","18.75"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-28","","20.125"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-27","","20.5"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-26","","20.74166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-25","","20.66666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-24","","20.275"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-23","","19.27083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-22","","18.75416667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-21","","19.0"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-20","","20.74166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-19","","19.75833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-18","","16.95833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-17","","18.30833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-16","","19.06666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-15","","19.34"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-14","","15.9"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-13","","18.6"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-12","","18.91666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-11","","19.0"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-10","","20.20833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-09","","20.06666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-08","","20.04166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-07","","20.06666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-06","","19.39166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-05","","18.49583333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-04","","20.74166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-03","","20.4625"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-02","","19.6"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-11-01","","18.65652174"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-10-31","","18.73333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-10-30","","18.15"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-10-29","","19.67083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-10-28","","20.6375"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-10-27","","20.3625"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-10-26","","19.2"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-10-25","","18.80833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-10-24","","19.22916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-10-23","","19.4125"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-10-22","","18.69166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-10-21","","18.84166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-10-20","","19.22083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-10-19","","18.275"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-10-18","","17.0375"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-10-17","","18.0375"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-10-16","","17.22083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-10-15","","17.925"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-10-14","","17.875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-10-13","","17.89166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-10-12","","18.91666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-10-11","","18.77916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-10-10","","20.0625"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-10-09","","20.2125"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-10-08","","18.00416667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-10-07","","18.82916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-10-06","","18.25416667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-10-05","","18.74166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-10-04","","19.10416667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-10-03","","21.30833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-10-02","","19.23333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-10-01","","20.39166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-30","","21.52083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-29","","21.10833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-28","","19.79166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-27","","20.1125"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-26","","19.84583333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-25","","18.15833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-24","","17.12916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-23","","20.34583333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-22","","19.07083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-21","","19.89583333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-20","","19.90833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-19","","20.575"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-18","","19.1125"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-17","","19.04166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-16","","20.97083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-15","","20.78333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-14","","20.94166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-13","","20.47916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-12","","20.80416667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-11","","20.7375"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-10","","19.98333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-09","","21.12083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-08","","20.28333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-07","","19.925"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-06","","20.675"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-05","","18.27083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-04","","20.77916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-03","","20.32916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-02","","20.4625"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-09-01","","20.3125"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-31","","20.7"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-30","","21.125"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-29","","20.46956522"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-28","","21.44166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-27","","20.27916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-26","","20.7"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-25","","19.12083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-24","","18.32083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-23","","18.25833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-22","","18.60416667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-21","","19.71666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-20","","19.8"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-19","","20.52083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-18","","19.175"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-17","","18.55416667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-16","","20.65"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-15","","20.07916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-14","","17.85"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-13","","18.35416667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-12","","19.42916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-11","","20.64583333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-10","","21.25833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-09","","19.80833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-08","","18.72083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-07","","20.2625"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-06","","19.42916667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-05","","19.1375"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-04","","19.225"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-03","","19.26666667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-02","","20.125"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-08-01","","20.18333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-07-31","","19.10833333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-07-30","","18.7375"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-07-29","","21.23333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-07-28","","21.175"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-07-27","","21.275"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-07-26","","20.79166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-07-25","","20.42083333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-07-24","","20.5875"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-07-23","","20.93333333"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-07-22","","21.19166667"
"I.E. CONCEJO MUNICIPAL DE ITAGÜÍ","2012-07-21","","20.6"
