"Estacion","Fecha inicial","Fecha final","DViento"
"I.E. RAFAEL J. MEJÍA","2025-10-31","","147.69917391"
"I.E. RAFAEL J. MEJÍA","2025-10-30","","116.377875"
"I.E. RAFAEL J. MEJÍA","2025-10-29","","155.70145833"
"I.E. RAFAEL J. MEJÍA","2025-10-28","","148.12341667"
"I.E. RAFAEL J. MEJÍA","2025-10-27","","177.03358333"
"I.E. RAFAEL J. MEJÍA","2025-10-26","","155.98325"
"I.E. RAFAEL J. MEJÍA","2025-10-25","","165.96441667"
"I.E. RAFAEL J. MEJÍA","2025-10-24","","169.08370833"
"I.E. RAFAEL J. MEJÍA","2025-10-23","","137.93220833"
"I.E. RAFAEL J. MEJÍA","2025-10-22","","169.4385"
"I.E. RAFAEL J. MEJÍA","2025-10-21","","158.64233333"
"I.E. RAFAEL J. MEJÍA","2025-10-20","","170.51970833"
"I.E. RAFAEL J. MEJÍA","2025-10-19","","153.971"
"I.E. RAFAEL J. MEJÍA","2025-10-18","","152.91520833"
"I.E. RAFAEL J. MEJÍA","2025-10-17","","153.93125"
"I.E. RAFAEL J. MEJÍA","2025-10-16","","137.85720833"
"I.E. RAFAEL J. MEJÍA","2025-10-15","","147.45929167"
"I.E. RAFAEL J. MEJÍA","2025-10-14","","61.65958333"
"I.E. RAFAEL J. MEJÍA","2025-10-13","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-10-12","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-10-11","","132.33458333"
"I.E. RAFAEL J. MEJÍA","2025-10-10","","177.13704167"
"I.E. RAFAEL J. MEJÍA","2025-10-09","","151.202"
"I.E. RAFAEL J. MEJÍA","2025-10-08","","146.571875"
"I.E. RAFAEL J. MEJÍA","2025-10-07","","160.4085"
"I.E. RAFAEL J. MEJÍA","2025-10-06","","175.83220833"
"I.E. RAFAEL J. MEJÍA","2025-10-05","","155.229"
"I.E. RAFAEL J. MEJÍA","2025-10-04","","163.377125"
"I.E. RAFAEL J. MEJÍA","2025-10-03","","155.05875"
"I.E. RAFAEL J. MEJÍA","2025-10-02","","138.81208333"
"I.E. RAFAEL J. MEJÍA","2025-10-01","","137.24604167"
"I.E. RAFAEL J. MEJÍA","2025-09-30","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-09-29","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-09-28","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-09-27","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-09-26","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-09-25","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-09-24","","68.30945833"
"I.E. RAFAEL J. MEJÍA","2025-09-23","","123.043375"
"I.E. RAFAEL J. MEJÍA","2025-09-22","","129.86695833"
"I.E. RAFAEL J. MEJÍA","2025-09-21","","169.56775"
"I.E. RAFAEL J. MEJÍA","2025-09-20","","148.43708333"
"I.E. RAFAEL J. MEJÍA","2025-09-19","","137.131"
"I.E. RAFAEL J. MEJÍA","2025-09-18","","146.739375"
"I.E. RAFAEL J. MEJÍA","2025-09-17","","139.792125"
"I.E. RAFAEL J. MEJÍA","2025-09-16","","156.67804167"
"I.E. RAFAEL J. MEJÍA","2025-09-15","","164.44358333"
"I.E. RAFAEL J. MEJÍA","2025-09-14","","139.39520833"
"I.E. RAFAEL J. MEJÍA","2025-09-13","","141.25208333"
"I.E. RAFAEL J. MEJÍA","2025-09-12","","160.40170833"
"I.E. RAFAEL J. MEJÍA","2025-09-11","","149.612375"
"I.E. RAFAEL J. MEJÍA","2025-09-10","","164.37920833"
"I.E. RAFAEL J. MEJÍA","2025-09-09","","110.85116667"
"I.E. RAFAEL J. MEJÍA","2025-09-08","","118.29475"
"I.E. RAFAEL J. MEJÍA","2025-09-07","","170.40333333"
"I.E. RAFAEL J. MEJÍA","2025-09-06","","164.385875"
"I.E. RAFAEL J. MEJÍA","2025-09-05","","165.852625"
"I.E. RAFAEL J. MEJÍA","2025-09-04","","159.52033333"
"I.E. RAFAEL J. MEJÍA","2025-09-03","","161.16725"
"I.E. RAFAEL J. MEJÍA","2025-09-02","","163.424"
"I.E. RAFAEL J. MEJÍA","2025-09-01","","131.75775"
"I.E. RAFAEL J. MEJÍA","2025-08-31","","157.7493612"
"I.E. RAFAEL J. MEJÍA","2025-08-30","","208.03044725"
"I.E. RAFAEL J. MEJÍA","2025-08-29","","121.24363438"
"I.E. RAFAEL J. MEJÍA","2025-08-28","","135.28053872"
"I.E. RAFAEL J. MEJÍA","2025-08-27","","130.81669359"
"I.E. RAFAEL J. MEJÍA","2025-08-26","","127.97753949"
"I.E. RAFAEL J. MEJÍA","2025-08-25","","133.00785915"
"I.E. RAFAEL J. MEJÍA","2025-08-24","","186.94998281"
"I.E. RAFAEL J. MEJÍA","2025-08-23","","169.69622342"
"I.E. RAFAEL J. MEJÍA","2025-08-22","","152.27687938"
"I.E. RAFAEL J. MEJÍA","2025-08-21","","163.07197773"
"I.E. RAFAEL J. MEJÍA","2025-08-20","","159.20529361"
"I.E. RAFAEL J. MEJÍA","2025-08-19","","185.88707193"
"I.E. RAFAEL J. MEJÍA","2025-08-18","","154.12487301"
"I.E. RAFAEL J. MEJÍA","2025-08-17","","170.57395222"
"I.E. RAFAEL J. MEJÍA","2025-08-16","","158.06945034"
"I.E. RAFAEL J. MEJÍA","2025-08-15","","173.46324385"
"I.E. RAFAEL J. MEJÍA","2025-08-14","","203.18650175"
"I.E. RAFAEL J. MEJÍA","2025-08-13","","159.35510929"
"I.E. RAFAEL J. MEJÍA","2025-08-12","","116.53291065"
"I.E. RAFAEL J. MEJÍA","2025-08-11","","138.18856548"
"I.E. RAFAEL J. MEJÍA","2025-08-10","","149.61041279"
"I.E. RAFAEL J. MEJÍA","2025-08-09","","154.05001725"
"I.E. RAFAEL J. MEJÍA","2025-08-08","","148.31232085"
"I.E. RAFAEL J. MEJÍA","2025-08-07","","163.35589099"
"I.E. RAFAEL J. MEJÍA","2025-08-06","","140.10145412"
"I.E. RAFAEL J. MEJÍA","2025-08-05","","173.86612861"
"I.E. RAFAEL J. MEJÍA","2025-08-04","","161.22510851"
"I.E. RAFAEL J. MEJÍA","2025-08-03","","160.77165903"
"I.E. RAFAEL J. MEJÍA","2025-08-02","","149.63723039"
"I.E. RAFAEL J. MEJÍA","2025-08-01","","165.94930597"
"I.E. RAFAEL J. MEJÍA","2025-07-31","","120.39913294"
"I.E. RAFAEL J. MEJÍA","2025-07-30","","134.79981734"
"I.E. RAFAEL J. MEJÍA","2025-07-29","","142.33406957"
"I.E. RAFAEL J. MEJÍA","2025-07-28","","143.08569296"
"I.E. RAFAEL J. MEJÍA","2025-07-27","","132.49296914"
"I.E. RAFAEL J. MEJÍA","2025-07-26","","142.18749263"
"I.E. RAFAEL J. MEJÍA","2025-07-25","","144.70969138"
"I.E. RAFAEL J. MEJÍA","2025-07-24","","136.23294355"
"I.E. RAFAEL J. MEJÍA","2025-07-23","","129.28064937"
"I.E. RAFAEL J. MEJÍA","2025-07-22","","147.61181133"
"I.E. RAFAEL J. MEJÍA","2025-07-21","","137.76101373"
"I.E. RAFAEL J. MEJÍA","2025-07-20","","127.16613501"
"I.E. RAFAEL J. MEJÍA","2025-07-19","","121.35279019"
"I.E. RAFAEL J. MEJÍA","2025-07-18","","126.10291474"
"I.E. RAFAEL J. MEJÍA","2025-07-17","","110.27838014"
"I.E. RAFAEL J. MEJÍA","2025-07-16","","106.84661598"
"I.E. RAFAEL J. MEJÍA","2025-07-15","","136.0285985"
"I.E. RAFAEL J. MEJÍA","2025-07-14","","137.33586686"
"I.E. RAFAEL J. MEJÍA","2025-07-13","","122.82086469"
"I.E. RAFAEL J. MEJÍA","2025-07-12","","111.12024402"
"I.E. RAFAEL J. MEJÍA","2025-07-11","","128.75918387"
"I.E. RAFAEL J. MEJÍA","2025-07-10","","146.35951759"
"I.E. RAFAEL J. MEJÍA","2025-07-09","","122.51083288"
"I.E. RAFAEL J. MEJÍA","2025-07-08","","140.23604427"
"I.E. RAFAEL J. MEJÍA","2025-06-13","","208.46718473"
"I.E. RAFAEL J. MEJÍA","2025-06-12","","183.31485567"
"I.E. RAFAEL J. MEJÍA","2025-06-11","","187.49956279"
"I.E. RAFAEL J. MEJÍA","2025-06-10","","177.04628172"
"I.E. RAFAEL J. MEJÍA","2025-06-09","","140.06028101"
"I.E. RAFAEL J. MEJÍA","2025-06-08","","165.85707424"
"I.E. RAFAEL J. MEJÍA","2025-06-07","","148.65611214"
"I.E. RAFAEL J. MEJÍA","2025-06-06","","165.41836605"
"I.E. RAFAEL J. MEJÍA","2025-06-05","","178.89783653"
"I.E. RAFAEL J. MEJÍA","2025-06-04","","161.15886163"
"I.E. RAFAEL J. MEJÍA","2025-06-03","","173.93184308"
"I.E. RAFAEL J. MEJÍA","2025-06-02","","160.40927127"
"I.E. RAFAEL J. MEJÍA","2025-06-01","","122.11331952"
"I.E. RAFAEL J. MEJÍA","2025-05-31","","170.77833486"
"I.E. RAFAEL J. MEJÍA","2025-05-30","","158.80924483"
"I.E. RAFAEL J. MEJÍA","2025-05-29","","159.86147601"
"I.E. RAFAEL J. MEJÍA","2025-05-28","","179.44466761"
"I.E. RAFAEL J. MEJÍA","2025-05-27","","162.35457658"
"I.E. RAFAEL J. MEJÍA","2025-05-26","","137.81528332"
"I.E. RAFAEL J. MEJÍA","2025-05-25","","164.01568518"
"I.E. RAFAEL J. MEJÍA","2025-05-24","","133.41796205"
"I.E. RAFAEL J. MEJÍA","2025-05-23","","200.04690324"
"I.E. RAFAEL J. MEJÍA","2025-05-22","","148.73371384"
"I.E. RAFAEL J. MEJÍA","2025-05-21","","162.82778165"
"I.E. RAFAEL J. MEJÍA","2025-05-20","","156.52429828"
"I.E. RAFAEL J. MEJÍA","2025-05-19","","156.2109171"
"I.E. RAFAEL J. MEJÍA","2025-05-18","","204.78724891"
"I.E. RAFAEL J. MEJÍA","2025-05-17","","207.90284964"
"I.E. RAFAEL J. MEJÍA","2025-05-16","","170.83085453"
"I.E. RAFAEL J. MEJÍA","2025-05-15","","162.94929776"
"I.E. RAFAEL J. MEJÍA","2025-05-14","","177.25830546"
"I.E. RAFAEL J. MEJÍA","2025-05-13","","197.84869785"
"I.E. RAFAEL J. MEJÍA","2025-05-12","","133.43830616"
"I.E. RAFAEL J. MEJÍA","2025-05-11","","164.77490854"
"I.E. RAFAEL J. MEJÍA","2025-05-10","","140.46197167"
"I.E. RAFAEL J. MEJÍA","2025-05-09","","168.8445653"
"I.E. RAFAEL J. MEJÍA","2025-05-08","","175.33748772"
"I.E. RAFAEL J. MEJÍA","2025-05-07","","202.34032629"
"I.E. RAFAEL J. MEJÍA","2025-05-06","","173.40998864"
"I.E. RAFAEL J. MEJÍA","2025-05-05","","175.86747893"
"I.E. RAFAEL J. MEJÍA","2025-05-04","","168.2739651"
"I.E. RAFAEL J. MEJÍA","2025-05-03","","169.15024819"
"I.E. RAFAEL J. MEJÍA","2025-05-02","","159.611817"
"I.E. RAFAEL J. MEJÍA","2025-05-01","","146.69977706"
"I.E. RAFAEL J. MEJÍA","2025-04-30","","173.73976885"
"I.E. RAFAEL J. MEJÍA","2025-04-29","","177.64075514"
"I.E. RAFAEL J. MEJÍA","2025-04-28","","177.41916353"
"I.E. RAFAEL J. MEJÍA","2025-04-27","","154.9884039"
"I.E. RAFAEL J. MEJÍA","2025-04-26","","151.43756056"
"I.E. RAFAEL J. MEJÍA","2025-04-25","","162.28696487"
"I.E. RAFAEL J. MEJÍA","2025-04-24","","173.18109299"
"I.E. RAFAEL J. MEJÍA","2025-04-23","","182.69114783"
"I.E. RAFAEL J. MEJÍA","2025-04-22","","181.58349863"
"I.E. RAFAEL J. MEJÍA","2025-04-21","","164.6826981"
"I.E. RAFAEL J. MEJÍA","2025-04-20","","145.91421768"
"I.E. RAFAEL J. MEJÍA","2025-04-19","","182.31143566"
"I.E. RAFAEL J. MEJÍA","2025-04-18","","121.84261036"
"I.E. RAFAEL J. MEJÍA","2025-04-17","","126.2361627"
"I.E. RAFAEL J. MEJÍA","2025-04-16","","151.81655959"
"I.E. RAFAEL J. MEJÍA","2025-04-15","","160.88519931"
"I.E. RAFAEL J. MEJÍA","2025-04-14","","120.74666252"
"I.E. RAFAEL J. MEJÍA","2025-04-13","","157.84514369"
"I.E. RAFAEL J. MEJÍA","2025-04-12","","145.58887405"
"I.E. RAFAEL J. MEJÍA","2025-04-11","","187.8116872"
"I.E. RAFAEL J. MEJÍA","2025-04-10","","162.20601183"
"I.E. RAFAEL J. MEJÍA","2025-04-09","","166.28150836"
"I.E. RAFAEL J. MEJÍA","2025-04-08","","168.56064538"
"I.E. RAFAEL J. MEJÍA","2025-04-07","","168.67412959"
"I.E. RAFAEL J. MEJÍA","2025-04-06","","160.12834198"
"I.E. RAFAEL J. MEJÍA","2025-04-05","","191.89826054"
"I.E. RAFAEL J. MEJÍA","2025-04-04","","172.03067825"
"I.E. RAFAEL J. MEJÍA","2025-04-03","","165.33494742"
"I.E. RAFAEL J. MEJÍA","2025-04-02","","175.6661171"
"I.E. RAFAEL J. MEJÍA","2025-04-01","","162.58643351"
"I.E. RAFAEL J. MEJÍA","2025-03-31","","192.28312243"
"I.E. RAFAEL J. MEJÍA","2025-03-30","","192.83824529"
"I.E. RAFAEL J. MEJÍA","2025-03-29","","193.64501827"
"I.E. RAFAEL J. MEJÍA","2025-03-28","","188.61390233"
"I.E. RAFAEL J. MEJÍA","2025-03-27","","178.79959609"
"I.E. RAFAEL J. MEJÍA","2025-03-26","","193.57725969"
"I.E. RAFAEL J. MEJÍA","2025-03-25","","141.86975631"
"I.E. RAFAEL J. MEJÍA","2025-03-24","","184.1908828"
"I.E. RAFAEL J. MEJÍA","2025-03-23","","142.82089646"
"I.E. RAFAEL J. MEJÍA","2025-03-22","","125.7756323"
"I.E. RAFAEL J. MEJÍA","2025-03-21","","153.9700113"
