"Estacion","Fecha inicial","Fecha final","HAire10"
"I.E. RAFAEL J. MEJÍA","2025-10-31","","76.04552174"
"I.E. RAFAEL J. MEJÍA","2025-10-30","","75.86541667"
"I.E. RAFAEL J. MEJÍA","2025-10-29","","76.6035"
"I.E. RAFAEL J. MEJÍA","2025-10-28","","78.478125"
"I.E. RAFAEL J. MEJÍA","2025-10-27","","80.86841667"
"I.E. RAFAEL J. MEJÍA","2025-10-26","","82.05745833"
"I.E. RAFAEL J. MEJÍA","2025-10-25","","76.63758333"
"I.E. RAFAEL J. MEJÍA","2025-10-24","","81.166875"
"I.E. RAFAEL J. MEJÍA","2025-10-23","","78.70566667"
"I.E. RAFAEL J. MEJÍA","2025-10-22","","85.8075"
"I.E. RAFAEL J. MEJÍA","2025-10-21","","82.38366667"
"I.E. RAFAEL J. MEJÍA","2025-10-20","","81.20275"
"I.E. RAFAEL J. MEJÍA","2025-10-19","","72.79129167"
"I.E. RAFAEL J. MEJÍA","2025-10-18","","75.21645833"
"I.E. RAFAEL J. MEJÍA","2025-10-17","","78.112625"
"I.E. RAFAEL J. MEJÍA","2025-10-16","","78.63645833"
"I.E. RAFAEL J. MEJÍA","2025-10-15","","79.68525"
"I.E. RAFAEL J. MEJÍA","2025-10-14","","27.59720833"
"I.E. RAFAEL J. MEJÍA","2025-10-13","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-10-12","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-10-11","","76.39529167"
"I.E. RAFAEL J. MEJÍA","2025-10-10","","82.113875"
"I.E. RAFAEL J. MEJÍA","2025-10-09","","77.357875"
"I.E. RAFAEL J. MEJÍA","2025-10-08","","81.07158333"
"I.E. RAFAEL J. MEJÍA","2025-10-07","","78.46029167"
"I.E. RAFAEL J. MEJÍA","2025-10-06","","78.67808333"
"I.E. RAFAEL J. MEJÍA","2025-10-05","","76.89233333"
"I.E. RAFAEL J. MEJÍA","2025-10-04","","80.773"
"I.E. RAFAEL J. MEJÍA","2025-10-03","","75.59195833"
"I.E. RAFAEL J. MEJÍA","2025-10-02","","77.4585"
"I.E. RAFAEL J. MEJÍA","2025-10-01","","80.143"
"I.E. RAFAEL J. MEJÍA","2025-09-30","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-09-29","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-09-28","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-09-27","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-09-26","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-09-25","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-09-24","","33.75845833"
"I.E. RAFAEL J. MEJÍA","2025-09-23","","67.66879167"
"I.E. RAFAEL J. MEJÍA","2025-09-22","","71.524625"
"I.E. RAFAEL J. MEJÍA","2025-09-21","","74.78725"
"I.E. RAFAEL J. MEJÍA","2025-09-20","","76.969125"
"I.E. RAFAEL J. MEJÍA","2025-09-19","","79.81233333"
"I.E. RAFAEL J. MEJÍA","2025-09-18","","82.84529167"
"I.E. RAFAEL J. MEJÍA","2025-09-17","","75.73183333"
"I.E. RAFAEL J. MEJÍA","2025-09-16","","71.501375"
"I.E. RAFAEL J. MEJÍA","2025-09-15","","72.068125"
"I.E. RAFAEL J. MEJÍA","2025-09-14","","71.49075"
"I.E. RAFAEL J. MEJÍA","2025-09-13","","70.004"
"I.E. RAFAEL J. MEJÍA","2025-09-12","","70.04595833"
"I.E. RAFAEL J. MEJÍA","2025-09-11","","72.24625"
"I.E. RAFAEL J. MEJÍA","2025-09-10","","71.03120833"
"I.E. RAFAEL J. MEJÍA","2025-09-09","","70.94129167"
"I.E. RAFAEL J. MEJÍA","2025-09-08","","73.841"
"I.E. RAFAEL J. MEJÍA","2025-09-07","","83.63054167"
"I.E. RAFAEL J. MEJÍA","2025-09-06","","81.15904167"
"I.E. RAFAEL J. MEJÍA","2025-09-05","","76.94875"
"I.E. RAFAEL J. MEJÍA","2025-09-04","","78.089625"
"I.E. RAFAEL J. MEJÍA","2025-09-03","","72.91525"
"I.E. RAFAEL J. MEJÍA","2025-09-02","","75.016875"
"I.E. RAFAEL J. MEJÍA","2025-09-01","","75.12625"
