"Estacion","Fecha inicial","Fecha final","PLiquida"
"I.E. RAFAEL J. MEJÍA","2025-10-31","","0.11434783"
"I.E. RAFAEL J. MEJÍA","2025-10-30","","0.035"
"I.E. RAFAEL J. MEJÍA","2025-10-29","","4.1667E-4"
"I.E. RAFAEL J. MEJÍA","2025-10-28","","0.00625"
"I.E. RAFAEL J. MEJÍA","2025-10-27","","0.37125"
"I.E. RAFAEL J. MEJÍA","2025-10-26","","0.21333333"
"I.E. RAFAEL J. MEJÍA","2025-10-25","","0.04041667"
"I.E. RAFAEL J. MEJÍA","2025-10-24","","0.08791667"
"I.E. RAFAEL J. MEJÍA","2025-10-23","","0.00125"
"I.E. RAFAEL J. MEJÍA","2025-10-22","","0.42541667"
"I.E. RAFAEL J. MEJÍA","2025-10-21","","0.08208333"
"I.E. RAFAEL J. MEJÍA","2025-10-20","","0.64666667"
"I.E. RAFAEL J. MEJÍA","2025-10-19","","4.1667E-4"
"I.E. RAFAEL J. MEJÍA","2025-10-18","","0.00958333"
"I.E. RAFAEL J. MEJÍA","2025-10-17","","0.00208333"
"I.E. RAFAEL J. MEJÍA","2025-10-16","","0.1025"
"I.E. RAFAEL J. MEJÍA","2025-10-15","","0.17833333"
"I.E. RAFAEL J. MEJÍA","2025-10-14","","0.045"
"I.E. RAFAEL J. MEJÍA","2025-10-13","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-10-12","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-10-11","","0.175"
"I.E. RAFAEL J. MEJÍA","2025-10-10","","0.25291667"
"I.E. RAFAEL J. MEJÍA","2025-10-09","","0.14208333"
"I.E. RAFAEL J. MEJÍA","2025-10-08","","0.03291667"
"I.E. RAFAEL J. MEJÍA","2025-10-07","","0.06375"
"I.E. RAFAEL J. MEJÍA","2025-10-06","","0.11125"
"I.E. RAFAEL J. MEJÍA","2025-10-05","","0.09041667"
"I.E. RAFAEL J. MEJÍA","2025-10-04","","0.07583333"
"I.E. RAFAEL J. MEJÍA","2025-10-03","","0.02916667"
"I.E. RAFAEL J. MEJÍA","2025-10-02","","0.01166667"
"I.E. RAFAEL J. MEJÍA","2025-10-01","","0.45083333"
"I.E. RAFAEL J. MEJÍA","2025-09-30","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-09-29","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-09-28","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-09-27","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-09-26","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-09-25","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-09-24","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-09-23","","0.01333333"
"I.E. RAFAEL J. MEJÍA","2025-09-22","","8.3333E-4"
"I.E. RAFAEL J. MEJÍA","2025-09-21","","0.01291667"
"I.E. RAFAEL J. MEJÍA","2025-09-20","","0.0325"
"I.E. RAFAEL J. MEJÍA","2025-09-19","","0.10625"
"I.E. RAFAEL J. MEJÍA","2025-09-18","","0.10833333"
"I.E. RAFAEL J. MEJÍA","2025-09-17","","0.12125"
"I.E. RAFAEL J. MEJÍA","2025-09-16","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-09-15","","0.01708333"
"I.E. RAFAEL J. MEJÍA","2025-09-14","","0.00583333"
"I.E. RAFAEL J. MEJÍA","2025-09-13","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-09-12","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-09-11","","8.3333E-4"
"I.E. RAFAEL J. MEJÍA","2025-09-10","","0.00166667"
"I.E. RAFAEL J. MEJÍA","2025-09-09","","0.08958333"
"I.E. RAFAEL J. MEJÍA","2025-09-08","","0.02083333"
"I.E. RAFAEL J. MEJÍA","2025-09-07","","0.2825"
"I.E. RAFAEL J. MEJÍA","2025-09-06","","0.66041667"
"I.E. RAFAEL J. MEJÍA","2025-09-05","","0.02208333"
"I.E. RAFAEL J. MEJÍA","2025-09-04","","0.11375"
"I.E. RAFAEL J. MEJÍA","2025-09-03","","0.18916667"
"I.E. RAFAEL J. MEJÍA","2025-09-02","","0.08708333"
"I.E. RAFAEL J. MEJÍA","2025-09-01","","0.22541667"
"I.E. RAFAEL J. MEJÍA","2025-08-31","","0.13913043"
"I.E. RAFAEL J. MEJÍA","2025-08-30","","0.03083333"
"I.E. RAFAEL J. MEJÍA","2025-08-29","","4.1667E-4"
"I.E. RAFAEL J. MEJÍA","2025-08-28","","0.00166667"
"I.E. RAFAEL J. MEJÍA","2025-08-27","","8.3333E-4"
"I.E. RAFAEL J. MEJÍA","2025-08-26","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-08-25","","0.03583333"
"I.E. RAFAEL J. MEJÍA","2025-08-24","","0.0625"
"I.E. RAFAEL J. MEJÍA","2025-08-23","","0.03625"
"I.E. RAFAEL J. MEJÍA","2025-08-22","","0.625"
"I.E. RAFAEL J. MEJÍA","2025-08-21","","0.285"
"I.E. RAFAEL J. MEJÍA","2025-08-20","","0.15125"
"I.E. RAFAEL J. MEJÍA","2025-08-19","","0.005"
"I.E. RAFAEL J. MEJÍA","2025-08-18","","0.30625"
"I.E. RAFAEL J. MEJÍA","2025-08-17","","0.23333333"
"I.E. RAFAEL J. MEJÍA","2025-08-16","","0.13666667"
"I.E. RAFAEL J. MEJÍA","2025-08-15","","0.29166667"
"I.E. RAFAEL J. MEJÍA","2025-08-14","","0.13208333"
"I.E. RAFAEL J. MEJÍA","2025-08-13","","0.01458333"
"I.E. RAFAEL J. MEJÍA","2025-08-12","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-08-11","","0.14666667"
"I.E. RAFAEL J. MEJÍA","2025-08-10","","0.12416667"
"I.E. RAFAEL J. MEJÍA","2025-08-09","","0.085"
"I.E. RAFAEL J. MEJÍA","2025-08-08","","0.08041667"
"I.E. RAFAEL J. MEJÍA","2025-08-07","","0.10833333"
"I.E. RAFAEL J. MEJÍA","2025-08-06","","0.0025"
"I.E. RAFAEL J. MEJÍA","2025-08-05","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-08-04","","0.00125"
"I.E. RAFAEL J. MEJÍA","2025-08-03","","0.08458333"
"I.E. RAFAEL J. MEJÍA","2025-08-02","","0.07958333"
"I.E. RAFAEL J. MEJÍA","2025-08-01","","0.00625"
"I.E. RAFAEL J. MEJÍA","2025-07-31","","4.3478E-4"
"I.E. RAFAEL J. MEJÍA","2025-07-30","","0.07041667"
"I.E. RAFAEL J. MEJÍA","2025-07-29","","0.06083333"
"I.E. RAFAEL J. MEJÍA","2025-07-28","","0.10833333"
"I.E. RAFAEL J. MEJÍA","2025-07-27","","0.00875"
"I.E. RAFAEL J. MEJÍA","2025-07-26","","0.21083333"
"I.E. RAFAEL J. MEJÍA","2025-07-25","","0.08375"
"I.E. RAFAEL J. MEJÍA","2025-07-24","","0.00208333"
"I.E. RAFAEL J. MEJÍA","2025-07-23","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-07-22","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-07-21","","0.01083333"
"I.E. RAFAEL J. MEJÍA","2025-07-20","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-07-19","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-07-18","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-07-17","","0.00125"
"I.E. RAFAEL J. MEJÍA","2025-07-16","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-07-15","","0.00208333"
"I.E. RAFAEL J. MEJÍA","2025-07-14","","0.01708333"
"I.E. RAFAEL J. MEJÍA","2025-07-13","","0.04208333"
"I.E. RAFAEL J. MEJÍA","2025-07-12","","0.00583333"
"I.E. RAFAEL J. MEJÍA","2025-07-11","","0.07875"
"I.E. RAFAEL J. MEJÍA","2025-07-10","","4.1667E-4"
"I.E. RAFAEL J. MEJÍA","2025-07-09","","0.06333333"
"I.E. RAFAEL J. MEJÍA","2025-07-08","","0.01"
"I.E. RAFAEL J. MEJÍA","2025-06-13","","0.87466667"
"I.E. RAFAEL J. MEJÍA","2025-06-12","","0.35"
"I.E. RAFAEL J. MEJÍA","2025-06-11","","0.08208333"
"I.E. RAFAEL J. MEJÍA","2025-06-10","","0.40541667"
"I.E. RAFAEL J. MEJÍA","2025-06-09","","0.03958333"
"I.E. RAFAEL J. MEJÍA","2025-06-08","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-06-07","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-06-06","","0.2075"
"I.E. RAFAEL J. MEJÍA","2025-06-05","","0.18083333"
"I.E. RAFAEL J. MEJÍA","2025-06-04","","0.01041667"
"I.E. RAFAEL J. MEJÍA","2025-06-03","","0.0025"
"I.E. RAFAEL J. MEJÍA","2025-06-02","","0.00916667"
"I.E. RAFAEL J. MEJÍA","2025-06-01","","0.05125"
"I.E. RAFAEL J. MEJÍA","2025-05-31","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-05-30","","0.05045455"
"I.E. RAFAEL J. MEJÍA","2025-05-29","","4.1667E-4"
"I.E. RAFAEL J. MEJÍA","2025-05-28","","0.02208333"
"I.E. RAFAEL J. MEJÍA","2025-05-27","","0.28166667"
"I.E. RAFAEL J. MEJÍA","2025-05-26","","0.00291667"
"I.E. RAFAEL J. MEJÍA","2025-05-25","","0.0"
"I.E. RAFAEL J. MEJÍA","2025-05-24","","0.0025"
"I.E. RAFAEL J. MEJÍA","2025-05-23","","0.025"
"I.E. RAFAEL J. MEJÍA","2025-05-22","","0.04458333"
"I.E. RAFAEL J. MEJÍA","2025-05-21","","0.24"
"I.E. RAFAEL J. MEJÍA","2025-05-20","","0.16666667"
"I.E. RAFAEL J. MEJÍA","2025-05-19","","0.36833333"
"I.E. RAFAEL J. MEJÍA","2025-05-18","","0.25666667"
"I.E. RAFAEL J. MEJÍA","2025-05-17","","1.24"
"I.E. RAFAEL J. MEJÍA","2025-05-16","","0.15875"
"I.E. RAFAEL J. MEJÍA","2025-05-15","","0.39208333"
"I.E. RAFAEL J. MEJÍA","2025-05-14","","0.01375"
