"Estacion","Fecha inicial","Fecha final","PM2.5"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-10-31","","9.25147391"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-10-30","","12.97923375"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-10-29","","13.05144792"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-10-28","","14.05894333"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-10-27","","11.78247125"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-10-26","","10.49114208"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-10-25","","15.45443417"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-10-24","","27.551635"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-10-23","","23.93076667"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-10-22","","25.3499"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-10-21","","12.58195375"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-10-20","","10.7179075"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-10-19","","12.21591042"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-10-18","","13.75491292"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-10-17","","14.8474775"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-10-16","","15.53635875"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-10-15","","15.47268917"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-10-14","","13.670005"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-10-13","","10.69050833"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-10-12","","10.85081667"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-10-11","","18.12177"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-10-10","","8.81723917"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-10-09","","21.26674458"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-10-08","","18.48573792"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-10-07","","11.94280667"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-10-06","","8.72985583"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-10-05","","9.19903792"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-10-04","","16.17031958"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-10-03","","12.72895542"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-10-02","","14.80764875"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-10-01","","17.45"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-09-30","","14.48738957"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-09-29","","12.61470417"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-09-28","","13.3700725"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-09-27","","23.88208083"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-09-26","","21.03198333"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-09-25","","16.2376975"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-09-24","","16.91874708"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-09-23","","11.98392458"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-09-22","","9.99614708"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-09-21","","11.11271333"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-09-20","","15.45322708"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-09-19","","20.28478083"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-09-18","","18.01511042"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-09-17","","14.60456667"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-09-16","","15.12306375"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-09-15","","11.520065"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-09-14","","12.87710208"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-09-13","","14.08435583"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-09-12","","19.08199125"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-09-11","","15.52695917"
"INSTITUCIÓN EDUCATIVA CIRO MENDIA","2025-09-10","","12.71747167"
