"Estacion","Fecha inicial","Fecha final","PM2.5"
"INSTITUCIÓN EDUCATIVA JORGE ELIECER GAITÁN","2025-10-29","","10.3851"
"INSTITUCIÓN EDUCATIVA JORGE ELIECER GAITÁN","2025-10-26","","9.3058"
"INSTITUCIÓN EDUCATIVA JORGE ELIECER GAITÁN","2025-10-23","","19.3644"
"INSTITUCIÓN EDUCATIVA JORGE ELIECER GAITÁN","2025-10-20","","11.8273"
"INSTITUCIÓN EDUCATIVA JORGE ELIECER GAITÁN","2025-10-17","","12.5914"
"INSTITUCIÓN EDUCATIVA JORGE ELIECER GAITÁN","2025-10-15","","14.6432"
"INSTITUCIÓN EDUCATIVA JORGE ELIECER GAITÁN","2025-10-08","","15.6785"
"INSTITUCIÓN EDUCATIVA JORGE ELIECER GAITÁN","2025-10-05","","8.92044"
"INSTITUCIÓN EDUCATIVA JORGE ELIECER GAITÁN","2025-10-02","","12.2831"
"INSTITUCIÓN EDUCATIVA JORGE ELIECER GAITÁN","2025-09-29","","9.63509074"
"INSTITUCIÓN EDUCATIVA JORGE ELIECER GAITÁN","2025-09-26","","19.34619737"
"INSTITUCIÓN EDUCATIVA JORGE ELIECER GAITÁN","2025-09-23","","11.2393496"
"INSTITUCIÓN EDUCATIVA JORGE ELIECER GAITÁN","2025-09-20","","8.02292535"
"INSTITUCIÓN EDUCATIVA JORGE ELIECER GAITÁN","2025-09-17","","13.16230118"
"INSTITUCIÓN EDUCATIVA JORGE ELIECER GAITÁN","2025-09-14","","11.59086286"
"INSTITUCIÓN EDUCATIVA JORGE ELIECER GAITÁN","2025-09-11","","12.70537336"
"INSTITUCIÓN EDUCATIVA JORGE ELIECER GAITÁN","2025-09-08","","8.64423273"
"INSTITUCIÓN EDUCATIVA JORGE ELIECER GAITÁN","2025-09-05","","9.31846808"
"INSTITUCIÓN EDUCATIVA JORGE ELIECER GAITÁN","2025-09-02","","10.09122297"
"INSTITUCIÓN EDUCATIVA JORGE ELIECER GAITÁN","2025-08-30","","14.77800247"
"INSTITUCIÓN EDUCATIVA JORGE ELIECER GAITÁN","2025-08-27","","12.28803154"
"INSTITUCIÓN EDUCATIVA JORGE ELIECER GAITÁN","2025-08-24","","9.52587416"
"INSTITUCIÓN EDUCATIVA JORGE ELIECER GAITÁN","2025-08-21","","11.12228133"
"INSTITUCIÓN EDUCATIVA JORGE ELIECER GAITÁN","2025-08-18","","7.35945445"
