"Estacion","Fecha inicial","Fecha final","NO"
"ITM ROBLEDO - MEDELLÍN","2023-04-12","","66.40511105"
"ITM ROBLEDO - MEDELLÍN","2023-04-11","","38.53062405"
"ITM ROBLEDO - MEDELLÍN","2023-04-10","","39.65152648"
"ITM ROBLEDO - MEDELLÍN","2023-04-09","","31.12713263"
"ITM ROBLEDO - MEDELLÍN","2023-04-08","","36.27723934"
"ITM ROBLEDO - MEDELLÍN","2023-04-07","","35.16371104"
"ITM ROBLEDO - MEDELLÍN","2023-04-06","","32.89194467"
"ITM ROBLEDO - MEDELLÍN","2023-04-05","","56.0217518"
"ITM ROBLEDO - MEDELLÍN","2023-04-04","","62.05980407"
"ITM ROBLEDO - MEDELLÍN","2023-04-03","","35.97132822"
"ITM ROBLEDO - MEDELLÍN","2023-04-02","","42.93397692"
"ITM ROBLEDO - MEDELLÍN","2023-04-01","","20.07587273"
"ITM ROBLEDO - MEDELLÍN","2023-03-31","","25.1926298"
"ITM ROBLEDO - MEDELLÍN","2023-03-30","","43.18856557"
"ITM ROBLEDO - MEDELLÍN","2023-03-29","","42.76997295"
"ITM ROBLEDO - MEDELLÍN","2023-03-28","","40.14438534"
"ITM ROBLEDO - MEDELLÍN","2023-03-27","","36.81875852"
"ITM ROBLEDO - MEDELLÍN","2023-03-26","","7.13896841"
"ITM ROBLEDO - MEDELLÍN","2023-03-25","","14.36573641"
"ITM ROBLEDO - MEDELLÍN","2023-03-24","","9.85114825"
"ITM ROBLEDO - MEDELLÍN","2023-03-23","","9.54141466"
"ITM ROBLEDO - MEDELLÍN","2023-03-22","","36.5617895"
"ITM ROBLEDO - MEDELLÍN","2023-03-21","","23.66071331"
"ITM ROBLEDO - MEDELLÍN","2023-03-20","","22.6665303"
"ITM ROBLEDO - MEDELLÍN","2023-03-19","","32.70785222"
"ITM ROBLEDO - MEDELLÍN","2023-03-18","","24.23120365"
"ITM ROBLEDO - MEDELLÍN","2023-03-17","","21.41323095"
"ITM ROBLEDO - MEDELLÍN","2023-03-16","","41.96205937"
"ITM ROBLEDO - MEDELLÍN","2023-03-15","","73.26182298"
"ITM ROBLEDO - MEDELLÍN","2023-03-14","","32.7494805"
"ITM ROBLEDO - MEDELLÍN","2023-03-13","","20.37149687"
