"Estacion","Fecha inicial","Fecha final","PM10"
"ITM ROBLEDO - MEDELLÍN","2023-04-13","","47.0"
"ITM ROBLEDO - MEDELLÍN","2023-04-12","","27.88888889"
"ITM ROBLEDO - MEDELLÍN","2023-04-11","","24.70833333"
"ITM ROBLEDO - MEDELLÍN","2023-04-10","","26.08333333"
"ITM ROBLEDO - MEDELLÍN","2023-04-09","","18.29166667"
"ITM ROBLEDO - MEDELLÍN","2023-04-08","","18.33333333"
"ITM ROBLEDO - MEDELLÍN","2023-04-07","","16.75"
"ITM ROBLEDO - MEDELLÍN","2023-04-06","","28.29166667"
"ITM ROBLEDO - MEDELLÍN","2023-04-05","","41.66666667"
"ITM ROBLEDO - MEDELLÍN","2023-04-04","","40.25"
"ITM ROBLEDO - MEDELLÍN","2023-04-03","","29.91666667"
"ITM ROBLEDO - MEDELLÍN","2023-04-02","","33.36363636"
"ITM ROBLEDO - MEDELLÍN","2023-04-01","","36.58333333"
"ITM ROBLEDO - MEDELLÍN","2023-03-31","","36.04166667"
"ITM ROBLEDO - MEDELLÍN","2023-03-30","","42.79166667"
"ITM ROBLEDO - MEDELLÍN","2023-03-29","","37.7826087"
"ITM ROBLEDO - MEDELLÍN","2023-03-28","","40.27272727"
"ITM ROBLEDO - MEDELLÍN","2023-03-27","","48.52173913"
"ITM ROBLEDO - MEDELLÍN","2023-03-26","","43.20833333"
"ITM ROBLEDO - MEDELLÍN","2023-03-25","","46.70833333"
"ITM ROBLEDO - MEDELLÍN","2023-03-24","","57.54166667"
"ITM ROBLEDO - MEDELLÍN","2023-03-23","","63.16666667"
"ITM ROBLEDO - MEDELLÍN","2023-03-22","","58.625"
"ITM ROBLEDO - MEDELLÍN","2023-03-21","","54.08333333"
"ITM ROBLEDO - MEDELLÍN","2023-03-20","","44.66666667"
"ITM ROBLEDO - MEDELLÍN","2023-03-19","","35.25"
"ITM ROBLEDO - MEDELLÍN","2023-03-18","","33.04166667"
"ITM ROBLEDO - MEDELLÍN","2023-03-17","","31.41666667"
