"Estacion","Fecha inicial","Fecha final","PM2.5"
"LA ESTRELLA - HOSPITAL","2025-10-31","","13.39130435"
"LA ESTRELLA - HOSPITAL","2025-10-30","","12.04166667"
"LA ESTRELLA - HOSPITAL","2025-10-29","","14.79166667"
"LA ESTRELLA - HOSPITAL","2025-10-28","","8.54166667"
"LA ESTRELLA - HOSPITAL","2025-10-27","","3.39583333"
"LA ESTRELLA - HOSPITAL","2025-10-26","","6.77083333"
"LA ESTRELLA - HOSPITAL","2025-10-25","","6.5"
"LA ESTRELLA - HOSPITAL","2025-10-24","","8.29166667"
"LA ESTRELLA - HOSPITAL","2025-10-23","","13.0"
"LA ESTRELLA - HOSPITAL","2025-10-22","","9.20833333"
"LA ESTRELLA - HOSPITAL","2025-10-21","","11.0"
"LA ESTRELLA - HOSPITAL","2025-10-20","","11.66666667"
"LA ESTRELLA - HOSPITAL","2025-10-19","","10.25"
"LA ESTRELLA - HOSPITAL","2025-10-18","","13.83333333"
"LA ESTRELLA - HOSPITAL","2025-10-17","","15.91666667"
"LA ESTRELLA - HOSPITAL","2025-10-16","","12.25"
"LA ESTRELLA - HOSPITAL","2025-10-15","","13.0"
"LA ESTRELLA - HOSPITAL","2025-10-14","","8.875"
"LA ESTRELLA - HOSPITAL","2025-10-13","","9.58333333"
"LA ESTRELLA - HOSPITAL","2025-10-12","","9.70833333"
"LA ESTRELLA - HOSPITAL","2025-10-11","","9.27083333"
"LA ESTRELLA - HOSPITAL","2025-10-10","","5.58333333"
"LA ESTRELLA - HOSPITAL","2025-10-09","","15.54166667"
"LA ESTRELLA - HOSPITAL","2025-10-08","","11.625"
"LA ESTRELLA - HOSPITAL","2025-10-07","","10.72916667"
"LA ESTRELLA - HOSPITAL","2025-10-06","","12.375"
"LA ESTRELLA - HOSPITAL","2025-10-05","","8.35416667"
"LA ESTRELLA - HOSPITAL","2025-10-04","","11.20833333"
"LA ESTRELLA - HOSPITAL","2025-10-03","","9.70833333"
"LA ESTRELLA - HOSPITAL","2025-10-02","","17.75"
"LA ESTRELLA - HOSPITAL","2025-10-01","","12.85416667"
"LA ESTRELLA - HOSPITAL","2025-09-30","","9.82608696"
"LA ESTRELLA - HOSPITAL","2025-09-29","","10.3125"
"LA ESTRELLA - HOSPITAL","2025-09-28","","10.375"
"LA ESTRELLA - HOSPITAL","2025-09-27","","17.08333333"
"LA ESTRELLA - HOSPITAL","2025-09-26","","13.875"
"LA ESTRELLA - HOSPITAL","2025-09-25","","10.66666667"
"LA ESTRELLA - HOSPITAL","2025-09-24","","11.29166667"
"LA ESTRELLA - HOSPITAL","2025-09-23","","12.08333333"
"LA ESTRELLA - HOSPITAL","2025-09-22","","12.0"
"LA ESTRELLA - HOSPITAL","2025-09-21","","11.16666667"
"LA ESTRELLA - HOSPITAL","2025-09-20","","10.60416667"
"LA ESTRELLA - HOSPITAL","2025-09-19","","12.95833333"
"LA ESTRELLA - HOSPITAL","2025-09-18","","14.33333333"
"LA ESTRELLA - HOSPITAL","2025-09-17","","15.08333333"
"LA ESTRELLA - HOSPITAL","2025-09-16","","14.1875"
"LA ESTRELLA - HOSPITAL","2025-09-15","","8.45833333"
"LA ESTRELLA - HOSPITAL","2025-09-14","","9.5625"
"LA ESTRELLA - HOSPITAL","2025-09-13","","13.4375"
"LA ESTRELLA - HOSPITAL","2025-09-12","","16.875"
"LA ESTRELLA - HOSPITAL","2025-09-11","","13.91666667"
"LA ESTRELLA - HOSPITAL","2025-09-10","","12.16666667"
"LA ESTRELLA - HOSPITAL","2025-09-09","","11.95833333"
"LA ESTRELLA - HOSPITAL","2025-09-08","","11.125"
"LA ESTRELLA - HOSPITAL","2025-09-07","","6.45833333"
"LA ESTRELLA - HOSPITAL","2025-09-06","","13.70833333"
"LA ESTRELLA - HOSPITAL","2025-09-05","","8.29166667"
"LA ESTRELLA - HOSPITAL","2025-09-04","","3.875"
"LA ESTRELLA - HOSPITAL","2025-09-03","","2.5"
"LA ESTRELLA - HOSPITAL","2025-09-02","","8.41666667"
"LA ESTRELLA - HOSPITAL","2025-09-01","","8.5"
"LA ESTRELLA - HOSPITAL","2025-08-31","","13.7826087"
"LA ESTRELLA - HOSPITAL","2025-08-30","","13.54166667"
"LA ESTRELLA - HOSPITAL","2025-08-29","","9.86956522"
"LA ESTRELLA - HOSPITAL","2025-08-28","","9.52380952"
"LA ESTRELLA - HOSPITAL","2025-08-27","","8.04166667"
"LA ESTRELLA - HOSPITAL","2025-08-26","","9.20833333"
"LA ESTRELLA - HOSPITAL","2025-08-25","","10.29166667"
"LA ESTRELLA - HOSPITAL","2025-08-24","","7.68181818"
"LA ESTRELLA - HOSPITAL","2025-08-23","","10.58333333"
"LA ESTRELLA - HOSPITAL","2025-08-22","","15.125"
"LA ESTRELLA - HOSPITAL","2025-08-21","","10.75"
"LA ESTRELLA - HOSPITAL","2025-08-20","","10.20833333"
"LA ESTRELLA - HOSPITAL","2025-08-19","","9.95"
"LA ESTRELLA - HOSPITAL","2025-08-18","","8.3"
"LA ESTRELLA - HOSPITAL","2025-08-17","","13.25"
"LA ESTRELLA - HOSPITAL","2025-08-16","","9.04347826"
"LA ESTRELLA - HOSPITAL","2025-08-15","","14.91666667"
"LA ESTRELLA - HOSPITAL","2025-08-14","","15.33333333"
"LA ESTRELLA - HOSPITAL","2025-08-13","","12.95833333"
"LA ESTRELLA - HOSPITAL","2025-08-12","","9.58333333"
"LA ESTRELLA - HOSPITAL","2025-08-11","","14.70833333"
"LA ESTRELLA - HOSPITAL","2025-08-10","","10.83333333"
"LA ESTRELLA - HOSPITAL","2025-08-09","","7.08695652"
"LA ESTRELLA - HOSPITAL","2025-08-08","","11.08695652"
"LA ESTRELLA - HOSPITAL","2025-08-07","","8.875"
"LA ESTRELLA - HOSPITAL","2025-08-06","","10.13043478"
"LA ESTRELLA - HOSPITAL","2025-08-05","","8.25"
"LA ESTRELLA - HOSPITAL","2025-08-04","","9.6875"
"LA ESTRELLA - HOSPITAL","2025-08-03","","7.88636364"
"LA ESTRELLA - HOSPITAL","2025-08-02","","10.9375"
"LA ESTRELLA - HOSPITAL","2025-08-01","","10.79166667"
"LA ESTRELLA - HOSPITAL","2025-07-31","","8.89130435"
"LA ESTRELLA - HOSPITAL","2025-07-30","","11.0"
"LA ESTRELLA - HOSPITAL","2025-07-29","","9.84782609"
"LA ESTRELLA - HOSPITAL","2025-07-28","","10.19565217"
"LA ESTRELLA - HOSPITAL","2025-07-27","","10.34090909"
"LA ESTRELLA - HOSPITAL","2025-07-26","","15.83333333"
"LA ESTRELLA - HOSPITAL","2025-07-25","","11.70833333"
"LA ESTRELLA - HOSPITAL","2025-07-24","","11.08333333"
"LA ESTRELLA - HOSPITAL","2025-07-23","","15.625"
"LA ESTRELLA - HOSPITAL","2025-07-22","","11.54166667"
"LA ESTRELLA - HOSPITAL","2025-07-21","","12.25"
"LA ESTRELLA - HOSPITAL","2025-07-20","","8.02272727"
"LA ESTRELLA - HOSPITAL","2025-07-19","","8.83333333"
"LA ESTRELLA - HOSPITAL","2025-07-18","","10.0"
"LA ESTRELLA - HOSPITAL","2025-07-17","","9.20833333"
"LA ESTRELLA - HOSPITAL","2025-07-16","","10.73913043"
"LA ESTRELLA - HOSPITAL","2025-07-15","","12.90909091"
"LA ESTRELLA - HOSPITAL","2025-07-14","","13.83333333"
"LA ESTRELLA - HOSPITAL","2025-07-13","","13.47826087"
"LA ESTRELLA - HOSPITAL","2025-07-12","","15.625"
"LA ESTRELLA - HOSPITAL","2025-07-11","","17.08333333"
"LA ESTRELLA - HOSPITAL","2025-07-10","","14.5"
"LA ESTRELLA - HOSPITAL","2025-07-09","","16.70833333"
"LA ESTRELLA - HOSPITAL","2025-07-08","","18.33333333"
"LA ESTRELLA - HOSPITAL","2025-07-07","","16.29166667"
"LA ESTRELLA - HOSPITAL","2025-07-06","","10.29166667"
"LA ESTRELLA - HOSPITAL","2025-07-05","","12.25"
"LA ESTRELLA - HOSPITAL","2025-07-04","","14.20833333"
"LA ESTRELLA - HOSPITAL","2025-07-03","","14.04545455"
"LA ESTRELLA - HOSPITAL","2025-07-02","","11.34090909"
"LA ESTRELLA - HOSPITAL","2025-07-01","","13.33333333"
"LA ESTRELLA - HOSPITAL","2025-06-30","","11.02272727"
"LA ESTRELLA - HOSPITAL","2025-06-29","","11.58333333"
"LA ESTRELLA - HOSPITAL","2025-06-28","","13.16666667"
"LA ESTRELLA - HOSPITAL","2025-06-27","","17.16666667"
"LA ESTRELLA - HOSPITAL","2025-06-26","","13.95833333"
"LA ESTRELLA - HOSPITAL","2025-06-25","","17.16666667"
"LA ESTRELLA - HOSPITAL","2025-06-24","","16.08695652"
"LA ESTRELLA - HOSPITAL","2025-06-23","","7.04761905"
"LA ESTRELLA - HOSPITAL","2025-06-22","","12.04166667"
"LA ESTRELLA - HOSPITAL","2025-06-21","","13.45833333"
"LA ESTRELLA - HOSPITAL","2025-06-20","","13.08333333"
"LA ESTRELLA - HOSPITAL","2025-06-19","","12.25"
"LA ESTRELLA - HOSPITAL","2025-06-18","","12.39130435"
"LA ESTRELLA - HOSPITAL","2025-06-17","","13.125"
"LA ESTRELLA - HOSPITAL","2025-06-16","","15.16666667"
"LA ESTRELLA - HOSPITAL","2025-06-15","","10.66666667"
"LA ESTRELLA - HOSPITAL","2025-06-14","","14.08695652"
"LA ESTRELLA - HOSPITAL","2025-06-13","","9.20833333"
"LA ESTRELLA - HOSPITAL","2025-06-12","","17.73913043"
"LA ESTRELLA - HOSPITAL","2025-06-11","","14.17391304"
"LA ESTRELLA - HOSPITAL","2025-06-10","","14.125"
"LA ESTRELLA - HOSPITAL","2025-06-09","","16.16666667"
"LA ESTRELLA - HOSPITAL","2025-06-08","","9.95833333"
"LA ESTRELLA - HOSPITAL","2025-06-07","","11.35714286"
"LA ESTRELLA - HOSPITAL","2025-06-06","","13.43478261"
"LA ESTRELLA - HOSPITAL","2025-06-05","","14.5"
"LA ESTRELLA - HOSPITAL","2025-06-04","","12.83333333"
"LA ESTRELLA - HOSPITAL","2025-06-03","","14.66666667"
"LA ESTRELLA - HOSPITAL","2025-06-02","","9.625"
"LA ESTRELLA - HOSPITAL","2025-06-01","","11.45833333"
"LA ESTRELLA - HOSPITAL","2025-05-31","","11.91304348"
"LA ESTRELLA - HOSPITAL","2025-05-30","","16.04545455"
"LA ESTRELLA - HOSPITAL","2025-05-29","","14.45833333"
"LA ESTRELLA - HOSPITAL","2025-05-28","","11.45833333"
"LA ESTRELLA - HOSPITAL","2025-05-27","","12.70833333"
"LA ESTRELLA - HOSPITAL","2025-05-26","","12.75"
"LA ESTRELLA - HOSPITAL","2025-05-25","","11.91666667"
"LA ESTRELLA - HOSPITAL","2025-05-24","","12.29166667"
"LA ESTRELLA - HOSPITAL","2025-05-23","","16.0"
"LA ESTRELLA - HOSPITAL","2025-05-22","","17.08333333"
"LA ESTRELLA - HOSPITAL","2025-05-21","","16.20833333"
"LA ESTRELLA - HOSPITAL","2025-05-20","","15.75"
"LA ESTRELLA - HOSPITAL","2025-05-19","","15.9047619"
"LA ESTRELLA - HOSPITAL","2025-05-18","","8.5"
"LA ESTRELLA - HOSPITAL","2025-05-17","","9.95833333"
"LA ESTRELLA - HOSPITAL","2025-05-16","","22.125"
"LA ESTRELLA - HOSPITAL","2025-05-15","","20.82608696"
"LA ESTRELLA - HOSPITAL","2025-05-14","","16.41666667"
"LA ESTRELLA - HOSPITAL","2025-05-13","","16.75"
"LA ESTRELLA - HOSPITAL","2025-05-12","","12.91666667"
"LA ESTRELLA - HOSPITAL","2025-05-11","","11.79166667"
"LA ESTRELLA - HOSPITAL","2025-05-10","","9.625"
"LA ESTRELLA - HOSPITAL","2025-05-09","","19.04166667"
"LA ESTRELLA - HOSPITAL","2025-05-08","","16.91666667"
