"Estacion","Fecha inicial","Fecha final","PM2.5"
"LICEO FERNANDO VÉLEZ","2025-10-31","","7.61035304"
"LICEO FERNANDO VÉLEZ","2025-10-30","","8.82218583"
"LICEO FERNANDO VÉLEZ","2025-10-29","","10.028195"
"LICEO FERNANDO VÉLEZ","2025-10-28","","9.29929042"
"LICEO FERNANDO VÉLEZ","2025-10-27","","7.29800792"
"LICEO FERNANDO VÉLEZ","2025-10-26","","8.67499042"
"LICEO FERNANDO VÉLEZ","2025-10-25","","7.25457458"
"LICEO FERNANDO VÉLEZ","2025-10-24","","15.76902667"
"LICEO FERNANDO VÉLEZ","2025-10-23","","20.48854792"
"LICEO FERNANDO VÉLEZ","2025-10-22","","16.08255625"
"LICEO FERNANDO VÉLEZ","2025-10-21","","9.33931708"
"LICEO FERNANDO VÉLEZ","2025-10-20","","5.94854292"
"LICEO FERNANDO VÉLEZ","2025-10-19","","11.50352292"
"LICEO FERNANDO VÉLEZ","2025-10-18","","12.20628167"
"LICEO FERNANDO VÉLEZ","2025-10-17","","9.40760125"
"LICEO FERNANDO VÉLEZ","2025-10-16","","10.26883333"
"LICEO FERNANDO VÉLEZ","2025-10-15","","13.04270917"
"LICEO FERNANDO VÉLEZ","2025-10-14","","9.81483125"
"LICEO FERNANDO VÉLEZ","2025-10-13","","7.71468542"
"LICEO FERNANDO VÉLEZ","2025-10-12","","9.64220583"
"LICEO FERNANDO VÉLEZ","2025-10-11","","8.76998375"
"LICEO FERNANDO VÉLEZ","2025-10-10","","10.20789375"
"LICEO FERNANDO VÉLEZ","2025-10-09","","12.44211"
"LICEO FERNANDO VÉLEZ","2025-10-08","","10.02332"
"LICEO FERNANDO VÉLEZ","2025-10-07","","7.94813917"
"LICEO FERNANDO VÉLEZ","2025-10-06","","7.65720583"
"LICEO FERNANDO VÉLEZ","2025-10-05","","5.31416833"
"LICEO FERNANDO VÉLEZ","2025-10-04","","10.91758875"
"LICEO FERNANDO VÉLEZ","2025-10-03","","8.21674333"
"LICEO FERNANDO VÉLEZ","2025-10-02","","10.5949125"
