"Estacion","Fecha inicial","Fecha final","CO"
"MED-UNE Poblado","2013-12-03","","924.04123711"
"MED-UNE Poblado","2013-12-02","","987.04404873"
"MED-UNE Poblado","2013-12-01","","606.40206186"
"MED-UNE Poblado","2013-11-30","","815.98006135"
"MED-UNE Poblado","2013-11-29","","901.87269939"
"MED-UNE Poblado","2013-11-28","","835.06731425"
"MED-UNE Poblado","2013-11-27","","766.80963813"
"MED-UNE Poblado","2013-11-26","","868.47000682"
"MED-UNE Poblado","2013-11-25","","878.01363327"
"MED-UNE Poblado","2013-11-24","","944.8190184"
"MED-UNE Poblado","2013-11-23","","1250.21506476"
"MED-UNE Poblado","2013-11-22","","1173.86605317"
"MED-UNE Poblado","2013-11-21","","1121.3761077"
"MED-UNE Poblado","2013-11-20","","841.49888859"
"MED-UNE Poblado","2013-11-19","","653.73841172"
"MED-UNE Poblado","2013-11-18","","815.98006135"
"MED-UNE Poblado","2013-11-17","","501.04038855"
"MED-UNE Poblado","2013-11-16","","871.37458878"
"MED-UNE Poblado","2013-11-15","","990.87738953"
"MED-UNE Poblado","2013-11-14","","1011.62440354"
"MED-UNE Poblado","2013-11-13","","1121.3761077"
"MED-UNE Poblado","2013-11-12","","997.30896387"
"MED-UNE Poblado","2013-11-11","","911.41632584"
"MED-UNE Poblado","2013-11-10","","992.53715065"
"MED-UNE Poblado","2013-11-09","","1045.02709611"
"MED-UNE Poblado","2013-11-08","","1140.4633606"
"MED-UNE Poblado","2013-11-07","","973.44989775"
"MED-UNE Poblado","2013-11-06","","897.10088616"
"MED-UNE Poblado","2013-11-05","","911.20885569"
"MED-UNE Poblado","2013-11-04","","553.53033402"
"MED-UNE Poblado","2013-11-03","","634.65115883"
"MED-UNE Poblado","2013-11-02","","610.79209271"
"MED-UNE Poblado","2013-11-01","","672.82566462"
"MED-UNE Poblado","2013-10-31","","997.62951602"
"MED-UNE Poblado","2013-10-30","","1083.54976142"
"MED-UNE Poblado","2013-10-29","","921.25596455"
"MED-UNE Poblado","2013-10-28","","935.57600545"
"MED-UNE Poblado","2013-10-27","","668.26857532"
"MED-UNE Poblado","2013-10-26","","916.48261759"
"MED-UNE Poblado","2013-10-25","","1097.86980232"
"MED-UNE Poblado","2013-10-24","","1002.40286299"
"MED-UNE Poblado","2013-10-23","","856.71201209"
"MED-UNE Poblado","2013-10-22","","787.60224949"
"MED-UNE Poblado","2013-10-21","","687.36196319"
"MED-UNE Poblado","2013-10-20","","606.21506476"
"MED-UNE Poblado","2013-10-19","","782.82890252"
"MED-UNE Poblado","2013-10-18","","1078.77641445"
"MED-UNE Poblado","2013-10-17","","935.57600545"
"MED-UNE Poblado","2013-10-16","","1150.37661895"
"MED-UNE Poblado","2013-10-15","","1102.64314928"
"MED-UNE Poblado","2013-10-14","","754.18882072"
"MED-UNE Poblado","2013-10-13","","797.14894342"
"MED-UNE Poblado","2013-10-12","","892.61588275"
"MED-UNE Poblado","2013-10-11","","1132.12558643"
"MED-UNE Poblado","2013-10-09","","572.80163599"
"MED-UNE Poblado","2013-10-08","","649.17518746"
"MED-UNE Poblado","2013-10-07","","787.60224949"
"MED-UNE Poblado","2013-10-06","","677.81526926"
"MED-UNE Poblado","2013-10-05","","773.28220859"
"MED-UNE Poblado","2013-10-04","","840.10906612"
"MED-UNE Poblado","2013-10-03","","973.76278119"
"MED-UNE Poblado","2013-10-02","","682.58861622"
"MED-UNE Poblado","2013-10-01","","1026.26959782"
"MED-UNE Poblado","2013-09-30","","887.84253579"
"MED-UNE Poblado","2013-09-29","","859.20245399"
"MED-UNE Poblado","2013-09-28","","964.21608725"
"MED-UNE Poblado","2013-09-27","","1150.37661895"
"MED-UNE Poblado","2013-09-26","","1179.01670075"
