"Estacion","Fecha inicial","Fecha final","HAire2"
"MED-UNE Poblado","2013-02-28","","73.17916667"
"MED-UNE Poblado","2013-02-27","","71.42916667"
"MED-UNE Poblado","2013-02-26","","74.00416667"
"MED-UNE Poblado","2013-02-25","","70.0125"
"MED-UNE Poblado","2013-02-24","","80.03333333"
"MED-UNE Poblado","2013-02-23","","70.6625"
"MED-UNE Poblado","2013-02-22","","73.55416667"
"MED-UNE Poblado","2013-02-21","","74.24583333"
"MED-UNE Poblado","2013-02-20","","63.9125"
"MED-UNE Poblado","2013-02-19","","65.69583333"
"MED-UNE Poblado","2013-02-18","","69.65"
"MED-UNE Poblado","2013-02-17","","84.8"
"MED-UNE Poblado","2013-02-16","","71.47916667"
"MED-UNE Poblado","2013-02-15","","75.1375"
"MED-UNE Poblado","2013-02-14","","80.35416667"
"MED-UNE Poblado","2013-02-13","","72.3125"
"MED-UNE Poblado","2013-02-12","","79.7875"
"MED-UNE Poblado","2013-02-11","","76.00666667"
"MED-UNE Poblado","2013-02-08","","81.38125"
"MED-UNE Poblado","2013-02-07","","76.20416667"
"MED-UNE Poblado","2013-02-06","","82.45833333"
"MED-UNE Poblado","2013-02-05","","86.725"
"MED-UNE Poblado","2013-02-04","","80.37916667"
"MED-UNE Poblado","2013-02-03","","85.75"
"MED-UNE Poblado","2013-02-02","","92.275"
"MED-UNE Poblado","2013-02-01","","79.72083333"
"MED-UNE Poblado","2013-01-31","","74.65416667"
"MED-UNE Poblado","2013-01-30","","69.96666667"
"MED-UNE Poblado","2013-01-29","","70.5875"
"MED-UNE Poblado","2013-01-28","","66.5125"
"MED-UNE Poblado","2013-01-27","","69.18333333"
"MED-UNE Poblado","2013-01-26","","74.925"
"MED-UNE Poblado","2013-01-25","","78.21666667"
"MED-UNE Poblado","2013-01-24","","78.32083333"
"MED-UNE Poblado","2013-01-23","","77.90416667"
"MED-UNE Poblado","2013-01-22","","81.325"
"MED-UNE Poblado","2013-01-21","","79.44166667"
"MED-UNE Poblado","2013-01-20","","78.97916667"
"MED-UNE Poblado","2013-01-19","","74.575"
"MED-UNE Poblado","2013-01-18","","73.35416667"
"MED-UNE Poblado","2013-01-17","","74.16666667"
"MED-UNE Poblado","2013-01-16","","77.71666667"
"MED-UNE Poblado","2013-01-15","","79.51666667"
"MED-UNE Poblado","2013-01-14","","77.57083333"
"MED-UNE Poblado","2013-01-13","","76.33333333"
"MED-UNE Poblado","2013-01-12","","63.93333333"
"MED-UNE Poblado","2013-01-11","","57.23333333"
"MED-UNE Poblado","2013-01-10","","58.8"
"MED-UNE Poblado","2013-01-09","","55.4875"
"MED-UNE Poblado","2013-01-08","","55.84583333"
"MED-UNE Poblado","2013-01-07","","60.81666667"
"MED-UNE Poblado","2013-01-06","","65.11666667"
"MED-UNE Poblado","2013-01-05","","66.43333333"
"MED-UNE Poblado","2013-01-04","","66.925"
