"Estacion","Fecha inicial","Fecha final","PM2.5"
"MED-UNE Poblado","2013-11-30","","20.0"
"MED-UNE Poblado","2013-11-29","","24.79166667"
"MED-UNE Poblado","2013-11-28","","18.04166667"
"MED-UNE Poblado","2013-11-27","","18.69565217"
"MED-UNE Poblado","2013-11-26","","13.34782609"
"MED-UNE Poblado","2013-11-25","","19.79166667"
"MED-UNE Poblado","2013-11-24","","20.66666667"
"MED-UNE Poblado","2013-11-23","","23.95833333"
"MED-UNE Poblado","2013-11-22","","19.79166667"
"MED-UNE Poblado","2013-11-21","","18.33333333"
"MED-UNE Poblado","2013-11-20","","14.125"
"MED-UNE Poblado","2013-11-19","","8.31578947"
"MED-UNE Poblado","2013-11-18","","14.0"
"MED-UNE Poblado","2013-11-17","","14.5"
"MED-UNE Poblado","2013-11-16","","18.125"
"MED-UNE Poblado","2013-11-15","","15.77272727"
"MED-UNE Poblado","2013-11-14","","16.58333333"
"MED-UNE Poblado","2013-11-13","","18.0"
"MED-UNE Poblado","2013-11-12","","17.08333333"
"MED-UNE Poblado","2013-11-11","","14.52173913"
"MED-UNE Poblado","2013-11-10","","15.70833333"
"MED-UNE Poblado","2013-11-09","","17.83333333"
"MED-UNE Poblado","2013-11-08","","20.875"
"MED-UNE Poblado","2013-11-07","","18.33333333"
"MED-UNE Poblado","2013-11-06","","15.375"
"MED-UNE Poblado","2013-11-05","","18.25"
"MED-UNE Poblado","2013-11-04","","10.52173913"
"MED-UNE Poblado","2013-11-03","","11.66666667"
"MED-UNE Poblado","2013-11-02","","8.0"
"MED-UNE Poblado","2013-11-01","","12.43478261"
"MED-UNE Poblado","2013-10-31","","21.75"
"MED-UNE Poblado","2013-10-30","","20.14814815"
"MED-UNE Poblado","2013-10-29","","17.82608696"
"MED-UNE Poblado","2013-10-28","","18.25"
"MED-UNE Poblado","2013-10-27","","15.95833333"
"MED-UNE Poblado","2013-10-26","","21.33333333"
"MED-UNE Poblado","2013-10-25","","26.75"
"MED-UNE Poblado","2013-10-24","","20.125"
"MED-UNE Poblado","2013-10-23","","22.83333333"
"MED-UNE Poblado","2013-10-22","","17.41666667"
"MED-UNE Poblado","2013-10-21","","15.30434783"
"MED-UNE Poblado","2013-10-20","","19.20833333"
"MED-UNE Poblado","2013-10-19","","15.75"
"MED-UNE Poblado","2013-10-18","","24.29166667"
"MED-UNE Poblado","2013-10-17","","19.70833333"
"MED-UNE Poblado","2013-10-16","","23.875"
"MED-UNE Poblado","2013-10-15","","22.20833333"
"MED-UNE Poblado","2013-10-14","","14.20833333"
"MED-UNE Poblado","2013-10-13","","16.95833333"
"MED-UNE Poblado","2013-10-12","","21.125"
"MED-UNE Poblado","2013-10-11","","27.6"
"MED-UNE Poblado","2013-10-09","","20.0"
"MED-UNE Poblado","2013-10-08","","15.83333333"
"MED-UNE Poblado","2013-10-07","","17.29166667"
"MED-UNE Poblado","2013-10-06","","15.45833333"
"MED-UNE Poblado","2013-10-05","","12.54166667"
"MED-UNE Poblado","2013-10-04","","19.75"
"MED-UNE Poblado","2013-10-03","","26.25"
"MED-UNE Poblado","2013-10-02","","11.5"
"MED-UNE Poblado","2013-10-01","","20.67346939"
"MED-UNE Poblado","2013-09-30","","16.625"
"MED-UNE Poblado","2013-09-29","","21.375"
"MED-UNE Poblado","2013-09-28","","16.70833333"
"MED-UNE Poblado","2013-09-27","","32.54166667"
"MED-UNE Poblado","2013-09-26","","30.125"
"MED-UNE Poblado","2013-09-25","","20.66666667"
"MED-UNE Poblado","2013-09-24","","16.69565217"
"MED-UNE Poblado","2013-09-23","","18.125"
"MED-UNE Poblado","2013-09-22","","20.5"
"MED-UNE Poblado","2013-09-21","","19.5"
"MED-UNE Poblado","2013-09-20","","15.125"
"MED-UNE Poblado","2013-09-19","","15.91666667"
"MED-UNE Poblado","2013-09-18","","19.625"
"MED-UNE Poblado","2013-09-17","","17.08695652"
"MED-UNE Poblado","2013-09-16","","11.45454545"
"MED-UNE Poblado","2013-09-15","","15.04166667"
"MED-UNE Poblado","2013-09-14","","19.0"
"MED-UNE Poblado","2013-09-13","","26.25"
"MED-UNE Poblado","2013-09-12","","24.33333333"
"MED-UNE Poblado","2013-09-11","","25.66666667"
"MED-UNE Poblado","2013-09-10","","16.83333333"
"MED-UNE Poblado","2013-09-09","","21.16666667"
"MED-UNE Poblado","2013-09-08","","18.5"
"MED-UNE Poblado","2013-09-07","","22.16666667"
"MED-UNE Poblado","2013-09-06","","20.0"
"MED-UNE Poblado","2013-09-05","","19.70833333"
"MED-UNE Poblado","2013-09-04","","29.20833333"
"MED-UNE Poblado","2013-09-03","","12.83333333"
"MED-UNE Poblado","2013-09-02","","17.52173913"
"MED-UNE Poblado","2013-09-01","","16.08333333"
"MED-UNE Poblado","2013-08-31","","20.91666667"
"MED-UNE Poblado","2013-08-30","","21.33333333"
"MED-UNE Poblado","2013-08-29","","17.70833333"
"MED-UNE Poblado","2013-08-28","","20.08695652"
"MED-UNE Poblado","2013-08-27","","22.70833333"
"MED-UNE Poblado","2013-08-26","","14.70833333"
"MED-UNE Poblado","2013-08-25","","19.29166667"
"MED-UNE Poblado","2013-08-24","","22.125"
"MED-UNE Poblado","2013-08-23","","22.83333333"
"MED-UNE Poblado","2013-08-22","","17.04347826"
"MED-UNE Poblado","2013-08-21","","24.20833333"
"MED-UNE Poblado","2013-08-20","","23.70833333"
