"Estacion","Fecha inicial","Fecha final","RGlobal"
"MED-UNE Poblado","2013-11-27","","55.35556"
"MED-UNE Poblado","2013-11-15","","241.1902"
"MED-UNE Poblado","2013-10-09","","2.0"
"MED-UNE Poblado","2013-04-29","","2.0"
"MED-UNE Poblado","2013-04-26","","273.6472"
"MED-UNE Poblado","2013-02-28","","147.54166667"
"MED-UNE Poblado","2013-02-27","","189.84166667"
"MED-UNE Poblado","2013-02-26","","125.79166667"
"MED-UNE Poblado","2013-02-25","","175.0375"
"MED-UNE Poblado","2013-02-24","","115.13333333"
"MED-UNE Poblado","2013-02-23","","190.15416667"
"MED-UNE Poblado","2013-02-22","","160.90416667"
"MED-UNE Poblado","2013-02-21","","100.05833333"
"MED-UNE Poblado","2013-02-20","","143.2875"
"MED-UNE Poblado","2013-02-19","","199.69166667"
"MED-UNE Poblado","2013-02-18","","157.72083333"
"MED-UNE Poblado","2013-02-17","","70.77083333"
"MED-UNE Poblado","2013-02-16","","152.2125"
"MED-UNE Poblado","2013-02-15","","116.91666667"
"MED-UNE Poblado","2013-02-14","","80.95"
"MED-UNE Poblado","2013-02-13","","174.39166667"
"MED-UNE Poblado","2013-02-12","","121.60833333"
"MED-UNE Poblado","2013-02-11","","125.9125"
"MED-UNE Poblado","2013-02-10","","83.19166667"
"MED-UNE Poblado","2013-02-09","","176.15833333"
"MED-UNE Poblado","2013-02-08","","77.18636364"
"MED-UNE Poblado","2013-02-07","","154.69583333"
"MED-UNE Poblado","2013-02-06","","98.20833333"
"MED-UNE Poblado","2013-02-05","","75.97916667"
"MED-UNE Poblado","2013-02-04","","111.0"
"MED-UNE Poblado","2013-02-03","","115.07916667"
"MED-UNE Poblado","2013-02-02","","47.3"
"MED-UNE Poblado","2013-02-01","","81.22916667"
"MED-UNE Poblado","2013-01-31","","90.68333333"
"MED-UNE Poblado","2013-01-30","","169.63333333"
"MED-UNE Poblado","2013-01-29","","156.08333333"
"MED-UNE Poblado","2013-01-28","","189.77083333"
"MED-UNE Poblado","2013-01-27","","175.98333333"
"MED-UNE Poblado","2013-01-26","","103.13333333"
"MED-UNE Poblado","2013-01-25","","96.09583333"
"MED-UNE Poblado","2013-01-24","","127.92083333"
"MED-UNE Poblado","2013-01-23","","84.94583333"
"MED-UNE Poblado","2013-01-22","","87.88333333"
"MED-UNE Poblado","2013-01-21","","100.21666667"
"MED-UNE Poblado","2013-01-20","","87.3875"
"MED-UNE Poblado","2013-01-19","","144.225"
"MED-UNE Poblado","2013-01-18","","121.40416667"
"MED-UNE Poblado","2013-01-17","","136.72083333"
"MED-UNE Poblado","2013-01-16","","96.94166667"
"MED-UNE Poblado","2013-01-15","","108.80416667"
"MED-UNE Poblado","2013-01-14","","133.36666667"
"MED-UNE Poblado","2013-01-13","","71.225"
"MED-UNE Poblado","2013-01-12","","147.625"
"MED-UNE Poblado","2013-01-11","","160.37083333"
"MED-UNE Poblado","2013-01-10","","172.16666667"
"MED-UNE Poblado","2013-01-09","","153.9375"
"MED-UNE Poblado","2013-01-08","","171.7875"
"MED-UNE Poblado","2013-01-07","","173.9"
"MED-UNE Poblado","2013-01-06","","163.42916667"
"MED-UNE Poblado","2013-01-05","","159.20416667"
"MED-UNE Poblado","2013-01-04","","154.59166667"
"MED-UNE Poblado","2013-01-03","","142.2"
"MED-UNE Poblado","2013-01-02","","176.1625"
"MED-UNE Poblado","2013-01-01","","188.28333333"
"MED-UNE Poblado","2012-12-31","","185.7625"
"MED-UNE Poblado","2012-12-30","","148.44166667"
"MED-UNE Poblado","2012-12-29","","227.9375"
"MED-UNE Poblado","2012-12-28","","215.825"
"MED-UNE Poblado","2012-12-27","","159.64583333"
"MED-UNE Poblado","2012-12-26","","129.8875"
"MED-UNE Poblado","2012-12-25","","125.85"
"MED-UNE Poblado","2012-12-24","","107.0375"
"MED-UNE Poblado","2012-12-23","","144.14583333"
"MED-UNE Poblado","2012-12-22","","160.775"
"MED-UNE Poblado","2012-12-21","","142.14166667"
"MED-UNE Poblado","2012-12-20","","133.77083333"
"MED-UNE Poblado","2012-12-19","","125.12916667"
"MED-UNE Poblado","2012-12-18","","129.675"
"MED-UNE Poblado","2012-12-17","","137.29583333"
"MED-UNE Poblado","2012-12-16","","150.19166667"
"MED-UNE Poblado","2012-12-15","","187.36666667"
"MED-UNE Poblado","2012-12-14","","163.11666667"
"MED-UNE Poblado","2012-12-13","","121.84166667"
"MED-UNE Poblado","2012-12-12","","140.12083333"
"MED-UNE Poblado","2012-12-11","","128.1875"
"MED-UNE Poblado","2012-12-10","","226.90416667"
"MED-UNE Poblado","2012-12-09","","184.025"
"MED-UNE Poblado","2012-12-08","","170.90833333"
"MED-UNE Poblado","2012-12-07","","187.10833333"
"MED-UNE Poblado","2012-12-06","","178.85833333"
"MED-UNE Poblado","2012-12-05","","162.3625"
"MED-UNE Poblado","2012-12-04","","205.9375"
"MED-UNE Poblado","2012-12-03","","161.9375"
"MED-UNE Poblado","2012-12-02","","182.10833333"
"MED-UNE Poblado","2012-12-01","","123.12083333"
"MED-UNE Poblado","2012-11-30","","121.69166667"
"MED-UNE Poblado","2012-11-29","","97.43333333"
"MED-UNE Poblado","2012-11-28","","149.6"
"MED-UNE Poblado","2012-11-27","","199.97916667"
"MED-UNE Poblado","2012-11-26","","193.3375"
"MED-UNE Poblado","2012-11-25","","162.22083333"
"MED-UNE Poblado","2012-11-24","","206.6"
"MED-UNE Poblado","2012-11-23","","124.75"
"MED-UNE Poblado","2012-11-22","","92.65"
"MED-UNE Poblado","2012-11-21","","86.975"
"MED-UNE Poblado","2012-11-20","","148.14166667"
"MED-UNE Poblado","2012-11-19","","169.64166667"
"MED-UNE Poblado","2012-11-18","","68.4125"
"MED-UNE Poblado","2012-11-17","","124.72916667"
"MED-UNE Poblado","2012-11-16","","210.67916667"
"MED-UNE Poblado","2012-11-15","","125.26666667"
"MED-UNE Poblado","2012-11-14","","139.00416667"
"MED-UNE Poblado","2012-11-13","","143.0375"
"MED-UNE Poblado","2012-11-12","","80.15416667"
"MED-UNE Poblado","2012-11-11","","102.68333333"
"MED-UNE Poblado","2012-11-10","","161.52083333"
"MED-UNE Poblado","2012-11-09","","153.18333333"
"MED-UNE Poblado","2012-11-08","","198.14166667"
"MED-UNE Poblado","2012-11-07","","176.40833333"
"MED-UNE Poblado","2012-11-06","","173.0375"
"MED-UNE Poblado","2012-11-05","","152.83333333"
"MED-UNE Poblado","2012-11-04","","186.58333333"
"MED-UNE Poblado","2012-11-03","","214.3875"
"MED-UNE Poblado","2012-11-02","","120.475"
"MED-UNE Poblado","2012-11-01","","165.4125"
