"Estacion","Fecha inicial","Fecha final","TAire10"
"MED-UNE Poblado","2015-01-31","","18.43041667"
"MED-UNE Poblado","2015-01-30","","18.84541667"
"MED-UNE Poblado","2015-01-29","","18.92541667"
"MED-UNE Poblado","2015-01-28","","17.49625"
"MED-UNE Poblado","2015-01-27","","17.31708333"
"MED-UNE Poblado","2015-01-26","","18.64625"
"MED-UNE Poblado","2015-01-25","","18.48041667"
"MED-UNE Poblado","2015-01-24","","18.24666667"
"MED-UNE Poblado","2015-01-23","","16.82625"
"MED-UNE Poblado","2015-01-22","","17.40375"
"MED-UNE Poblado","2015-01-21","","17.82875"
"MED-UNE Poblado","2015-01-20","","18.34041667"
"MED-UNE Poblado","2015-01-19","","18.67916667"
"MED-UNE Poblado","2015-01-18","","18.11541667"
"MED-UNE Poblado","2015-01-17","","17.715"
"MED-UNE Poblado","2015-01-16","","18.76083333"
"MED-UNE Poblado","2015-01-15","","19.24166667"
"MED-UNE Poblado","2015-01-14","","18.65375"
"MED-UNE Poblado","2015-01-13","","18.54"
"MED-UNE Poblado","2015-01-12","","19.71958333"
"MED-UNE Poblado","2015-01-11","","20.53416667"
"MED-UNE Poblado","2015-01-10","","20.11791667"
"MED-UNE Poblado","2015-01-09","","19.585"
"MED-UNE Poblado","2015-01-08","","18.64166667"
"MED-UNE Poblado","2015-01-07","","19.08125"
"MED-UNE Poblado","2015-01-06","","19.43166667"
"MED-UNE Poblado","2015-01-05","","19.36333333"
"MED-UNE Poblado","2015-01-04","","19.46083333"
"MED-UNE Poblado","2015-01-03","","19.72541667"
"MED-UNE Poblado","2015-01-02","","19.40375"
"MED-UNE Poblado","2015-01-01","","19.725"
"MED-UNE Poblado","2014-12-31","","20.11708333"
"MED-UNE Poblado","2014-12-30","","19.88291667"
"MED-UNE Poblado","2014-12-29","","19.54166667"
"MED-UNE Poblado","2014-12-28","","19.72083333"
"MED-UNE Poblado","2014-12-27","","19.65458333"
"MED-UNE Poblado","2014-12-26","","19.57666667"
"MED-UNE Poblado","2014-12-25","","19.77291667"
"MED-UNE Poblado","2014-12-24","","19.41708333"
"MED-UNE Poblado","2014-12-23","","19.21041667"
"MED-UNE Poblado","2014-12-22","","19.03041667"
"MED-UNE Poblado","2014-12-21","","18.32291667"
"MED-UNE Poblado","2014-12-20","","18.30291667"
"MED-UNE Poblado","2014-12-19","","17.61083333"
"MED-UNE Poblado","2014-12-18","","18.32791667"
"MED-UNE Poblado","2014-12-17","","18.51625"
"MED-UNE Poblado","2014-12-16","","18.90416667"
"MED-UNE Poblado","2014-12-15","","17.85833333"
"MED-UNE Poblado","2014-12-14","","17.95291667"
"MED-UNE Poblado","2014-12-13","","16.43541667"
"MED-UNE Poblado","2014-12-12","","18.05625"
"MED-UNE Poblado","2014-12-11","","16.89583333"
"MED-UNE Poblado","2014-12-10","","17.18916667"
"MED-UNE Poblado","2014-12-09","","16.47541667"
"MED-UNE Poblado","2014-12-08","","17.24833333"
"MED-UNE Poblado","2014-12-07","","17.42041667"
"MED-UNE Poblado","2014-12-06","","17.71208333"
"MED-UNE Poblado","2014-12-05","","18.81583333"
"MED-UNE Poblado","2014-12-04","","18.80166667"
"MED-UNE Poblado","2014-12-03","","18.48916667"
"MED-UNE Poblado","2014-12-02","","20.2975"
"MED-UNE Poblado","2014-12-01","","19.94708333"
"MED-UNE Poblado","2014-11-30","","19.74708333"
"MED-UNE Poblado","2014-11-29","","19.75833333"
"MED-UNE Poblado","2014-11-28","","19.30541667"
"MED-UNE Poblado","2014-11-27","","18.475"
"MED-UNE Poblado","2014-11-26","","17.4175"
"MED-UNE Poblado","2014-11-25","","19.38208333"
"MED-UNE Poblado","2014-11-24","","19.24833333"
"MED-UNE Poblado","2014-11-23","","18.60375"
"MED-UNE Poblado","2014-11-22","","17.22875"
"MED-UNE Poblado","2014-11-21","","17.78583333"
"MED-UNE Poblado","2014-11-20","","17.3625"
"MED-UNE Poblado","2014-11-19","","17.99041667"
"MED-UNE Poblado","2014-11-18","","18.58833333"
