"Estacion","Fecha inicial","Fecha final","O3"
"MED-Univ. Medellín (S)","2015-12-31","","23.9826087"
"MED-Univ. Medellín (S)","2015-12-30","","27.95416667"
"MED-Univ. Medellín (S)","2015-12-29","","33.23333333"
"MED-Univ. Medellín (S)","2015-12-28","","36.125"
"MED-Univ. Medellín (S)","2015-12-27","","33.35416667"
"MED-Univ. Medellín (S)","2015-12-26","","30.1875"
"MED-Univ. Medellín (S)","2015-12-25","","28.525"
"MED-Univ. Medellín (S)","2015-12-24","","25.13333333"
"MED-Univ. Medellín (S)","2015-12-23","","24.8"
"MED-Univ. Medellín (S)","2015-12-22","","25.17083333"
"MED-Univ. Medellín (S)","2015-12-21","","22.97916667"
"MED-Univ. Medellín (S)","2015-12-20","","20.75833333"
"MED-Univ. Medellín (S)","2015-12-19","","10.39583333"
"MED-Univ. Medellín (S)","2015-12-18","","21.30833333"
"MED-Univ. Medellín (S)","2015-12-17","","20.90416667"
"MED-Univ. Medellín (S)","2015-12-16","","32.30416667"
"MED-Univ. Medellín (S)","2015-12-15","","21.725"
"MED-Univ. Medellín (S)","2015-12-14","","36.24166667"
"MED-Univ. Medellín (S)","2015-12-13","","34.89166667"
"MED-Univ. Medellín (S)","2015-12-12","","25.14583333"
"MED-Univ. Medellín (S)","2015-12-11","","30.1173913"
"MED-Univ. Medellín (S)","2015-12-10","","23.40833333"
"MED-Univ. Medellín (S)","2015-12-09","","21.75"
"MED-Univ. Medellín (S)","2015-12-08","","22.0625"
"MED-Univ. Medellín (S)","2015-12-07","","28.56666667"
"MED-Univ. Medellín (S)","2015-12-06","","25.875"
"MED-Univ. Medellín (S)","2015-12-05","","23.8625"
"MED-Univ. Medellín (S)","2015-12-04","","19.16666667"
"MED-Univ. Medellín (S)","2015-12-03","","21.45833333"
"MED-Univ. Medellín (S)","2015-12-02","","19.2875"
"MED-Univ. Medellín (S)","2015-12-01","","25.025"
"MED-Univ. Medellín (S)","2015-11-30","","24.775"
"MED-Univ. Medellín (S)","2015-11-29","","24.9"
"MED-Univ. Medellín (S)","2015-11-28","","20.91666667"
"MED-Univ. Medellín (S)","2015-11-27","","22.6"
"MED-Univ. Medellín (S)","2015-09-30","","34.94166667"
"MED-Univ. Medellín (S)","2015-09-29","","34.92083333"
"MED-Univ. Medellín (S)","2015-09-28","","40.825"
"MED-Univ. Medellín (S)","2015-09-27","","36.30833333"
"MED-Univ. Medellín (S)","2015-09-26","","31.57916667"
"MED-Univ. Medellín (S)","2015-09-25","","29.65714286"
"MED-Univ. Medellín (S)","2015-09-24","","43.15416667"
"MED-Univ. Medellín (S)","2015-09-23","","34.79583333"
"MED-Univ. Medellín (S)","2015-09-22","","23.57083333"
"MED-Univ. Medellín (S)","2015-09-21","","22.54166667"
"MED-Univ. Medellín (S)","2015-09-20","","13.60416667"
"MED-Univ. Medellín (S)","2015-09-19","","27.0125"
"MED-Univ. Medellín (S)","2015-09-18","","23.0625"
"MED-Univ. Medellín (S)","2015-09-17","","37.06666667"
"MED-Univ. Medellín (S)","2015-09-16","","42.58333333"
"MED-Univ. Medellín (S)","2015-09-15","","40.20416667"
"MED-Univ. Medellín (S)","2015-09-14","","34.325"
"MED-Univ. Medellín (S)","2015-09-13","","45.625"
"MED-Univ. Medellín (S)","2015-09-12","","27.8875"
"MED-Univ. Medellín (S)","2015-09-11","","7.04285714"
"MED-Univ. Medellín (S)","2015-09-10","","29.37916667"
"MED-Univ. Medellín (S)","2015-09-09","","21.22916667"
"MED-Univ. Medellín (S)","2015-09-08","","22.13333333"
"MED-Univ. Medellín (S)","2015-09-07","","22.82916667"
"MED-Univ. Medellín (S)","2015-09-06","","29.64166667"
"MED-Univ. Medellín (S)","2015-09-05","","36.20416667"
"MED-Univ. Medellín (S)","2015-09-04","","34.1875"
"MED-Univ. Medellín (S)","2015-09-03","","37.90416667"
"MED-Univ. Medellín (S)","2015-09-02","","28.925"
"MED-Univ. Medellín (S)","2015-09-01","","29.7125"
"MED-Univ. Medellín (S)","2015-08-31","","31.21666667"
"MED-Univ. Medellín (S)","2015-08-30","","39.12083333"
"MED-Univ. Medellín (S)","2015-08-29","","34.4875"
"MED-Univ. Medellín (S)","2015-08-28","","25.95416667"
"MED-Univ. Medellín (S)","2015-08-27","","25.44583333"
"MED-Univ. Medellín (S)","2015-08-26","","22.95416667"
"MED-Univ. Medellín (S)","2015-08-25","","23.125"
"MED-Univ. Medellín (S)","2015-08-24","","18.15833333"
"MED-Univ. Medellín (S)","2015-08-23","","30.88333333"
"MED-Univ. Medellín (S)","2015-08-22","","32.68333333"
"MED-Univ. Medellín (S)","2015-08-21","","29.94545455"
"MED-Univ. Medellín (S)","2015-08-20","","24.98333333"
"MED-Univ. Medellín (S)","2015-08-19","","26.3125"
"MED-Univ. Medellín (S)","2015-08-18","","22.44166667"
"MED-Univ. Medellín (S)","2015-08-17","","21.325"
"MED-Univ. Medellín (S)","2015-08-16","","18.19166667"
"MED-Univ. Medellín (S)","2015-08-15","","20.23333333"
"MED-Univ. Medellín (S)","2015-08-14","","18.375"
"MED-Univ. Medellín (S)","2015-08-13","","24.675"
"MED-Univ. Medellín (S)","2015-08-12","","21.20416667"
"MED-Univ. Medellín (S)","2015-08-11","","24.02916667"
"MED-Univ. Medellín (S)","2015-08-10","","15.375"
"MED-Univ. Medellín (S)","2015-08-09","","16.7125"
"MED-Univ. Medellín (S)","2015-08-08","","22.32083333"
"MED-Univ. Medellín (S)","2015-08-07","","36.0"
"MED-Univ. Medellín (S)","2015-08-06","","28.47083333"
"MED-Univ. Medellín (S)","2015-08-05","","27.78333333"
"MED-Univ. Medellín (S)","2015-08-04","","25.90416667"
"MED-Univ. Medellín (S)","2015-08-03","","22.29166667"
"MED-Univ. Medellín (S)","2015-08-02","","25.63333333"
"MED-Univ. Medellín (S)","2015-08-01","","23.9875"
"MED-Univ. Medellín (S)","2015-07-31","","22.51666667"
"MED-Univ. Medellín (S)","2015-07-30","","24.70833333"
"MED-Univ. Medellín (S)","2015-07-29","","20.975"
"MED-Univ. Medellín (S)","2015-07-28","","27.47083333"
"MED-Univ. Medellín (S)","2015-07-27","","25.31666667"
"MED-Univ. Medellín (S)","2015-07-26","","23.47083333"
"MED-Univ. Medellín (S)","2015-07-25","","26.8875"
"MED-Univ. Medellín (S)","2015-07-24","","22.84583333"
"MED-Univ. Medellín (S)","2015-07-23","","14.74583333"
"MED-Univ. Medellín (S)","2015-07-22","","17.81666667"
"MED-Univ. Medellín (S)","2015-07-21","","16.0375"
"MED-Univ. Medellín (S)","2015-07-20","","12.2"
"MED-Univ. Medellín (S)","2015-07-19","","24.24583333"
"MED-Univ. Medellín (S)","2015-07-18","","24.01666667"
"MED-Univ. Medellín (S)","2015-07-17","","28.54583333"
"MED-Univ. Medellín (S)","2015-07-16","","16.9875"
"MED-Univ. Medellín (S)","2015-07-15","","16.19583333"
"MED-Univ. Medellín (S)","2015-07-14","","28.42083333"
"MED-Univ. Medellín (S)","2015-07-13","","28.0"
"MED-Univ. Medellín (S)","2015-07-12","","27.2"
"MED-Univ. Medellín (S)","2015-07-11","","22.49166667"
"MED-Univ. Medellín (S)","2015-07-10","","24.21818182"
"MED-Univ. Medellín (S)","2015-07-09","","25.55416667"
"MED-Univ. Medellín (S)","2015-07-08","","24.79583333"
"MED-Univ. Medellín (S)","2015-07-07","","20.1"
"MED-Univ. Medellín (S)","2015-07-06","","30.9625"
"MED-Univ. Medellín (S)","2015-07-05","","35.35416667"
"MED-Univ. Medellín (S)","2015-07-04","","26.05833333"
"MED-Univ. Medellín (S)","2015-07-03","","35.9"
"MED-Univ. Medellín (S)","2015-07-02","","31.91666667"
"MED-Univ. Medellín (S)","2015-07-01","","25.7875"
"MED-Univ. Medellín (S)","2015-06-30","","28.8"
"MED-Univ. Medellín (S)","2015-06-29","","22.19166667"
"MED-Univ. Medellín (S)","2015-06-28","","20.04166667"
"MED-Univ. Medellín (S)","2015-06-27","","19.47083333"
"MED-Univ. Medellín (S)","2015-06-26","","20.38333333"
"MED-Univ. Medellín (S)","2015-06-25","","21.05"
"MED-Univ. Medellín (S)","2015-06-24","","21.49583333"
"MED-Univ. Medellín (S)","2015-06-23","","16.4"
"MED-Univ. Medellín (S)","2015-06-22","","16.92916667"
"MED-Univ. Medellín (S)","2015-06-21","","30.14583333"
"MED-Univ. Medellín (S)","2015-06-20","","27.68333333"
"MED-Univ. Medellín (S)","2015-06-19","","26.17916667"
"MED-Univ. Medellín (S)","2015-06-18","","21.82916667"
"MED-Univ. Medellín (S)","2015-06-17","","16.85"
"MED-Univ. Medellín (S)","2015-06-16","","19.725"
"MED-Univ. Medellín (S)","2015-06-15","","23.70416667"
"MED-Univ. Medellín (S)","2015-06-14","","23.975"
"MED-Univ. Medellín (S)","2015-06-13","","29.56666667"
"MED-Univ. Medellín (S)","2015-06-12","","17.55416667"
"MED-Univ. Medellín (S)","2015-06-11","","18.255"
"MED-Univ. Medellín (S)","2015-06-10","","23.125"
"MED-Univ. Medellín (S)","2015-06-09","","19.45833333"
"MED-Univ. Medellín (S)","2015-06-08","","25.3875"
"MED-Univ. Medellín (S)","2015-06-07","","24.13333333"
"MED-Univ. Medellín (S)","2015-06-06","","24.15416667"
"MED-Univ. Medellín (S)","2015-06-05","","11.875"
"MED-Univ. Medellín (S)","2015-06-04","","19.50833333"
"MED-Univ. Medellín (S)","2015-06-03","","20.675"
"MED-Univ. Medellín (S)","2015-06-02","","18.75833333"
"MED-Univ. Medellín (S)","2015-06-01","","14.04166667"
"MED-Univ. Medellín (S)","2015-05-31","","20.9375"
"MED-Univ. Medellín (S)","2015-05-30","","19.50416667"
