"Estacion","Fecha inicial","Fecha final","PM10"
"MED-Univ. Medellín (S)","2010-07-13","","37.22593075"
"MED-Univ. Medellín (S)","2010-07-10","","41.84132787"
"MED-Univ. Medellín (S)","2010-07-07","","64.8939099"
"MED-Univ. Medellín (S)","2010-07-04","","30.44472446"
"MED-Univ. Medellín (S)","2010-07-01","","54.17173589"
"MED-Univ. Medellín (S)","2010-06-28","","30.40237258"
"MED-Univ. Medellín (S)","2010-06-25","","30.03274779"
"MED-Univ. Medellín (S)","2010-06-22","","39.07042118"
"MED-Univ. Medellín (S)","2010-06-19","","44.35495393"
"MED-Univ. Medellín (S)","2010-06-16","","27.43692232"
"MED-Univ. Medellín (S)","2010-06-13","","45.95150636"
"MED-Univ. Medellín (S)","2010-06-10","","56.69143958"
"MED-Univ. Medellín (S)","2010-06-07","","30.03652209"
"MED-Univ. Medellín (S)","2010-06-04","","33.14680044"
"MED-Univ. Medellín (S)","2010-06-01","","51.99823615"
"MED-Univ. Medellín (S)","2010-05-29","","46.38427128"
"MED-Univ. Medellín (S)","2010-05-26","","52.93431066"
"MED-Univ. Medellín (S)","2010-05-23","","47.6156028"
"MED-Univ. Medellín (S)","2010-05-20","","39.2345622"
"MED-Univ. Medellín (S)","2010-05-17","","24.78502646"
"MED-Univ. Medellín (S)","2010-05-14","","31.85391919"
"MED-Univ. Medellín (S)","2010-05-11","","25.95921736"
"MED-Univ. Medellín (S)","2010-05-08","","29.90013317"
"MED-Univ. Medellín (S)","2010-05-05","","47.63013903"
"MED-Univ. Medellín (S)","2010-05-02","","45.4477119"
"MED-Univ. Medellín (S)","2010-04-29","","45.75723938"
"MED-Univ. Medellín (S)","2010-04-26","","38.252656"
"MED-Univ. Medellín (S)","2010-04-23","","33.59397282"
"MED-Univ. Medellín (S)","2010-04-20","","45.3893789"
"MED-Univ. Medellín (S)","2010-04-17","","40.90744449"
"MED-Univ. Medellín (S)","2010-04-14","","46.41635398"
"MED-Univ. Medellín (S)","2010-04-11","","47.86658947"
"MED-Univ. Medellín (S)","2010-04-08","","57.0985804"
"MED-Univ. Medellín (S)","2010-04-05","","44.7483313"
"MED-Univ. Medellín (S)","2010-04-02","","37.45245813"
"MED-Univ. Medellín (S)","2010-03-30","","30.70191447"
"MED-Univ. Medellín (S)","2010-03-27","","65.90175926"
"MED-Univ. Medellín (S)","2010-03-24","","74.1576817"
"MED-Univ. Medellín (S)","2010-03-21","","37.1735964"
"MED-Univ. Medellín (S)","2010-03-18","","38.9305648"
"MED-Univ. Medellín (S)","2010-03-15","","54.13342028"
"MED-Univ. Medellín (S)","2010-03-12","","50.21259522"
"MED-Univ. Medellín (S)","2010-03-09","","41.34514754"
"MED-Univ. Medellín (S)","2010-03-06","","49.23500512"
"MED-Univ. Medellín (S)","2010-03-03","","37.85004458"
"MED-Univ. Medellín (S)","2010-02-28","","37.61591902"
"MED-Univ. Medellín (S)","2010-02-25","","41.00377871"
"MED-Univ. Medellín (S)","2010-02-22","","66.84591516"
"MED-Univ. Medellín (S)","2010-02-19","","80.3722889"
"MED-Univ. Medellín (S)","2010-02-16","","64.94207794"
"MED-Univ. Medellín (S)","2010-02-13","","64.20325115"
"MED-Univ. Medellín (S)","2010-02-10","","69.96062043"
"MED-Univ. Medellín (S)","2010-02-07","","46.47719528"
"MED-Univ. Medellín (S)","2010-02-04","","58.09901535"
"MED-Univ. Medellín (S)","2010-02-01","","52.5028247"
"MED-Univ. Medellín (S)","2010-01-29","","43.98182013"
"MED-Univ. Medellín (S)","2010-01-26","","50.26872019"
"MED-Univ. Medellín (S)","2010-01-23","","62.66149096"
"MED-Univ. Medellín (S)","2010-01-20","","62.195499"
"MED-Univ. Medellín (S)","2010-01-17","","66.55684816"
"MED-Univ. Medellín (S)","2010-01-14","","60.57990112"
"MED-Univ. Medellín (S)","2010-01-11","","39.09434663"
"MED-Univ. Medellín (S)","2010-01-08","","44.2751574"
"MED-Univ. Medellín (S)","2010-01-05","","46.03271519"
"MED-Univ. Medellín (S)","2009-12-30","","39.88818329"
"MED-Univ. Medellín (S)","2009-12-27","","28.16398923"
"MED-Univ. Medellín (S)","2009-12-21","","53.09068707"
"MED-Univ. Medellín (S)","2009-12-18","","77.66841631"
"MED-Univ. Medellín (S)","2009-12-15","","47.50550782"
"MED-Univ. Medellín (S)","2009-12-12","","38.45785991"
"MED-Univ. Medellín (S)","2009-12-09","","56.96003469"
"MED-Univ. Medellín (S)","2009-12-06","","36.25778512"
"MED-Univ. Medellín (S)","2009-12-03","","49.10780919"
"MED-Univ. Medellín (S)","2009-11-30","","58.15436941"
"MED-Univ. Medellín (S)","2009-11-27","","45.51963028"
"MED-Univ. Medellín (S)","2009-11-24","","57.10188284"
"MED-Univ. Medellín (S)","2009-11-18","","34.7762701"
"MED-Univ. Medellín (S)","2009-11-15","","40.41774705"
"MED-Univ. Medellín (S)","2009-11-12","","43.78862358"
"MED-Univ. Medellín (S)","2009-11-09","","41.05099134"
"MED-Univ. Medellín (S)","2009-11-06","","63.3041764"
"MED-Univ. Medellín (S)","2009-11-03","","46.98676179"
"MED-Univ. Medellín (S)","2009-10-31","","80.51840069"
"MED-Univ. Medellín (S)","2009-10-28","","54.81131797"
"MED-Univ. Medellín (S)","2009-10-25","","25.04440773"
"MED-Univ. Medellín (S)","2009-10-22","","46.8911178"
"MED-Univ. Medellín (S)","2009-10-19","","51.97628787"
"MED-Univ. Medellín (S)","2009-10-16","","59.32808379"
"MED-Univ. Medellín (S)","2009-10-13","","54.53095812"
"MED-Univ. Medellín (S)","2009-10-10","","53.77687245"
"MED-Univ. Medellín (S)","2009-10-07","","57.19277284"
"MED-Univ. Medellín (S)","2009-10-04","","37.58692652"
"MED-Univ. Medellín (S)","2009-10-01","","51.19582329"
"MED-Univ. Medellín (S)","2009-09-28","","45.61750606"
"MED-Univ. Medellín (S)","2009-09-25","","63.73657454"
"MED-Univ. Medellín (S)","2009-09-22","","44.54623294"
"MED-Univ. Medellín (S)","2009-09-19","","32.73645185"
"MED-Univ. Medellín (S)","2009-09-16","","61.17992751"
"MED-Univ. Medellín (S)","2009-09-13","","33.02054545"
"MED-Univ. Medellín (S)","2009-09-10","","35.51635124"
"MED-Univ. Medellín (S)","2009-09-07","","50.61879294"
"MED-Univ. Medellín (S)","2009-09-01","","37.4511366"
"MED-Univ. Medellín (S)","2009-08-29","","59.91666723"
"MED-Univ. Medellín (S)","2009-08-26","","35.29969911"
"MED-Univ. Medellín (S)","2009-08-23","","27.2592358"
"MED-Univ. Medellín (S)","2009-08-20","","53.13055995"
"MED-Univ. Medellín (S)","2009-08-17","","18.00949678"
"MED-Univ. Medellín (S)","2009-08-14","","46.17122574"
"MED-Univ. Medellín (S)","2009-08-11","","34.17537025"
"MED-Univ. Medellín (S)","2009-08-08","","24.8497697"
"MED-Univ. Medellín (S)","2009-08-05","","36.24267669"
"MED-Univ. Medellín (S)","2009-08-02","","64.42576538"
"MED-Univ. Medellín (S)","2009-07-30","","61.86450745"
"MED-Univ. Medellín (S)","2009-07-27","","60.03052831"
"MED-Univ. Medellín (S)","2009-07-24","","58.37472675"
"MED-Univ. Medellín (S)","2009-07-21","","40.35964638"
"MED-Univ. Medellín (S)","2009-07-18","","37.23621779"
"MED-Univ. Medellín (S)","2009-07-15","","43.50203491"
"MED-Univ. Medellín (S)","2009-07-12","","25.47789313"
"MED-Univ. Medellín (S)","2009-07-09","","58.76101094"
"MED-Univ. Medellín (S)","2009-07-06","","48.54882374"
"MED-Univ. Medellín (S)","2009-07-03","","33.08375283"
"MED-Univ. Medellín (S)","2009-06-30","","34.78424369"
"MED-Univ. Medellín (S)","2009-06-27","","37.99377296"
"MED-Univ. Medellín (S)","2009-06-24","","68.29597551"
"MED-Univ. Medellín (S)","2009-06-21","","24.46601423"
"MED-Univ. Medellín (S)","2009-06-18","","32.37412918"
"MED-Univ. Medellín (S)","2009-06-15","","32.50099715"
"MED-Univ. Medellín (S)","2009-06-12","","62.73888834"
"MED-Univ. Medellín (S)","2009-06-09","","55.30075495"
"MED-Univ. Medellín (S)","2009-06-06","","42.80447627"
"MED-Univ. Medellín (S)","2009-06-03","","55.90290486"
"MED-Univ. Medellín (S)","2009-05-31","","29.04823264"
"MED-Univ. Medellín (S)","2009-05-28","","43.28793718"
"MED-Univ. Medellín (S)","2009-05-25","","26.22347363"
"MED-Univ. Medellín (S)","2009-05-22","","46.18018636"
"MED-Univ. Medellín (S)","2009-05-19","","53.81691731"
"MED-Univ. Medellín (S)","2009-05-16","","53.44956817"
"MED-Univ. Medellín (S)","2009-05-13","","45.14731309"
"MED-Univ. Medellín (S)","2009-05-10","","37.85073507"
"MED-Univ. Medellín (S)","2009-05-07","","79.07380488"
"MED-Univ. Medellín (S)","2009-05-04","","37.82182218"
"MED-Univ. Medellín (S)","2009-05-01","","35.53130104"
"MED-Univ. Medellín (S)","2009-04-28","","90.57685215"
"MED-Univ. Medellín (S)","2009-04-25","","67.03299253"
"MED-Univ. Medellín (S)","2009-04-19","","51.13529432"
"MED-Univ. Medellín (S)","2009-04-16","","42.01111082"
"MED-Univ. Medellín (S)","2009-04-13","","60.18180792"
"MED-Univ. Medellín (S)","2009-04-10","","20.47215043"
"MED-Univ. Medellín (S)","2009-04-07","","56.98393653"
"MED-Univ. Medellín (S)","2009-04-04","","42.10282532"
"MED-Univ. Medellín (S)","2009-04-01","","39.99143871"
"MED-Univ. Medellín (S)","2009-03-29","","74.43205311"
"MED-Univ. Medellín (S)","2009-03-26","","46.69483022"
"MED-Univ. Medellín (S)","2009-03-20","","60.23766125"
"MED-Univ. Medellín (S)","2009-03-17","","58.42824194"
"MED-Univ. Medellín (S)","2009-03-14","","77.37279738"
"MED-Univ. Medellín (S)","2009-03-11","","68.95958536"
"MED-Univ. Medellín (S)","2009-03-08","","54.14875711"
"MED-Univ. Medellín (S)","2009-03-05","","47.03662535"
"MED-Univ. Medellín (S)","2009-03-02","","56.2097734"
"MED-Univ. Medellín (S)","2009-02-27","","84.39505007"
"MED-Univ. Medellín (S)","2009-02-24","","75.21668244"
"MED-Univ. Medellín (S)","2009-02-21","","49.41880449"
"MED-Univ. Medellín (S)","2009-02-18","","48.23535032"
"MED-Univ. Medellín (S)","2009-02-15","","45.37575904"
"MED-Univ. Medellín (S)","2009-02-12","","39.25351712"
"MED-Univ. Medellín (S)","2009-02-09","","33.58221145"
"MED-Univ. Medellín (S)","2009-02-06","","44.80373378"
"MED-Univ. Medellín (S)","2009-02-03","","36.82974415"
"MED-Univ. Medellín (S)","2009-01-31","","38.33125607"
"MED-Univ. Medellín (S)","2009-01-28","","50.32306686"
"MED-Univ. Medellín (S)","2009-01-25","","33.08071887"
"MED-Univ. Medellín (S)","2009-01-22","","37.51632508"
"MED-Univ. Medellín (S)","2009-01-19","","40.08393742"
"MED-Univ. Medellín (S)","2009-01-16","","57.77584382"
"MED-Univ. Medellín (S)","2009-01-13","","43.57734098"
"MED-Univ. Medellín (S)","2009-01-10","","32.15996395"
"MED-Univ. Medellín (S)","2009-01-07","","53.30519292"
"MED-Univ. Medellín (S)","2009-01-04","","25.71237302"
"MED-Univ. Medellín (S)","2009-01-01","","31.84676455"
"MED-Univ. Medellín (S)","2008-12-29","","48.54259481"
"MED-Univ. Medellín (S)","2008-12-26","","42.159932"
"MED-Univ. Medellín (S)","2008-12-23","","40.33714502"
"MED-Univ. Medellín (S)","2008-12-20","","39.05719222"
"MED-Univ. Medellín (S)","2008-12-17","","49.58694742"
"MED-Univ. Medellín (S)","2008-12-14","","26.76633322"
"MED-Univ. Medellín (S)","2008-12-11","","89.56362119"
"MED-Univ. Medellín (S)","2008-12-08","","30.52874417"
"MED-Univ. Medellín (S)","2008-12-05","","54.20280878"
"MED-Univ. Medellín (S)","2008-12-02","","59.58103103"
"MED-Univ. Medellín (S)","2008-11-29","","40.40002977"
"MED-Univ. Medellín (S)","2008-11-26","","70.18611601"
"MED-Univ. Medellín (S)","2008-11-23","","48.55254175"
"MED-Univ. Medellín (S)","2008-11-20","","60.9534539"
"MED-Univ. Medellín (S)","2008-11-14","","75.55520649"
"MED-Univ. Medellín (S)","2008-11-11","","69.13289067"
"MED-Univ. Medellín (S)","2008-11-08","","135.12039504"
"MED-Univ. Medellín (S)","2008-11-05","","51.95962004"
"MED-Univ. Medellín (S)","2008-11-02","","38.65134115"
"MED-Univ. Medellín (S)","2008-10-30","","46.04294749"
"MED-Univ. Medellín (S)","2008-10-27","","58.74829762"
"MED-Univ. Medellín (S)","2008-10-24","","44.25178482"
"MED-Univ. Medellín (S)","2008-10-21","","48.9030591"
"MED-Univ. Medellín (S)","2008-10-18","","63.97078252"
"MED-Univ. Medellín (S)","2008-10-15","","94.7973789"
"MED-Univ. Medellín (S)","2008-10-12","","27.83278705"
"MED-Univ. Medellín (S)","2008-10-03","","61.46851459"
"MED-Univ. Medellín (S)","2008-09-30","","75.88089189"
"MED-Univ. Medellín (S)","2008-09-27","","58.38766814"
"MED-Univ. Medellín (S)","2008-09-24","","71.38233198"
"MED-Univ. Medellín (S)","2008-09-21","","48.70109781"
"MED-Univ. Medellín (S)","2008-09-18","","77.27389293"
"MED-Univ. Medellín (S)","2008-09-15","","60.91678405"
"MED-Univ. Medellín (S)","2008-09-12","","67.71783791"
"MED-Univ. Medellín (S)","2008-09-09","","34.47082275"
"MED-Univ. Medellín (S)","2008-09-06","","45.07292703"
"MED-Univ. Medellín (S)","2008-09-03","","48.50389646"
"MED-Univ. Medellín (S)","2008-08-31","","23.84540843"
"MED-Univ. Medellín (S)","2008-08-28","","82.24652959"
"MED-Univ. Medellín (S)","2008-08-25","","33.44920447"
"MED-Univ. Medellín (S)","2008-08-22","","70.01698138"
"MED-Univ. Medellín (S)","2008-08-19","","50.50194635"
"MED-Univ. Medellín (S)","2008-08-16","","58.11661496"
"MED-Univ. Medellín (S)","2008-08-13","","58.58584448"
"MED-Univ. Medellín (S)","2008-08-10","","36.74259607"
"MED-Univ. Medellín (S)","2008-08-07","","50.99474862"
"MED-Univ. Medellín (S)","2008-08-04","","52.25011145"
"MED-Univ. Medellín (S)","2008-08-01","","52.07993556"
"MED-Univ. Medellín (S)","2008-07-29","","42.51349049"
"MED-Univ. Medellín (S)","2008-07-26","","44.191572"
"MED-Univ. Medellín (S)","2008-07-23","","70.05493096"
"MED-Univ. Medellín (S)","2008-07-20","","33.12794508"
"MED-Univ. Medellín (S)","2008-07-17","","51.98557719"
"MED-Univ. Medellín (S)","2008-07-14","","36.26506696"
"MED-Univ. Medellín (S)","2008-07-11","","92.39138675"
"MED-Univ. Medellín (S)","2008-07-08","","62.58322899"
"MED-Univ. Medellín (S)","2008-07-02","","48.73528681"
"MED-Univ. Medellín (S)","2008-06-29","","41.9782518"
"MED-Univ. Medellín (S)","2008-06-26","","55.34802826"
"MED-Univ. Medellín (S)","2008-06-23","","39.57917569"
"MED-Univ. Medellín (S)","2008-06-20","","58.44312649"
"MED-Univ. Medellín (S)","2008-06-17","","67.46287334"
"MED-Univ. Medellín (S)","2008-06-14","","58.06283912"
"MED-Univ. Medellín (S)","2008-06-11","","79.3208796"
"MED-Univ. Medellín (S)","2008-06-08","","30.89037549"
"MED-Univ. Medellín (S)","2008-06-05","","59.50852226"
"MED-Univ. Medellín (S)","2008-06-02","","29.98675667"
"MED-Univ. Medellín (S)","2008-05-30","","52.44279917"
"MED-Univ. Medellín (S)","2008-05-27","","52.69942908"
"MED-Univ. Medellín (S)","2008-05-24","","56.37525107"
"MED-Univ. Medellín (S)","2008-05-21","","58.88595301"
"MED-Univ. Medellín (S)","2008-05-18","","57.14110785"
"MED-Univ. Medellín (S)","2008-05-15","","55.77316713"
"MED-Univ. Medellín (S)","2008-05-12","","39.86744056"
"MED-Univ. Medellín (S)","2008-05-09","","58.43035418"
"MED-Univ. Medellín (S)","2008-05-06","","36.87489358"
"MED-Univ. Medellín (S)","2008-05-03","","41.35841395"
"MED-Univ. Medellín (S)","2008-04-30","","74.86681183"
"MED-Univ. Medellín (S)","2008-04-27","","48.10482281"
"MED-Univ. Medellín (S)","2008-04-24","","98.66486781"
"MED-Univ. Medellín (S)","2008-04-21","","71.61854764"
"MED-Univ. Medellín (S)","2008-04-18","","79.16622727"
"MED-Univ. Medellín (S)","2008-04-15","","43.67572746"
"MED-Univ. Medellín (S)","2008-04-12","","100.13111711"
